pivot_1,pivot_2,pivot_3,pivot_4,pf_x,pf_y,pf_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,f_drive_ref_1,f_drive_ref_2,f_drive_ref_3,f_drive_ref_4,f_drive_ref_5,f_drive_ref_6,f_drive_ref_7,f_drive_ref_8,f_krnl_1,f_krnl_2,f_krnl_3,f_krnl_4,f_krnl_5,f_krnl_6,f_krnl_7,f_krnl_8,f_null_1,f_null_2,f_null_3,f_null_4,f_null_5,f_null_6,f_null_7,f_null_8,f_null_scale_factor,f_null_scaled_1,f_null_scaled_2,f_null_scaled_3,f_null_scaled_4,f_null_scaled_5,f_null_scaled_6,f_null_scaled_7,f_null_scaled_8,f_drv_1,f_drv_2,f_drv_3,f_drv_4,f_drv_5,f_drv_6,f_drv_7,f_drv_8,f_wheel_1,f_wheel_2,f_wheel_3,f_wheel_4,f_wheel_5,f_wheel_6,f_wheel_7,f_wheel_8
1.56684,1.54943,1.23712,1.31424,200,0,0,1.7835,1.79487,1.48975,1.55117,-0.71165,0.229968,-0.312633,0.416907,0,-156.684,0,-154.943,0,-123.712,0,-131.424,0.197736,-49.9996,1.06831,-49.9886,16.376,-47.2422,12.6876,-48.3635,26.1518,-9.83606,9.02821,-7.97286,-31.4284,4.10128,-7.39872,2.12703,19.4338,6.95281e-310,-191.152,6.46453e-310,-154.943,1.4822e-323,79.7035,4.99702e-310,41.3363,0.197736,-241.151,1.06831,-204.931,16.376,32.4612,12.6876,-7.02715,31.0174,31.2152,25.9086,26.9769,-12.3765,3.99944,-5.43709,7.25055,
1.56684,1.54943,1.23712,1.31424,200,0,0,1.7835,1.79487,1.48975,1.55117,-0.71165,0.229968,-0.312633,0.416907,0,-156.684,0,-154.943,0,-123.712,0,-131.424,0.197736,-49.9996,1.06831,-49.9886,16.376,-47.2422,12.6876,-48.3635,26.1518,-9.83606,9.02821,-7.97286,-31.4284,4.10128,-7.39872,2.12703,19.4338,6.95281e-310,-191.152,6.46453e-310,-154.943,1.4822e-323,79.7035,4.99702e-310,41.3363,0.197736,-241.151,1.06831,-204.931,16.376,32.4612,12.6876,-7.02715,31.0174,31.2152,25.9086,26.9769,-12.3765,3.99944,-5.43709,7.25055,
1.56684,1.54943,1.23712,1.31424,200,0,0,1.7835,1.79487,1.48975,1.55117,-0.71165,0.229968,-0.312633,0.416907,0,-156.684,0,-154.943,0,-123.712,0,-131.424,0.197736,-49.9996,1.06831,-49.9886,16.376,-47.2422,12.6876,-48.3635,26.1518,-9.83606,9.02821,-7.97286,-31.4284,4.10128,-7.39872,2.12703,19.4338,6.95281e-310,-191.152,6.46453e-310,-154.943,1.4822e-323,79.7035,4.99702e-310,41.3363,0.197736,-241.151,1.06831,-204.931,16.376,32.4612,12.6876,-7.02715,31.0174,31.2152,25.9086,26.9769,-12.3765,3.99944,-5.43709,7.25055,
1.56684,1.54943,1.23712,1.31424,200,0,0,1.7835,1.79487,1.48975,1.55117,-0.71165,0.229968,-0.312633,0.416907,0,-156.684,0,-154.943,0,-123.712,0,-131.424,0.197736,-49.9996,1.06831,-49.9886,16.376,-47.2422,12.6876,-48.3635,26.1518,-9.83606,9.02821,-7.97286,-31.4284,4.10128,-7.39872,2.12703,19.4338,6.95281e-310,-191.152,6.46453e-310,-154.943,1.4822e-323,79.7035,4.99702e-310,41.3363,0.197736,-241.151,1.06831,-204.931,16.376,32.4612,12.6876,-7.02715,31.0174,31.2152,25.9086,26.9769,-12.3765,3.99944,-5.43709,7.25055,
1.56683,1.54944,1.23711,1.31425,200,0,0,1.78305,1.79445,1.48977,1.55116,-0.711669,0.229981,-0.312391,0.417116,0,-156.683,0,-154.944,0,-123.711,0,-131.425,0.198338,-49.9996,1.06771,-49.9886,16.3765,-47.242,12.6871,-48.3636,26.1502,-9.83434,9.02974,-7.97399,-31.4301,4.10184,-7.39693,2.12576,19.4312,6.95281e-310,-191.093,6.46453e-310,-154.944,1.4822e-323,79.7036,4.99702e-310,41.3061,0.198338,-241.093,1.06771,-204.933,16.3765,32.4616,12.6871,-7.05754,31.0095,31.2079,25.9091,26.9768,-12.3769,3.99967,-5.43288,7.25418,
1.56682,1.54943,1.23711,1.31425,200,0,0,1.78301,1.79445,1.48975,1.55117,-0.711713,0.229937,-0.312387,0.417119,0,-156.682,0,-154.943,0,-123.711,0,-131.425,0.198934,-49.9996,1.06831,-49.9886,16.3765,-47.242,12.6871,-48.3636,26.1491,-9.83377,9.02922,-7.97358,-31.4288,4.10197,-7.39626,2.12564,19.432,6.95281e-310,-191.09,6.46453e-310,-154.943,1.4822e-323,79.7096,4.99702e-310,41.3055,0.198934,-241.09,1.06831,-204.931,16.3765,32.4676,12.6871,-7.05807,31.0089,31.2078,25.9086,26.9769,-12.3776,3.9989,-5.43281,7.25425,
1.56683,1.54943,1.23711,1.31425,200,0,0,1.78325,1.79466,1.48975,1.55117,-0.711761,0.229889,-0.312428,0.417079,0,-156.683,0,-154.943,0,-123.711,0,-131.425,0.198338,-49.9996,1.06831,-49.9886,16.3765,-47.242,12.6871,-48.3636,26.1503,-9.83505,9.02882,-7.97336,-31.4293,4.10219,-7.39687,2.12587,19.4326,6.95281e-310,-191.12,6.46453e-310,-154.943,1.4822e-323,79.7161,4.99702e-310,41.311,0.198338,-241.12,1.06831,-204.931,16.3765,32.474,12.6871,-7.05257,31.0131,31.2114,25.9086,26.9769,-12.3785,3.99806,-5.43352,7.25354,
1.56695,1.54952,1.2371,1.31427,200,0,0,1.78405,1.79511,1.48995,1.55111,-0.711774,0.229909,-0.312284,0.417156,0,-156.695,0,-154.952,0,-123.71,0,-131.427,0.192342,-49.9996,1.06351,-49.9887,16.3771,-47.2418,12.6859,-48.3639,26.1608,-9.84253,9.03237,-7.97637,-31.442,4.10345,-7.40149,2.12579,19.4264,6.95281e-310,-191.205,6.46453e-310,-154.952,1.4822e-323,79.7153,4.99702e-310,41.2965,0.192342,-241.205,1.06351,-204.941,16.3771,32.4735,12.6859,-7.06742,31.027,31.2194,25.9123,26.9758,-12.3787,3.99842,-5.43103,7.25488,
1.56707,1.54973,1.23706,1.31431,200,0,0,1.78303,1.79375,1.4904,1.55097,-0.711171,0.230609,-0.31158,0.41776,0,-156.707,0,-154.973,0,-123.706,0,-131.431,0.186351,-49.9997,1.05333,-49.9889,16.3788,-47.2412,12.6842,-48.3644,26.1706,-9.84426,9.0446,-7.98555,-31.4641,4.10307,-7.40503,2.12343,19.4067,6.95281e-310,-191.044,6.46453e-310,-154.973,1.4822e-323,79.627,4.99702e-310,41.2087,0.186351,-241.044,1.05333,-204.962,16.3788,32.3857,12.6842,-7.15566,31.0093,31.1956,25.92,26.9733,-12.3682,4.01059,-5.41878,7.2654,
1.56693,1.54979,1.23704,1.31424,200,0,0,1.77911,1.79024,1.49053,1.55093,-0.709608,0.232237,-0.31134,0.418199,0,-156.693,0,-154.979,0,-123.704,0,-131.424,0.193546,-49.9996,1.05034,-49.989,16.3799,-47.2409,12.6876,-48.3635,26.1599,-9.82611,9.05426,-7.9921,-31.4629,4.09517,-7.40185,2.12269,19.3915,6.95281e-310,-190.543,6.46453e-310,-154.979,1.4822e-323,79.4115,4.99702e-310,41.1621,0.193546,-240.543,1.05034,-204.968,16.3799,32.1707,12.6876,-7.20137,30.941,31.1345,25.9223,26.9726,-12.341,4.0389,-5.41462,7.27303,
