dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.75,0.608861,0.614224,-56.4626,-54.3172,-4.70995,0.511962,0,0.304553,-0.511032,0,-56.4132,-2.34418,4.92925,-54.2003,3.55846,-4.96969,
0.75,0.608828,0.614222,-58.7787,-54.4518,-4.90684,0.532594,0,0.306101,-0.514098,0,-58.7275,-2.43542,5.13058,-54.3347,3.56631,-4.98184,
0.75,0.608812,0.614222,-57.6103,-54.3868,-4.81099,0.521775,0,0.306118,-0.514324,0,-57.5602,-2.38472,5.0282,-54.27,3.56159,-4.97581,
0.75,0.60878,0.61422,-58.7274,-54.447,-4.90785,0.531541,0,0.30708,-0.516791,0,-58.6765,-2.42607,5.12484,-54.33,3.56469,-4.98117,
0.75,0.608766,0.614219,-57.7144,-54.5032,-4.82473,0.522064,0,0.307873,-0.518291,0,-57.6644,-2.38225,5.03609,-54.3861,3.568,-4.98625,
0.75,0.608752,0.614218,-57.957,-54.432,-4.84654,0.523875,0,0.307917,-0.518665,0,-57.9069,-2.39026,5.0569,-54.3151,3.56293,-4.97966,
0.75,0.608736,0.614217,-58.0055,-54.4109,-4.85232,0.524028,0,0.30809,-0.519492,0,-57.9555,-2.39001,5.06074,-54.2941,3.56121,-4.97767,
0.75,0.608723,0.614218,-57.9267,-54.3256,-4.84719,0.523007,0,0.30807,-0.519648,0,-57.8769,-2.38464,5.0535,-54.209,3.55531,-4.96981,
0.75,0.60871,0.61422,-57.7694,-54.1962,-4.83522,0.521219,0,0.307585,-0.519283,0,-57.7197,-2.37611,5.03941,-54.0799,3.54662,-4.95794,
0.75,0.608699,0.614223,-57.6955,-54.0556,-4.83003,0.520156,0,0.307054,-0.51873,0,-57.646,-2.37113,5.03262,-53.9396,3.53726,-4.94505,
0.75,0.608688,0.614228,-57.5951,-53.9692,-4.82222,0.518122,0,0.306709,-0.518622,0,-57.5457,-2.3651,5.02353,-53.8534,3.53144,-4.93712,
0.75,0.60867,0.614234,-58.43,-53.7968,-4.8935,0.525413,0,0.305666,-0.517581,0,-58.38,-2.39561,5.09569,-53.6814,3.51997,-4.92131,
0.75,0.608662,0.614247,-57.2547,-53.4957,-4.79557,0.514416,0,0.303992,-0.515991,0,-57.2058,-2.34565,4.99288,-53.3809,3.49976,-4.89368,
0.75,0.608663,0.614254,-56.5749,-53.7588,-4.73836,0.507408,0,0.305404,-0.519205,0,-56.5266,-2.31784,4.9336,-53.6435,3.5167,-4.9177,
0.75,0.608654,0.614262,-57.5362,-53.6381,-4.81934,0.515483,0,0.304672,-0.518582,0,-57.4871,-2.35541,5.01711,-53.5231,3.50849,-4.90661,
0.75,0.608647,0.61427,-57.3733,-53.5711,-4.80603,0.513432,0,0.304115,-0.518477,0,-57.3244,-2.34721,5.00264,-53.4563,3.50377,-4.90042,
0.75,0.608641,0.614279,-57.285,-53.5966,-4.7988,0.511996,0,0.30427,-0.519304,0,-57.2363,-2.34222,4.9947,-53.4817,3.50507,-4.90268,
0.75,0.608635,0.614287,-57.224,-53.586,-4.79371,0.510857,0,0.304174,-0.519707,0,-57.1754,-2.33842,4.98915,-53.4712,3.504,-4.90165,
0.75,0.608632,0.614296,-57.0292,-53.4959,-4.77711,0.508449,0,0.303594,-0.519456,0,-56.9808,-2.32943,4.97199,-53.3813,3.49775,-4.89334,
0.75,0.608629,0.614305,-56.9708,-53.5858,-4.7718,0.507197,0,0.30428,-0.520854,0,-56.9225,-2.32611,4.96673,-53.471,3.50328,-4.90151,
0.75,0.608627,0.614314,-56.9462,-53.6267,-4.76931,0.506404,0,0.304813,-0.521732,0,-56.898,-2.32417,4.96442,-53.5119,3.50558,-4.90519,
0.75,0.608625,0.614322,-56.941,-53.6294,-4.76832,0.505775,0,0.303321,-0.522189,0,-56.8928,-2.32295,4.96379,-53.5145,3.50575,-4.90543,
0.75,0.608623,0.614331,-56.9435,-53.5334,-4.76806,0.505261,0,0.302883,-0.521712,0,-56.8953,-2.3221,4.96384,-53.4188,3.49914,-4.8966,
0.75,0.608621,0.61434,-56.9251,-53.5649,-4.76601,0.504449,0,0.303272,-0.522469,0,-56.877,-2.32042,4.96208,-53.4502,3.50085,-4.89941,
0.75,0.608619,0.614349,-56.9359,-53.5814,-4.76644,0.504005,0,0.303604,-0.522973,0,-56.8878,-2.31989,4.96284,-53.4667,3.5015,-4.90084,
0.75,0.608617,0.614358,-56.9213,-53.5265,-4.76474,0.503323,0,0.303326,-0.522855,0,-56.8733,-2.31829,4.9614,-53.412,3.49753,-4.89576,
0.75,0.608617,0.614369,-56.8031,-53.3706,-4.75436,0.502645,0,0.302186,-0.521645,0,-56.7552,-2.31249,4.95092,-53.2565,3.48691,-4.88143,
0.75,0.608617,0.61438,-56.7885,-53.3678,-4.75254,0.501866,0,0.301893,-0.521895,0,-56.7407,-2.31103,4.9495,-53.2536,3.48627,-4.88109,
0.75,0.608617,0.614391,-56.7129,-53.2916,-4.74552,0.500448,0,0.30111,-0.521455,0,-56.6651,-2.30714,4.94276,-53.1777,3.48086,-4.87405,
0.75,0.608618,0.614403,-56.7173,-53.2851,-4.74515,0.499852,0,0.300661,-0.521727,0,-56.6696,-2.30647,4.943,-53.1712,3.47997,-4.87337,
0.75,0.60862,0.614415,-56.6256,-53.2566,-4.73662,0.498447,0,0.300048,-0.521754,0,-56.5779,-2.30195,4.93486,-53.1428,3.47767,-4.87069,
0.75,0.608621,0.614428,-56.6602,-53.2137,-4.73871,0.498055,0,0.299476,-0.52158,0,-56.6126,-2.30257,4.93774,-53.1,3.47442,-4.86669,
0.75,0.608623,0.614439,-56.6412,-53.3166,-4.73633,0.497293,0,0.299724,-0.522909,0,-56.5936,-2.301,4.93594,-53.2027,3.48072,-4.87602,
0.75,0.608624,0.614451,-56.6691,-53.3191,-4.73782,0.49695,0,0.299511,-0.523296,0,-56.6216,-2.30124,4.93822,-53.2052,3.48046,-4.87618,
0.75,0.608626,0.614463,-56.6037,-53.2372,-4.73146,0.495579,0,0.298724,-0.52273,0,-56.5563,-2.29771,4.93237,-53.1235,3.47468,-4.86861,
0.75,0.608629,0.614475,-56.532,-53.2709,-4.72437,0.494362,0,0.298913,-0.523288,0,-56.4846,-2.2939,4.92596,-53.1572,3.47641,-4.87162,
0.75,0.608631,0.614487,-56.5868,-53.253,-4.72791,0.494251,0,0.298705,-0.523393,0,-56.5395,-2.29519,4.93058,-53.1394,3.47473,-4.86989,
0.75,0.608634,0.614501,-56.5831,-53.1602,-4.72653,0.493655,0,0.298002,-0.522816,0,-56.5358,-2.29399,4.93007,-53.0468,3.46817,-4.86131,
0.75,0.608637,0.614515,-56.4952,-53.0558,-4.71798,0.49233,0,0.297076,-0.521987,0,-56.448,-2.28946,4.92224,-52.9426,3.46087,-4.85168,
0.75,0.608642,0.614528,-56.3806,-53.1867,-4.70698,0.490712,0,0.29796,-0.523533,0,-56.3335,-2.28383,4.91208,-53.0733,3.46879,-4.86354,
0.75,0.608647,0.61454,-56.368,-53.2383,-4.70445,0.489893,0,0.298302,-0.524259,0,-56.321,-2.28235,4.91081,-53.1249,3.47162,-4.86817,
0.75,0.608652,0.614552,-56.3089,-53.2899,-4.69796,0.488706,0,0.298705,-0.525042,0,-56.262,-2.27903,4.9055,-53.1764,3.47442,-4.87279,
0.75,0.608658,0.614564,-56.3416,-53.3381,-4.69915,0.488351,0,0.299188,-0.525795,0,-56.2947,-2.27938,4.90818,-53.2245,3.47699,-4.87709,
0.75,0.608664,0.614576,-56.2407,-53.2536,-4.68906,0.486674,0,0.298895,-0.525297,0,-56.1939,-2.27447,4.89924,-53.1402,3.47089,-4.86927,
0.75,0.608669,0.614588,-56.3411,-53.2979,-4.69597,0.486819,0,0.299275,-0.526085,0,-56.2943,-2.27776,4.90786,-53.1844,3.47318,-4.87321,
0.75,0.608674,0.6146,-56.4225,-53.2442,-4.70141,0.486786,0,0.299025,-0.525871,0,-56.3756,-2.28025,4.91481,-53.1309,3.46905,-4.86819,
0.75,0.608678,0.614613,-56.4401,-53.194,-4.7016,0.48618,0,0.298739,-0.525751,0,-56.3933,-2.28023,4.91621,-53.0808,3.46519,-4.8635,
0.75,0.608685,0.614628,-56.2337,-53.0179,-4.6828,0.483568,0,0.297597,-0.524331,0,-56.1871,-2.2712,4.89811,-52.9051,3.45305,-4.84728,
0.75,0.608688,0.614642,-56.5702,-53.213,-4.70975,0.485705,0,0.298544,-0.526599,0,-56.5233,-2.28411,4.9273,-53.0999,3.46516,-4.86502,
0.75,0.608693,0.614656,-56.4232,-53.0884,-4.6962,0.483686,0,0.297701,-0.525696,0,-56.3765,-2.27749,4.91438,-52.9756,3.45647,-4.85353,
0.75,0.6087,0.61467,-56.2543,-53.1637,-4.68051,0.481392,0,0.298006,-0.526787,0,-56.2077,-2.26999,4.89955,-53.0507,3.46078,-4.8603,
0.75,0.608707,0.614685,-56.2244,-53.0037,-4.67637,0.480322,0,0.297063,-0.525605,0,-56.1778,-2.26815,4.89683,-52.8911,3.44968,-4.84556,
0.75,0.608713,0.614699,-56.2784,-53.1058,-4.67933,0.480046,0,0.297538,-0.527042,0,-56.2318,-2.26971,4.90142,-52.9931,3.45571,-4.85479,
0.75,0.60872,0.614714,-56.2213,-53.0496,-4.67293,0.478817,0,0.297114,-0.526956,0,-56.1748,-2.26679,4.89634,-52.937,3.45139,-4.84953,
0.75,0.608727,0.614729,-56.209,-53.0234,-4.67019,0.47797,0,0.296696,-0.5271,0,-56.1625,-2.26574,4.89517,-52.9109,3.44909,-4.84703,
0.75,0.608736,0.614746,-56.0658,-52.8787,-4.65639,0.476012,0,0.295681,-0.526123,0,-56.0195,-2.25948,4.88262,-52.7665,3.43905,-4.8337,
0.75,0.608752,0.614763,-55.4147,-52.8614,-4.59888,0.469106,0,0.294932,-0.526314,0,-55.369,-2.23235,4.82576,-52.7493,3.43733,-4.83202,
0.75,0.60876,0.614778,-56.1286,-52.9725,-4.65642,0.474465,0,0.295288,-0.52783,0,-56.0823,-2.26073,4.88786,-52.8603,3.44398,-4.84207,
0.75,0.608768,0.614807,-56.3912,-52.5743,-4.67645,0.475992,0,0.29309,-0.524538,0,-56.3447,-2.271,4.91068,-52.4629,3.41686,-4.80545,
0.75,0.608778,0.614823,-55.999,-52.9534,-4.64201,0.472059,0,0.295083,-0.52867,0,-55.9529,-2.25493,4.87648,-52.8413,3.4409,-4.84001,
0.75,0.608787,0.614838,-56.0103,-53.0717,-4.64099,0.471537,0,0.295687,-0.530238,0,-55.9642,-2.25518,4.87743,-52.9594,3.44802,-4.85072,
0.75,0.608798,0.614854,-55.891,-52.9575,-4.62902,0.469864,0,0.29487,-0.529489,0,-55.8449,-2.25017,4.867,-52.8454,3.44002,-4.84018,
0.75,0.60881,0.61487,-55.7219,-52.9048,-4.61265,0.467819,0,0.294696,-0.529317,0,-55.676,-2.24321,4.85225,-52.7929,3.43599,-4.83526,
0.75,0.608823,0.614885,-55.7209,-52.9448,-4.61025,0.467133,0,0.294945,-0.53015,0,-55.675,-2.24303,4.85213,-52.8328,3.43802,-4.83881,
0.75,0.608822,0.614902,-56.992,-52.8728,-4.71541,0.47722,0,0.294478,-0.529802,0,-56.945,-2.29412,4.9628,-52.761,3.43284,-4.83214,
0.75,0.608835,0.614916,-55.7032,-53.0497,-4.60637,0.465948,0,0.295651,-0.531922,0,-55.6573,-2.24208,4.85055,-52.9376,3.44388,-4.84824,
0.75,0.608847,0.614931,-55.7083,-53.0467,-4.60443,0.46543,0,0.295967,-0.532182,0,-55.6624,-2.24212,4.85097,-52.9346,3.44327,-4.84788,
0.75,0.608861,0.614946,-55.6071,-53.0244,-4.59348,0.464065,0,0.295827,-0.532251,0,-55.5613,-2.23787,4.84213,-52.9123,3.44145,-4.84578,
0.75,0.608874,0.61496,-55.7211,-53.0886,-4.60052,0.464526,0,0.296157,-0.533202,0,-55.6752,-2.24229,4.85202,-52.9764,3.44529,-4.85159,
0.75,0.608886,0.614975,-55.7399,-53.0087,-4.59978,0.464206,0,0.295554,-0.532674,0,-55.694,-2.24287,4.85363,-52.8967,3.43983,-4.84424,
0.75,0.608899,0.614991,-55.6236,-52.9585,-4.5877,0.462717,0,0.295133,-0.532525,0,-55.5778,-2.23797,4.84346,-52.8466,3.43628,-4.8396,
0.75,0.608912,0.615007,-55.7142,-52.8899,-4.59275,0.462988,0,0.294166,-0.532117,0,-55.6684,-2.2414,4.85131,-52.7782,3.4315,-4.83328,
0.75,0.608926,0.615022,-55.7021,-53.102,-4.58917,0.462339,0,0.295032,-0.534627,0,-55.6563,-2.2407,4.85022,-52.9898,3.44494,-4.8526,
0.75,0.608939,0.615037,-55.6281,-53.0801,-4.58054,0.461153,0,0.294696,-0.534905,0,-55.5824,-2.23748,4.84374,-52.9681,3.44315,-4.85054,
