ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.429347,0.105219,0.74229,0.564321,0.434387,-0.537845,-0.45119,-0.0153812,-0.0256213,0.00474838,-0.0305343,-0.0180379,-0.0707064,0.42223,0.391065,0.641133,0.167127,0.974271,-0.147829,-0.0317862,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.00183742,0,0,0,0,11.6543,-3.44434,2.77847,-4.24781,-1.25656,-2.30711,3.34506,0,0,-15,0,0,0,0,0,17.6602,0,0,0,
0.429316,0.105166,0.742299,0.564377,0.434338,-0.537815,-0.451203,-0.0152135,-0.0254101,0.00470223,-0.0307323,-0.0184983,-0.0697554,0.422245,0.391009,0.641129,0.167206,0.974256,-0.147842,-0.0317919,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.54553,-0.49309,2.18109,1.32988,15.7761,11.1113,-7.65852,2.74233,-5.34965,-1.75191,1.2637,2.82604,0,0,-15,0,0,0,0,0,17.6612,0,0,0,
0.429301,0.105141,0.742304,0.564404,0.434315,-0.537801,-0.451208,-0.0148317,-0.0250768,0.00474553,-0.0313878,-0.019296,-0.0679655,0.422252,0.390982,0.641128,0.167243,0.974248,-0.147848,-0.0317947,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.2418,-0.244592,1.11383,0.691978,7.72852,11.3938,-5.4943,2.76146,-4.79403,-1.4926,-0.554751,3.08156,0,0,-15,0,0,0,0,0,17.6617,0,0,0,
0.429271,0.105089,0.742313,0.564459,0.434266,-0.537772,-0.451221,-0.013753,-0.0226698,0.00450596,-0.0305005,-0.0192929,-0.0620193,0.422267,0.390927,0.641124,0.167321,0.974233,-0.14786,-0.0318007,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.47269,-0.464243,2.18317,1.26279,15.3143,11.155,-7.5325,2.75999,-5.31649,-1.74026,1.15731,2.8212,0,0,-15,0,0,0,0,0,17.6628,0,0,0,
0.429258,0.105068,0.742317,0.564483,0.434246,-0.53776,-0.451224,-0.0133225,-0.0216306,0.00441797,-0.0297846,-0.0195977,-0.0595748,0.422273,0.390904,0.641123,0.167354,0.974226,-0.147865,-0.031803,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.28869,-0.274922,1.23257,0.828968,7.82504,11.3661,-5.63475,2.75928,-4.76738,-1.47228,-0.521893,3.06455,0,0,-15,0,0,0,0,0,17.6632,0,0,0,
0.429244,0.105046,0.742322,0.564509,0.434226,-0.537747,-0.451227,-0.0134531,-0.0219335,0.00444686,-0.0298263,-0.019704,-0.0603762,0.42228,0.39088,0.641121,0.167387,0.97422,-0.147871,-0.0318051,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.58318,-0.354488,1.5342,1.07946,9.70737,11.2821,-6.11646,2.73588,-4.91024,-1.51793,-0.0890489,3.00004,0,0,-15,0,0,0,0,0,17.6636,0,0,0,
0.42923,0.105022,0.742326,0.564536,0.434203,-0.537733,-0.451232,-0.0134856,-0.0225925,0.00445953,-0.0304468,-0.0200147,-0.0611695,0.422287,0.390854,0.64112,0.167423,0.974213,-0.147876,-0.0318083,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.71707,-0.292976,1.49735,0.931474,10.2434,11.3632,-6.3652,2.84332,-4.89714,-1.55868,0.0188779,2.98352,0,0,-15,0,0,0,0,0,17.6641,0,0,0,
0.429217,0.104999,0.742329,0.56456,0.434182,-0.537721,-0.451236,-0.0128226,-0.0228004,0.00422016,-0.0305136,-0.0185153,-0.059646,0.422293,0.39083,0.641118,0.167456,0.974206,-0.147881,-0.0318115,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.71252,-0.273593,1.50604,0.911257,9.98671,11.3918,-6.40852,2.8793,-4.84006,-1.54594,-0.0381619,2.97929,0,0,-15,0,0,0,0,0,17.6646,0,0,0,
0.429206,0.104977,0.742333,0.564584,0.434162,-0.537711,-0.451238,-0.0117836,-0.0223106,0.00399122,-0.0312721,-0.0176703,-0.0557844,0.422299,0.390806,0.641117,0.167487,0.9742,-0.147885,-0.0318151,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.59626,-0.246019,1.53284,0.859261,9.22419,11.4342,-6.22576,2.88871,-4.782,-1.51759,-0.20988,2.97282,0,0,-15,0,0,0,0,0,17.665,0,0,0,
0.429195,0.104956,0.742336,0.564607,0.434143,-0.537702,-0.451238,-0.0103435,-0.0210377,0.00383583,-0.0336416,-0.0181857,-0.0494093,0.422305,0.390784,0.641115,0.167515,0.974195,-0.147889,-0.0318188,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.57665,-0.229517,1.63208,0.853106,9.18715,11.4705,-6.16148,2.90134,-4.79829,-1.51582,-0.219054,2.94465,0,0,-15,0,0,0,0,0,17.6655,0,0,0,
