dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.7,0.672582,1.03305,-20.6462,251.494,6.08173,-2.67412,0,-183.402,57.8339,0,-18.6853,8.611,-0.0474994,168.619,-185.801,46.7343,
0.7,0.672589,1.03304,-20.662,251.559,6.08625,-2.6759,0,-183.452,57.8559,0,-18.6997,8.61716,-0.0474468,168.674,-185.839,46.7455,
0.7,0.672597,1.03304,-20.6475,251.593,6.08188,-2.67379,0,-183.48,57.8673,0,-18.6868,8.61063,-0.0473101,168.704,-185.859,46.7514,
0.7,0.672616,1.03304,-20.511,251.694,6.04155,-2.65566,0,-183.552,57.8931,0,-18.5638,8.55248,-0.0467364,168.775,-185.929,46.7697,
0.7,0.672628,1.03303,-20.5303,251.784,6.04721,-2.65783,0,-183.624,57.9214,0,-18.5815,8.5598,-0.0466292,168.853,-185.98,46.7851,
0.7,0.672641,1.03302,-20.5032,251.803,6.03917,-2.65403,0,-183.642,57.9301,0,-18.5573,8.54774,-0.046407,168.875,-185.986,46.7878,
0.7,0.672655,1.03301,-20.4785,251.848,6.03195,-2.64998,0,-183.68,57.9445,0,-18.5353,8.53665,-0.0461777,168.915,-186.009,46.7952,
0.7,0.67269,1.033,-20.4061,251.898,6.01059,-2.64008,0,-183.728,57.9647,0,-18.4707,8.5045,-0.0455919,168.971,-186.025,46.8026,
0.7,0.67271,1.03299,-20.3661,251.984,5.99882,-2.63465,0,-183.798,57.9893,0,-18.435,8.48673,-0.0452676,169.042,-186.078,46.8177,
0.7,0.672755,1.03298,-20.1617,252.058,5.93867,-2.60774,0,-183.858,58.0109,0,-18.2511,8.39913,-0.0442905,169.104,-186.12,46.8303,
