dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.8,0.628344,0.632831,-68.6711,-66.876,11.3616,10.6643,-66.8798,-1.3792,13.7033,-65.4424,-68.4909,-3.79181,6.15385,-66.5054,5.42183,-6.28687,
0.8,0.628285,0.632817,-72.8136,-67.9163,12.0543,11.3085,-70.9128,-1.40188,13.9215,-66.4594,-72.6227,-4.02058,6.52509,-67.5398,5.50635,-6.38469,
0.8,0.628255,0.632809,-71.2595,-67.5569,11.8006,11.0675,-69.3987,-1.39506,13.8503,-66.1072,-71.0727,-3.93481,6.38583,-67.1825,5.47735,-6.35093,
0.8,0.6282,0.632801,-72.6641,-67.5109,12.0403,11.2867,-70.7652,-1.39484,13.8435,-66.0616,-72.4737,-4.01236,6.51171,-67.1366,5.47373,-6.34661,
0.8,0.628172,0.632783,-70.8857,-68.2742,11.7494,11.0111,-69.0325,-1.41241,14.0047,-66.8075,-70.7,-3.91411,6.35233,-67.8955,5.53582,-6.41839,
0.8,0.628142,0.632775,-71.5301,-67.65,11.8603,11.1118,-69.6593,-1.4002,13.8789,-66.1962,-71.3428,-3.94964,6.41008,-67.2747,5.48533,-6.35973,
0.8,0.628115,0.63277,-71.2712,-67.4327,11.8209,11.0721,-69.4065,-1.3962,13.8366,-65.9831,-71.0847,-3.93537,6.38688,-67.0586,5.46785,-6.33933,
0.8,0.62807,0.632769,-73.1667,-67.0929,12.142,11.3678,-71.251,-1.38946,13.7689,-65.6502,-72.9752,-4.04017,6.55677,-66.7206,5.44048,-6.3074,
0.8,0.628053,0.632771,-70.1602,-66.7663,11.6458,10.901,-68.3227,-1.38275,13.7039,-65.3301,-69.9766,-3.87423,6.28737,-66.3956,5.41425,-6.27673,
0.8,0.628043,0.632787,-69.8203,-65.5654,11.5911,10.8487,-67.9914,-1.35698,13.4612,-64.1543,-69.6376,-3.85558,6.25693,-65.2012,5.3182,-6.16406,
