ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.731905,0.122375,0.768806,0.603824,0.455526,-0.502823,-0.418404,-0.0076347,-0.0312709,0.00756866,-0.0245151,-0.0170594,-0.0445129,0.432764,0.357284,0.663009,-0.315314,0.928025,-0.176446,-0.0906273,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,3.12688,-1.02987,1.72313,1.31664,9.80831,13.9598,-2.85166,3.2961,-5.90184,-1.36438,0.12707,2.08674,0,0,-12,0,0,0,0,0,11.0974,0,0,0,
0.731898,0.122346,0.768812,0.603841,0.455512,-0.502814,-0.418405,-0.00707304,-0.0302285,0.00607748,-0.0212513,-0.0158815,-0.0419121,0.432768,0.357266,0.66301,-0.315294,0.928031,-0.176448,-0.0906301,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.90707,-0.477552,0.97997,0.727254,6.88777,14.7281,-0.448178,3.3964,-4.60521,-1.25677,-0.500218,2.18259,0,0,-12,0,0,0,0,0,11.0969,0,0,0,
0.731891,0.122316,0.768817,0.603858,0.455497,-0.502807,-0.418405,-0.00690389,-0.0302103,0.00539043,-0.0223163,-0.0147725,-0.0418027,0.432771,0.357247,0.663012,-0.315275,0.928037,-0.17645,-0.0906333,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.60986,-0.362979,0.909495,0.569156,5.65825,14.8833,-0.0433617,3.41506,-4.31166,-1.20377,-0.786972,2.19003,0,0,-12,0,0,0,0,0,11.0965,0,0,0,
0.73188,0.12226,0.768824,0.60389,0.455471,-0.502793,-0.418405,-0.0057401,-0.0266929,0.0036455,-0.0206118,-0.0130842,-0.0359021,0.432778,0.357212,0.663014,-0.315239,0.928048,-0.176452,-0.0906404,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,2.67243,-0.458739,1.41673,0.914867,8.10822,14.9146,-1.98484,3.74367,-5.26997,-1.24021,-0.268535,2.01339,0,0,-12,0,0,0,0,0,11.0959,0,0,0,
0.731876,0.122237,0.768827,0.603904,0.455458,-0.502789,-0.418403,-0.00487062,-0.0241408,0.0027088,-0.0210712,-0.0116726,-0.0318084,0.432781,0.357197,0.663014,-0.315225,0.928053,-0.176452,-0.0906438,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.1069,-0.163638,0.811876,0.369418,4.41108,15.1727,0.912478,3.4222,-3.79349,-1.14801,-1.06075,2.18334,0,0,-12,0,0,0,0,0,11.0958,0,0,0,
0.731874,0.122216,0.76883,0.603922,0.455446,-0.502787,-0.418392,-0.0041505,-0.0233206,0.00257058,-0.0222936,-0.0107937,-0.0293007,0.432784,0.357182,0.663015,-0.315215,0.928056,-0.176452,-0.0906477,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.04705,-0.215723,1.38763,0.735831,2.94903,15.2029,0.57249,3.40434,-3.8087,-0.961787,-1.41968,2.01284,0,0,-12,0,0,0,0,0,11.0956,0,0,0,
0.73187,0.122193,0.768832,0.603937,0.455433,-0.502784,-0.418389,-0.00405382,-0.023479,0.00253333,-0.024301,-0.0104052,-0.0294625,0.432787,0.357167,0.663015,-0.315202,0.92806,-0.176452,-0.0906512,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.20728,-0.185824,0.986372,0.412925,4.6326,15.1634,0.713655,3.43505,-3.8918,-1.14858,-1.01783,2.13945,0,0,-12,0,0,0,0,0,11.0954,0,0,0,
0.73186,0.122141,0.768838,0.603968,0.455403,-0.502776,-0.418386,-0.00466845,-0.0265691,0.00273765,-0.0275099,-0.0101494,-0.0340328,0.432793,0.357133,0.663017,-0.31517,0.928069,-0.176453,-0.0906592,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,3.17467,-0.41176,2.2884,0.88094,9.01212,15.1124,-2.98811,3.96438,-5.69609,-1.25555,-0.119384,1.77092,0,0,-12,0,0,0,0,0,11.095,0,0,0,
0.731856,0.122113,0.76884,0.603984,0.455388,-0.502772,-0.418384,-0.00498866,-0.0286054,0.00288078,-0.0274239,-0.0100488,-0.03646,0.432797,0.357114,0.663018,-0.315154,0.928074,-0.176453,-0.0906635,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.37286,-0.195697,0.945494,0.408314,5.61178,15.1552,0.605163,3.46767,-4.02234,-1.20922,-0.787083,2.14723,0,0,-12,0,0,0,0,0,11.0947,0,0,0,
0.731851,0.122083,0.768843,0.604001,0.455371,-0.502768,-0.418382,-0.00485875,-0.0297239,0.00277702,-0.0283608,-0.00931275,-0.0371037,0.4328,0.357095,0.663018,-0.315137,0.92808,-0.176454,-0.090668,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.56179,-0.228507,1.21573,0.387367,5.08674,15.127,-0.068338,3.53447,-4.22415,-1.17564,-0.945607,2.09242,0,0,-12,0,0,0,0,0,11.0945,0,0,0,
0.731841,0.122019,0.768849,0.604037,0.455334,-0.502761,-0.418379,-0.00471229,-0.0315887,0.00266404,-0.0339375,-0.00774485,-0.0390451,0.432809,0.357052,0.66302,-0.315101,0.928091,-0.176455,-0.0906782,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,3.00859,-0.370757,2.18081,0.591138,9.5115,15.1,-2.40935,3.88593,-5.51086,-1.362,0.00778791,1.82965,0,0,-12,0,0,0,0,0,11.0939,0,0,0,
0.731836,0.121987,0.768852,0.604055,0.455315,-0.502758,-0.418377,-0.00484909,-0.032463,0.00266275,-0.0349891,-0.00724182,-0.0403652,0.432813,0.357031,0.663021,-0.315083,0.928096,-0.176455,-0.0906834,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,1.68512,-0.196033,1.26567,0.34326,5.78723,15.1959,-0.146438,3.59659,-4.30519,-1.21769,-0.785958,2.06916,0,0,-12,0,0,0,0,0,11.0936,0,0,0,
