ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.402805,0.103541,0.812871,0.575861,0.520724,-0.467794,-0.422373,-0.0337341,0.00926364,-0.0064449,-0.00800849,-0.0127271,-0.0216987,0.427278,0.38415,0.730654,-0.127844,-0.0920025,-0.199803,0.967094,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.356607,0,0,0,0,5.79813,-7.89075,10.5983,20.8916,-0.823062,12.4119,-0.876041,3.21904,5.18519,-67.5826,0,0,0,0,0,-9.19626,0,0,0,
0.402612,0.103593,0.812833,0.575937,0.520682,-0.467736,-0.422386,-0.0308785,0.0108466,-0.00683364,-0.00809341,-0.00861773,-0.0134833,0.42728,0.384143,0.730657,-0.127813,-0.0920459,-0.200131,0.967026,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-1.08759,0.613651,0.310559,0.986456,-5.66745,6.73785,-7.75598,11.949,23.1274,-0.213086,15.0365,-0.578512,3.6466,5.84364,-76.0846,0,0,0,0,0,-9.19696,0,0,0,
0.40245,0.103649,0.812796,0.575974,0.520659,-0.467718,-0.422383,-0.0322366,0.0110751,-0.00729078,-0.00678984,-0.0085048,-0.018255,0.42728,0.384142,0.730657,-0.127786,-0.0920813,-0.200405,0.966969,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-1.18003,0.618397,0.405894,0.431495,-6.55421,6.67909,-7.55817,11.8503,22.6389,-0.274844,15.0704,-0.576854,3.60412,5.75662,-74.9062,0,0,0,0,0,-9.19695,0,0,0,
0.402352,0.103692,0.812763,0.575987,0.520647,-0.467715,-0.422385,-0.0210619,0.00958507,-0.00551856,-0.0064585,-0.00396024,-0.0052077,0.427279,0.384149,0.730648,-0.127768,-0.0920948,-0.200573,0.966936,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-1.02225,0.5988,0.222884,0.0388899,-6.39701,6.68006,-7.72942,11.7695,21.8312,-0.376939,14.681,-0.596578,3.5061,5.58871,-72.6979,0,0,0,0,0,-9.19447,0,0,0,
0.402302,0.103734,0.812732,0.575973,0.52064,-0.467746,-0.422378,-0.00877789,0.0107186,-0.006312,-0.0133715,0.0130577,0.0160751,0.427276,0.384165,0.730627,-0.12777,-0.0920901,-0.200655,0.966919,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-1.01211,0.551201,0.426081,-0.553129,-6.52706,6.56765,-7.54221,11.5534,21.0577,-0.499012,14.3687,-0.675186,3.39677,5.41009,-70.3841,0,0,0,0,0,-9.18815,0,0,0,
0.402293,0.103795,0.812723,0.575954,0.520635,-0.467817,-0.422331,0.00366459,0.0129639,-0.00207539,-0.0237704,0.014457,0.0298412,0.427268,0.384204,0.730596,-0.127815,-0.0920888,-0.200656,0.966913,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-1.37453,0.172359,1.39151,-0.636587,-7.36946,5.84953,-6.67024,10.8061,20.4803,-0.515174,14.245,-0.758265,3.29748,5.25256,-68.372,0,0,0,0,0,-9.17894,0,0,0,
0.40233,0.103859,0.812714,0.575918,0.520641,-0.4679,-0.422282,0.0113319,0.0182821,-0.00278805,-0.0279297,0.0205849,0.0448064,0.427256,0.384263,0.730556,-0.127866,-0.0920712,-0.200572,0.966925,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-1.41719,0.157426,1.24197,-0.830226,-6.43334,5.72742,-6.01458,10.6384,20.1782,-0.62741,13.713,-0.80366,3.19282,5.09029,-66.3005,0,0,0,0,0,-9.16683,0,0,0,
0.402392,0.103942,0.812694,0.575856,0.520655,-0.468004,-0.422234,0.017316,0.0224963,-0.00652021,-0.0262814,0.032295,0.0610793,0.427238,0.384347,0.7305,-0.127921,-0.0920376,-0.200439,0.966949,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-1.82464,0.367682,1.17547,-1.34713,-7.48898,5.81523,-4.69554,10.7616,20.174,-0.666888,13.8101,-0.781573,3.13176,4.99875,-65.1602,0,0,0,0,0,-9.15004,0,0,0,
0.402498,0.104059,0.812652,0.575756,0.520674,-0.468154,-0.422179,0.0226848,0.0218866,-0.009295,-0.022522,0.0409869,0.0605059,0.427212,0.384474,0.730408,-0.127997,-0.09197,-0.200221,0.96699,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-2.40635,0.715462,1.35417,-2.19353,-10.064,6.07559,-3.03474,11.0549,19.8607,-0.678036,14.1688,-0.774131,3.03745,4.85602,-63.3749,0,0,0,0,0,-9.12227,0,0,0,
0.402604,0.104145,0.812609,0.575656,0.520696,-0.468282,-0.422146,0.029189,0.0205893,-0.0111875,-0.017344,0.0488115,0.0700757,0.427192,0.384573,0.730327,-0.12805,-0.0918977,-0.200014,0.967033,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-1.92535,0.763129,0.830022,-2.2178,-9.24773,6.36275,-4.22777,11.2675,19.4606,-0.720813,13.9242,-0.750554,3.01831,4.83529,-63.1695,0,0,0,0,0,-9.09809,0,0,0,
