dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.8,0.683204,1.0314,-35.04,69.4212,11.7587,0.340105,0,-52.4863,-0.507109,0,-34.0938,7.87313,1.31633,47.8948,-50.2262,12.8183,
0.8,0.683204,1.0314,-35.0422,69.4243,11.7594,0.340122,0,-52.4886,-0.507125,0,-34.096,7.87363,1.31641,47.897,-50.2284,12.8188,
0.8,0.683204,1.0314,-35.0437,69.4284,11.7599,0.340135,0,-52.4917,-0.507154,0,-34.0974,7.87395,1.31646,47.8998,-50.2314,12.8196,
0.8,0.683204,1.0314,-35.0451,69.4314,11.7604,0.340149,0,-52.494,-0.507183,0,-34.0987,7.87427,1.31652,47.9019,-50.2336,12.8201,
0.8,0.683204,1.0314,-35.0466,69.4344,11.7609,0.340164,0,-52.4963,-0.50721,0,-34.1003,7.87462,1.31658,47.904,-50.2358,12.8207,
0.8,0.683204,1.0314,-35.0485,69.4382,11.7615,0.340182,0,-52.4991,-0.507239,0,-34.1021,7.87504,1.31665,47.9066,-50.2385,12.8214,
0.8,0.683204,1.0314,-35.05,69.4408,11.762,0.340196,0,-52.5011,-0.507259,0,-34.1035,7.87537,1.3167,47.9084,-50.2404,12.8219,
0.8,0.683204,1.0314,-35.0514,69.4405,11.7625,0.34021,0,-52.5009,-0.507255,0,-34.1049,7.87569,1.31675,47.9082,-50.2401,12.8218,
0.8,0.683204,1.0314,-35.053,69.4495,11.763,0.340237,0,-52.5077,-0.507318,0,-34.1065,7.87606,1.31682,47.9144,-50.2466,12.8235,
0.8,0.683204,1.0314,-35.0552,69.4501,11.7638,0.340253,0,-52.5081,-0.507322,0,-34.1086,7.87655,1.3169,47.9148,-50.2471,12.8236,
0.8,0.683204,1.0314,-35.056,69.4528,11.764,0.340261,0,-52.5102,-0.507342,0,-34.1094,7.87673,1.31693,47.9167,-50.2491,12.8241,
