dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.8,0.816114,0.817797,9.69749,10.7103,-1.06143,0,9.63403,3.94069,0,9.94635,9.30849,-2.71872,-0.257524,7.69651,-7.39026,1.93798,
0.8,0.816114,0.817797,9.69831,10.7112,-1.06152,0,9.63483,3.94102,0,9.94719,9.30927,-2.71895,-0.257546,7.69716,-7.39088,1.93814,
0.8,0.816114,0.817797,9.69912,10.7121,-1.06161,0,9.63564,3.94135,0,9.94802,9.31005,-2.71917,-0.257568,7.69781,-7.3915,1.9383,
0.8,0.816114,0.817797,9.69994,10.713,-1.0617,0,9.63645,3.94169,0,9.94886,9.31083,-2.7194,-0.257589,7.69845,-7.39212,1.93847,
0.8,0.816114,0.817797,9.70075,10.7139,-1.06179,0,9.63726,3.94202,0,9.94969,9.31161,-2.71963,-0.257611,7.6991,-7.39274,1.93863,
0.8,0.816114,0.817797,9.70156,10.7148,-1.06187,0,9.63807,3.94235,0,9.95053,9.3124,-2.71986,-0.257632,7.69975,-7.39336,1.93879,
0.8,0.816114,0.817797,9.70238,10.7157,-1.06196,0,9.63888,3.94268,0,9.95136,9.31318,-2.72009,-0.257654,7.70039,-7.39398,1.93895,
0.8,0.816114,0.817797,9.70319,10.7166,-1.06205,0,9.63969,3.94301,0,9.9522,9.31396,-2.72032,-0.257676,7.70104,-7.3946,1.93912,
0.8,0.816114,0.817797,9.70401,10.7175,-1.06214,0,9.6405,3.94334,0,9.95303,9.31474,-2.72054,-0.257697,7.70168,-7.39522,1.93928,
0.8,0.816114,0.817797,9.70482,10.7184,-1.06223,0,9.64131,3.94367,0,9.95387,9.31552,-2.72077,-0.257719,7.70233,-7.39585,1.93944,
0.8,0.816114,0.817797,9.70564,10.7193,-1.06232,0,9.64212,3.944,0,9.9547,9.3163,-2.721,-0.257741,7.70298,-7.39647,1.93961,
0.8,0.816114,0.817797,9.70645,10.7202,-1.06241,0,9.64293,3.94433,0,9.95554,9.31709,-2.72123,-0.257762,7.70362,-7.39709,1.93977,
0.8,0.816114,0.817797,9.70727,10.7211,-1.0625,0,9.64373,3.94466,0,9.95637,9.31787,-2.72146,-0.257784,7.70427,-7.39771,1.93993,
0.8,0.816114,0.817797,9.70808,10.722,-1.06259,0,9.64454,3.94499,0,9.95721,9.31865,-2.72168,-0.257805,7.70492,-7.39833,1.94009,
0.8,0.816114,0.817797,9.70889,10.7229,-1.06268,0,9.64535,3.94533,0,9.95804,9.31943,-2.72191,-0.257827,7.70556,-7.39895,1.94026,
0.8,0.816114,0.817797,9.70971,10.7238,-1.06277,0,9.64616,3.94566,0,9.95888,9.32021,-2.72214,-0.257849,7.70621,-7.39957,1.94042,
0.8,0.816114,0.817797,9.71052,10.7247,-1.06285,0,9.64697,3.94599,0,9.95971,9.32099,-2.72237,-0.25787,7.70685,-7.40019,1.94058,
0.8,0.816114,0.817797,9.71134,10.7256,-1.06294,0,9.64778,3.94632,0,9.96055,9.32177,-2.7226,-0.257892,7.7075,-7.40081,1.94074,
0.8,0.816114,0.817797,9.71215,10.7265,-1.06303,0,9.64859,3.94665,0,9.96138,9.32256,-2.72283,-0.257914,7.70815,-7.40143,1.94091,
0.8,0.816114,0.817797,9.71296,10.7274,-1.06312,0,9.6494,3.94698,0,9.96222,9.32334,-2.72305,-0.257935,7.70879,-7.40205,1.94107,
0.8,0.816114,0.817797,9.71378,10.7283,-1.06321,0,9.65021,3.94731,0,9.96305,9.32412,-2.72328,-0.257957,7.70944,-7.40267,1.94123,
0.8,0.816114,0.817797,9.71459,10.7292,-1.0633,0,9.65101,3.94764,0,9.96389,9.3249,-2.72351,-0.257978,7.71009,-7.40329,1.9414,
0.8,0.816114,0.817797,9.71541,10.7301,-1.06339,0,9.65182,3.94797,0,9.96472,9.32568,-2.72374,-0.258,7.71073,-7.40391,1.94156,
0.8,0.816114,0.817797,9.71622,10.731,-1.06348,0,9.65263,3.9483,0,9.96556,9.32646,-2.72397,-0.258022,7.71138,-7.40453,1.94172,
0.8,0.816114,0.817797,9.71704,10.7319,-1.06357,0,9.65344,3.94863,0,9.9664,9.32725,-2.7242,-0.258043,7.71202,-7.40515,1.94188,
0.8,0.816114,0.817797,9.71785,10.7328,-1.06366,0,9.65425,3.94896,0,9.96723,9.32803,-2.72442,-0.258065,7.71267,-7.40577,1.94205,
0.8,0.816114,0.817797,9.71866,10.7337,-1.06375,0,9.65506,3.9493,0,9.96807,9.32881,-2.72465,-0.258087,7.71332,-7.40639,1.94221,
0.8,0.816114,0.817797,9.71948,10.7346,-1.06384,0,9.65587,3.94963,0,9.9689,9.32959,-2.72488,-0.258108,7.71396,-7.40701,1.94237,
0.8,0.816114,0.817797,9.72029,10.7355,-1.06392,0,9.65668,3.94996,0,9.96973,9.33037,-2.72511,-0.25813,7.71461,-7.40763,1.94253,
0.8,0.816114,0.817797,9.72111,10.7364,-1.06401,0,9.65748,3.95029,0,9.97057,9.33115,-2.72534,-0.258151,7.71525,-7.40825,1.9427,
0.8,0.816114,0.817797,9.72192,10.7373,-1.0641,0,9.65829,3.95062,0,9.9714,9.33193,-2.72557,-0.258173,7.7159,-7.40887,1.94286,
0.8,0.816114,0.817797,9.72273,10.7382,-1.06419,0,9.6591,3.95095,0,9.97224,9.33272,-2.72579,-0.258195,7.71655,-7.4095,1.94302,
0.8,0.816114,0.817797,9.72355,10.7391,-1.06428,0,9.65991,3.95128,0,9.97308,9.3335,-2.72602,-0.258216,7.71719,-7.41012,1.94319,
0.8,0.816114,0.817797,9.72436,10.74,-1.06437,0,9.66072,3.95161,0,9.97391,9.33428,-2.72625,-0.258238,7.71784,-7.41074,1.94335,
0.8,0.816114,0.817797,9.72518,10.7409,-1.06446,0,9.66153,3.95194,0,9.97475,9.33506,-2.72648,-0.25826,7.71849,-7.41136,1.94351,
0.8,0.816114,0.817797,9.72599,10.7418,-1.06455,0,9.66234,3.95227,0,9.97558,9.33584,-2.72671,-0.258281,7.71913,-7.41198,1.94367,
0.8,0.816114,0.817797,9.72681,10.7427,-1.06464,0,9.66315,3.9526,0,9.97642,9.33662,-2.72694,-0.258303,7.71978,-7.4126,1.94384,
0.8,0.816114,0.817797,9.72762,10.7436,-1.06473,0,9.66396,3.95293,0,9.97725,9.33741,-2.72716,-0.258324,7.72042,-7.41322,1.944,
0.8,0.816114,0.817797,9.72843,10.7445,-1.06482,0,9.66477,3.95327,0,9.97809,9.33819,-2.72739,-0.258346,7.72107,-7.41384,1.94416,
0.8,0.816114,0.817797,9.72925,10.7454,-1.0649,0,9.66557,3.9536,0,9.97892,9.33897,-2.72762,-0.258368,7.72172,-7.41446,1.94432,
0.8,0.816114,0.817797,9.73006,10.7463,-1.06499,0,9.66638,3.95393,0,9.97976,9.33975,-2.72785,-0.258389,7.72236,-7.41508,1.94449,
0.8,0.816114,0.817797,9.73088,10.7472,-1.06508,0,9.66719,3.95426,0,9.98059,9.34053,-2.72808,-0.258411,7.72301,-7.4157,1.94465,
0.8,0.816114,0.817797,9.73169,10.7481,-1.06517,0,9.668,3.95459,0,9.98143,9.34131,-2.7283,-0.258432,7.72365,-7.41632,1.94481,
0.8,0.816114,0.817797,9.7325,10.749,-1.06526,0,9.66881,3.95492,0,9.98226,9.34209,-2.72853,-0.258454,7.7243,-7.41694,1.94497,
0.8,0.816114,0.817797,9.73332,10.7499,-1.06535,0,9.66962,3.95525,0,9.9831,9.34288,-2.72876,-0.258476,7.72495,-7.41756,1.94514,
0.8,0.816114,0.817797,9.73413,10.7508,-1.06544,0,9.67043,3.95558,0,9.98393,9.34366,-2.72899,-0.258497,7.72559,-7.41818,1.9453,
0.8,0.816114,0.817797,9.73495,10.7517,-1.06553,0,9.67124,3.95591,0,9.98477,9.34444,-2.72922,-0.258519,7.72624,-7.4188,1.94546,
0.8,0.816114,0.817797,9.73576,10.7526,-1.06562,0,9.67204,3.95624,0,9.9856,9.34522,-2.72945,-0.258541,7.72689,-7.41942,1.94563,
0.8,0.816114,0.817797,9.73658,10.7535,-1.06571,0,9.67285,3.95657,0,9.98644,9.346,-2.72967,-0.258562,7.72753,-7.42004,1.94579,
