pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
5.05301,4.87073,4.73563,4.84165,0,-30.1585,11.7879,0.578559,0.948264,-0.280783,-0.358392,-0.156134,-0.309906,-0.268784,-0.0404153,-1.6448e-09,2.22319e-07,-9.70136e-07,-8.22429e-07,0.000111159,-0.000485068,
5.05301,4.87073,4.73563,4.84165,0,-29.0417,11.8504,0.598828,0.96065,-0.277305,-0.383582,-0.130875,-0.315265,-0.278355,-0.0627997,-2.79506e-09,3.77808e-07,-1.64864e-06,-8.22429e-07,0.000111159,-0.000485068,
5.05302,4.87073,4.73561,4.84164,0,-29.3299,11.8399,0.59392,0.957736,-0.278197,-0.377317,-0.137331,-0.31409,-0.275938,-0.0571806,5.52309e-08,4.11166e-07,-2.46538e-06,3.32887e-05,1.91369e-05,-0.000468553,
5.05305,4.87071,4.73562,4.84164,0,-29.6526,11.8204,0.588228,0.954243,-0.279253,-0.3702,-0.144627,-0.312647,-0.27308,-0.0507258,7.27086e-08,2.40001e-07,-2.81812e-06,1.26633e-05,-0.000124013,-0.000255564,
5.05307,4.87071,4.73562,4.84163,0,-29.262,11.8435,0.595622,0.958902,-0.278093,-0.379324,-0.135596,-0.314614,-0.276566,-0.0587521,2.49142e-07,-4.20294e-07,-3.43937e-06,0.000109313,-0.000409093,-0.000384905,
5.05306,4.8707,4.73561,4.84164,0,-29.6163,11.8292,0.58949,0.95528,-0.279226,-0.371567,-0.143545,-0.313076,-0.273621,-0.0517875,6.46397e-07,-2.1091e-06,-4.02669e-06,0.000311109,-0.00132257,-0.000459952,
5.05296,4.87077,4.73564,4.84164,0,-29.3907,11.8511,0.593739,0.958316,-0.278583,-0.376807,-0.138208,-0.314115,-0.276076,-0.0565447,1.26625e-06,-5.17142e-06,-4.97558e-06,0.00035484,-0.00175302,-0.000543189,
5.05274,4.87088,4.7357,4.8417,0,-29.7408,11.8418,0.587088,0.954765,-0.279738,-0.368656,-0.14618,-0.312278,-0.273577,-0.0494173,1.77745e-06,-7.83215e-06,-6.10024e-06,0.000373333,-0.0019431,-0.000821331,
5.0525,4.87099,4.7358,4.84176,0,-29.6156,11.8982,0.590646,0.958336,-0.279441,-0.372369,-0.142333,-0.312905,-0.276647,-0.0533546,2.46815e-06,-1.1365e-05,-7.39125e-06,0.000421277,-0.00215471,-0.00078739,
5.05209,4.87119,4.73594,4.84184,0,-29.9035,11.87,0.583536,0.954268,-0.280438,-0.364424,-0.149624,-0.310835,-0.27415,-0.0463168,3.34753e-06,-1.58596e-05,-8.34479e-06,0.00061073,-0.00312136,-0.000662212,
5.0517,4.8714,4.73606,4.84195,0,-29.8554,11.9407,0.58582,0.957605,-0.280358,-0.366409,-0.147319,-0.311047,-0.277272,-0.0490118,4.41676e-06,-2.17753e-05,-9.26486e-06,0.000706767,-0.00391015,-0.000608146,
5.0513,4.87166,4.7362,4.84205,0,-29.9495,11.887,0.580611,0.953924,-0.280703,-0.361644,-0.151217,-0.309656,-0.275126,-0.0444038,5.43263e-06,-2.71387e-05,-1.0283e-05,0.00081322,-0.00429328,-0.000814963,
5.05083,4.8719,4.73635,4.84214,0,-29.9686,11.929,0.580387,0.955299,-0.280856,-0.361175,-0.151107,-0.309185,-0.276924,-0.0447024,6.99255e-06,-3.53565e-05,-1.21698e-05,0.000890744,-0.00469221,-0.00107738,
5.05023,4.87224,4.73654,4.84229,0,-30.1111,11.9058,0.574957,0.95241,-0.281361,-0.355732,-0.15547,-0.307501,-0.275718,-0.0400014,8.16466e-06,-4.18926e-05,-1.34304e-05,0.00092015,-0.00513073,-0.000989559,
5.0497,4.87254,4.7367,4.84242,0,-30.1086,11.9492,0.57483,0.9539,-0.281418,-0.355494,-0.155029,-0.307098,-0.277686,-0.0405211,9.83293e-06,-5.12002e-05,-1.44448e-05,0.000966114,-0.00538973,-0.00058736,
5.04894,4.87295,4.73694,4.84259,0,-30.1671,11.9002,0.569064,0.95029,-0.281662,-0.350541,-0.15848,-0.305319,-0.276247,-0.0360175,1.12723e-05,-5.96041e-05,-1.46403e-05,0.00099185,-0.00579056,-0.000134713,
5.04828,4.87329,4.73713,4.84272,0,-30.1027,11.9671,0.570372,0.953179,-0.28154,-0.351861,-0.156291,-0.305095,-0.279568,-0.0382777,1.28898e-05,-6.93385e-05,-1.48548e-05,0.00101283,-0.00609456,-0.000134327,
5.04751,4.87371,4.73736,4.84287,0,-30.1011,11.8995,0.564743,0.949147,-0.281553,-0.34756,-0.158959,-0.303448,-0.277843,-0.0341315,1.43296e-05,-7.78153e-05,-1.5265e-05,0.00101774,-0.00599162,-0.000289923,
5.04682,4.87409,4.73756,4.84301,0,-30.0146,11.9558,0.565775,0.951677,-0.281347,-0.348872,-0.156609,-0.303168,-0.280999,-0.0363031,1.59754e-05,-8.75139e-05,-1.54909e-05,0.00105951,-0.00624308,-0.000145434,
5.04595,4.87452,4.73777,4.84315,0,-30.0209,11.8957,0.560014,0.947765,-0.28135,-0.344384,-0.159355,-0.301435,-0.279512,-0.0321213,1.73128e-05,-9.58942e-05,-1.51128e-05,0.00100864,-0.00631956,0.000285118,
5.04521,4.87492,4.73793,4.84328,0,-29.9333,11.9269,0.559905,0.949087,-0.281116,-0.344894,-0.157687,-0.300989,-0.281768,-0.0332501,1.89242e-05,-0.000106468,-1.40205e-05,0.000961657,-0.0063096,0.00065181,
5.04427,4.87544,4.73816,4.84343,0,-30.0256,11.892,0.553436,0.945492,-0.281319,-0.339049,-0.161648,-0.298926,-0.280728,-0.028349,2.02609e-05,-0.000115322,-1.31066e-05,0.000974175,-0.00645249,0.000666033,
5.0435,4.87585,4.73835,4.84352,0,-29.8942,11.9332,0.554281,0.947609,-0.280965,-0.340648,-0.158768,-0.298589,-0.283751,-0.0306345,2.17095e-05,-0.000125698,-1.22944e-05,0.000905918,-0.00648802,0.000507875,
5.04264,4.87628,4.73852,4.84363,0,-30.0446,11.8939,0.547144,0.943424,-0.28131,-0.333836,-0.163903,-0.296425,-0.28206,-0.0247767,2.29728e-05,-0.000134445,-1.16359e-05,0.000933705,-0.00646473,0.000486666,
5.04179,4.87676,4.73868,4.84371,0,-30.05,11.9404,0.545717,0.944501,-0.28128,-0.332502,-0.163831,-0.295487,-0.284414,-0.024665,2.44254e-05,-0.000145324,-1.08108e-05,0.00088689,-0.00664102,0.000503685,
5.04087,4.87719,4.73882,4.8438,0,-30.1224,11.9094,0.539935,0.941256,-0.281372,-0.327396,-0.167163,-0.293629,-0.283569,-0.0203994,2.55517e-05,-0.000153937,-1.032e-05,0.000896022,-0.00685177,0.000390468,
5.04009,4.87765,4.73895,4.84387,0,-30.1769,11.951,0.537797,0.941778,-0.281455,-0.32512,-0.168136,-0.292578,-0.285367,-0.0193903,2.69757e-05,-0.000165915,-1.01165e-05,0.000820277,-0.00689953,0.000117198,
5.03918,4.87815,4.73908,4.84394,0,-30.2224,11.9229,0.532468,0.938872,-0.281398,-0.32059,-0.170809,-0.290889,-0.28482,-0.0156977,2.82702e-05,-0.000176311,-1.03172e-05,0.000907186,-0.00728473,-0.000140671,
5.03832,4.87861,4.73919,4.84398,0,-30.1917,11.99,0.532425,0.941166,-0.281247,-0.320606,-0.169443,-0.29025,-0.28813,-0.0169947,2.96513e-05,-0.00018809,-1.11767e-05,0.000865024,-0.00737692,-0.000538235,
5.03753,4.8791,4.73928,4.84401,0,-30.2603,11.9465,0.526478,0.937461,-0.281178,-0.315455,-0.172808,-0.288552,-0.286808,-0.0125678,3.07062e-05,-0.000197979,-1.23191e-05,0.00083067,-0.00778527,-0.000899442,
5.03671,4.87951,4.73932,4.84401,0,-30.3082,12.0046,0.525081,0.938751,-0.281214,-0.313816,-0.173198,-0.287644,-0.289224,-0.0122814,3.21804e-05,-0.000211537,-1.45306e-05,0.00087267,-0.00802499,-0.001309,
5.03593,4.87997,4.73938,4.84401,0,-30.2947,11.9544,0.520228,0.93543,-0.280894,-0.310237,-0.174968,-0.286269,-0.288191,-0.00911381,3.337e-05,-0.000222276,-1.6739e-05,0.000924123,-0.00834195,-0.00171542,
5.03517,4.88033,4.7394,4.844,0,-30.3244,11.9967,0.518707,0.936195,-0.28086,-0.308711,-0.175317,-0.285449,-0.290079,-0.00866196,3.48959e-05,-0.000236808,-2.03438e-05,0.000891535,-0.00848893,-0.00210579,
5.03438,4.88079,4.73941,4.84398,0,-30.2578,11.9537,0.514966,0.933623,-0.280374,-0.30644,-0.175826,-0.284393,-0.289599,-0.00665742,3.61278e-05,-0.000248459,-2.3396e-05,0.000950875,-0.00899096,-0.00235541,
5.03372,4.88115,4.7394,4.84395,0,-30.2645,11.9937,0.514024,0.934598,-0.280254,-0.305569,-0.175646,-0.283824,-0.291484,-0.00669818,3.77596e-05,-0.000263611,-2.81083e-05,0.0010053,-0.0093334,-0.00290262,
5.03299,4.88158,4.7394,4.8439,0,-30.2385,11.9472,0.509725,0.931595,-0.279855,-0.302545,-0.176963,-0.282644,-0.290601,-0.00401685,3.90869e-05,-0.000275826,-3.21322e-05,0.00102899,-0.00946676,-0.00311868,
5.03239,4.88194,4.73938,4.84388,0,-30.2658,12.0107,0.509564,0.933561,-0.279815,-0.302049,-0.176571,-0.282214,-0.293164,-0.00465745,4.06111e-05,-0.000289954,-3.70586e-05,0.00102406,-0.00948974,-0.00330895,
5.03176,4.88229,4.73934,4.84384,0,-30.2744,11.9475,0.504539,0.929636,-0.279493,-0.298232,-0.178926,-0.281039,-0.291277,-0.000953522,4.20241e-05,-0.000302738,-4.18277e-05,0.00106014,-0.00958802,-0.00357672,
5.03121,4.88263,4.73932,4.8438,0,-30.2998,11.95,0.502099,0.928785,-0.279338,-0.296128,-0.179889,-0.280238,-0.291682,0.000465043,4.34179e-05,-0.00031571,-4.68749e-05,0.00101854,-0.00947604,-0.00368711,
5.03076,4.88293,4.73929,4.84375,0,-30.5504,12.0088,0.498812,0.928888,-0.279863,-0.291388,-0.183947,-0.279043,-0.29259,0.00351633,4.50527e-05,-0.000330814,-5.30106e-05,0.00102259,-0.00944319,-0.00383626,
5.03014,4.88327,4.73926,4.84369,0,-30.3846,11.9593,0.49711,0.927096,-0.279136,-0.291571,-0.182344,-0.27864,-0.292358,0.00363276,4.66006e-05,-0.000344374,-5.85121e-05,0.00107752,-0.00943505,-0.00382794,
5.02973,4.88354,4.73923,4.84363,0,-30.5198,12.0295,0.496211,0.928747,-0.279405,-0.289621,-0.183731,-0.278035,-0.294388,0.00420598,4.82219e-05,-0.00035854,-6.43755e-05,0.00104093,-0.00909035,-0.0037625,
5.02926,4.88386,4.73919,4.84358,0,-30.4324,11.9702,0.493371,0.926037,-0.278867,-0.2883,-0.183828,-0.277471,-0.293197,0.00578764,4.97189e-05,-0.000371328,-7.02604e-05,0.00104014,-0.00888056,-0.00408674,
5.02891,4.8841,4.73916,4.84353,0,-30.5175,12.0255,0.492924,0.927504,-0.279012,-0.287153,-0.184508,-0.277092,-0.294936,0.00592325,5.13453e-05,-0.000385024,-7.656e-05,0.00104043,-0.0087564,-0.00402758,
5.02849,4.88436,4.73912,4.84347,0,-30.4067,11.9653,0.490641,0.925035,-0.278444,-0.286469,-0.184071,-0.276666,-0.293842,0.00700062,5.28457e-05,-0.000397016,-8.22511e-05,0.00107754,-0.0086066,-0.00408452,
5.02823,4.88458,4.7391,4.84345,0,-30.4644,12.0151,0.490692,0.926596,-0.278543,-0.285943,-0.184276,-0.276493,-0.295483,0.00673899,5.46726e-05,-0.000410753,-8.85559e-05,0.00112387,-0.00844571,-0.00387635,
5.02792,4.88483,4.73907,4.8434,0,-30.3633,11.955,0.488605,0.924205,-0.278018,-0.285329,-0.183932,-0.27617,-0.294273,0.00779352,5.63109e-05,-0.000422713,-9.39956e-05,0.00112832,-0.00823148,-0.00374398,
5.02771,4.88501,4.73907,4.84337,0,-30.4292,12.0052,0.488771,0.925817,-0.278175,-0.284824,-0.184185,-0.275974,-0.295899,0.00748863,5.80354e-05,-0.000434868,-9.98806e-05,0.00113759,-0.00801286,-0.00387948,
5.02751,4.88521,4.73906,4.84333,0,-30.4226,11.9636,0.486348,0.923669,-0.277951,-0.283123,-0.185201,-0.275511,-0.294682,0.00928501,5.97596e-05,-0.00044651,-0.00010541,0.00119912,-0.00809039,-0.00384278,
5.02738,4.88537,4.73906,4.84332,0,-30.5219,12.0055,0.485918,0.924708,-0.278191,-0.281897,-0.186295,-0.275254,-0.295712,0.00975206,6.16962e-05,-0.00045863,-0.000111146,0.00125097,-0.00782419,-0.00370311,
5.02727,4.88553,4.73907,4.84328,0,-30.423,11.9575,0.485026,0.923195,-0.277786,-0.282164,-0.185482,-0.275221,-0.294828,0.00999843,6.36116e-05,-0.000470387,-0.000116749,0.00128161,-0.00786147,-0.0037461,
5.0272,4.88567,4.73908,4.84325,0,-30.5523,12.0143,0.484946,0.924802,-0.278153,-0.280935,-0.186699,-0.274954,-0.296238,0.0102678,6.57343e-05,-0.000482871,-0.000122266,0.00137889,-0.00810335,-0.00358156,
5.02715,4.88579,4.7391,4.84322,0,-30.4835,11.9682,0.483919,0.923222,-0.277859,-0.280848,-0.186404,-0.274902,-0.295162,0.0108501,6.77684e-05,-0.000494853,-0.000127898,0.00138616,-0.00815961,-0.00383527,
5.02716,4.88586,4.7391,4.84321,10.0956,-30.7138,12.0391,0.462204,0.853934,-0.302636,-0.270938,-0.269967,-0.255658,-0.307293,0.0385746,6.99881e-05,-0.000506999,-0.000133625,0.00149389,-0.00816865,-0.00385174,
5.0272,4.88594,4.73912,4.8432,10.0665,-30.6206,12.0026,0.462321,0.853113,-0.302229,-0.271813,-0.268817,-0.255821,-0.306584,0.0382782,7.20989e-05,-0.000518187,-0.000138908,0.00157685,-0.00835178,-0.00394394,
