pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
4.82485,6.15704,0.84792,4.11047,22.7329,-44.1957,14.2277,0.102999,-0.380276,1.31738,0.672594,2.51127,2.59984,-1.61293,-0.954791,3.67107e-07,2.36148e-07,6.05114e-15,0.000183553,0.000118074,-7.77891e-05,
4.82485,6.15704,0.84792,4.11047,24.0969,-44.8725,14.2399,0.0467739,-0.470267,1.30639,0.616545,2.56343,2.66078,-1.73571,-1.02139,6.76834e-07,4.35385e-07,1.72294e-14,0.000183553,0.000118074,-7.77891e-05,
4.82491,6.15706,0.847908,4.11047,24.0172,-44.8444,14.2433,0.0504969,-0.46451,1.30746,0.620473,2.56087,2.65774,-1.72828,-1.01732,9.74506e-07,8.38866e-07,3.9042e-13,0.000179371,0.00024313,0.000376514,
4.82496,6.15706,0.84792,4.11048,23.6197,-44.6565,14.2432,0.0672987,-0.437903,1.31098,0.637235,2.54633,2.64086,-1.69225,-0.997422,1.21051e-06,1.03501e-06,3.67489e-13,0.000200172,0.000166363,0.000514167,
4.82497,6.15709,0.847968,4.11043,24.4885,-45.0941,14.2537,0.0314713,-0.494855,1.30445,0.601964,2.57914,2.67862,-1.77077,-1.04109,2.42233e-06,9.94009e-07,1.60958e-11,0.000984889,-3.33246e-05,0.00326065,
4.82498,6.15721,0.848184,4.11029,23.469,-44.6008,14.2488,0.0744794,-0.427717,1.31299,0.643556,2.54209,2.63655,-1.67973,-0.989599,5.81729e-06,-2.03896e-09,1.46946e-10,0.00219541,-0.000644128,0.00783901,
4.82505,6.15724,0.847872,4.11057,23.7917,-44.7772,14.2585,0.0613551,-0.447842,1.31122,0.632453,2.55417,2.64955,-1.70667,-1.00541,8.44647e-06,-1.57664e-06,8.68782e-11,0.00231401,-0.00138586,0.00820341,
4.8251,6.15703,0.847465,4.11085,23.978,-44.8785,14.2637,0.0533344,-0.459035,1.31007,0.626567,2.56056,2.65558,-1.72122,-1.01511,1.06777e-05,-2.95775e-06,6.41469e-11,0.0021252,-0.00131552,0.00762863,
4.82516,6.15678,0.846925,4.11119,24.9719,-45.3772,14.2751,0.0112824,-0.523092,1.30255,0.588221,2.59602,2.6941,-1.808,-1.06646,1.33257e-05,-4.26278e-06,1.06173e-10,0.00207534,-0.0010228,0.00807551,
4.82524,6.15643,0.846038,4.11174,23.7551,-44.7887,14.2699,0.0614386,-0.441322,1.31254,0.641066,2.54954,2.63852,-1.69418,-1.00571,1.69028e-05,-5.70026e-06,1.94454e-10,0.00229733,-0.000923206,0.00895566,
