ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.353515,-0.175468,0.734285,0.473072,0.570111,-0.475714,-0.474209,-0.0310644,-0.00274481,0.0114843,0.0894876,-0.0848201,0.0985167,0.401626,-0.444599,0.633143,0.95634,0.251698,0.021224,-0.14701,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.074739,0,0,0,0,-8.35981,-16.1733,-4.46811,24.302,0.0395407,13.4406,-5.00943,-26.4023,7.45255,-91.3669,0,0,0,0,0,20.0571,0,0,0,
0.353247,-0.175501,0.73439,0.472823,0.57067,-0.475515,-0.473982,-0.029702,-0.00432227,0.0112739,0.0865092,-0.0798232,0.0921515,0.401651,-0.444536,0.633127,0.956191,0.252174,0.021363,-0.14714,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.534817,-1.73924,-12.0453,11.4235,-12.6981,-7.1738,-14.4793,-2.8382,30,-1.3012,11.9038,-2.91893,-29.682,8.37883,-102.319,0,0,0,0,0,20.0619,0,0,0,
0.353129,-0.175519,0.734439,0.472714,0.57092,-0.47542,-0.473886,-0.028722,-0.00410238,0.0128121,0.0925305,-0.0852544,0.0877057,0.401661,-0.444511,0.633122,0.956127,0.252379,0.021428,-0.147198,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.287373,-0.858905,-5.90175,5.48209,-6.13142,-7.73734,-15.1712,-3.60323,28.2897,-0.591432,12.6887,-3.98691,-28.0668,7.92305,-96.5868,0,0,0,0,0,20.0635,0,0,0,
0.353015,-0.175546,0.734503,0.472604,0.571214,-0.475272,-0.47379,-0.0143577,-0.00951035,0.0111558,0.0918673,-0.0704052,0.0266221,0.401665,-0.444498,0.633116,0.956065,0.252566,0.0215034,-0.147266,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.439528,-1.0669,-7.16874,6.57104,-7.45011,-7.55039,-14.544,-3.2688,28.8364,-0.670293,12.2963,-3.75233,-27.9873,7.90439,-96.144,0,0,0,0,0,20.0651,0,0,0,
0.353001,-0.175566,0.734549,0.472551,0.571401,-0.47514,-0.473749,0.00274241,-0.0036345,0.0109476,0.0815914,-0.0706851,0.0275131,0.401652,-0.444527,0.633111,0.956062,0.252553,0.021535,-0.147302,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.321779,-0.796736,-5.55794,4.88952,-2.47267,-7.83548,-15.1374,-3.69666,25.9751,-0.659417,12.7713,-4.11016,-26.8516,7.59035,-92.1704,0,0,0,0,0,20.0668,0,0,0,
0.353056,-0.175599,0.734584,0.472538,0.571523,-0.474961,-0.473795,0.0148493,-0.00777027,0.00662911,0.079406,-0.0502983,-0.028644,0.401622,-0.444592,0.6331,0.9561,0.252397,0.0215401,-0.147326,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.553487,-0.61594,-6.02485,3.59704,1.99285,-8.06671,-14.8964,-3.81978,24.1942,-0.697881,13.35,-4.0239,-25.988,7.35503,-89.2144,0,0,0,0,0,20.07,0,0,0,
0.353144,-0.175626,0.734602,0.472553,0.571597,-0.4748,-0.473852,0.0259903,-0.00570752,0.00303976,0.0670766,-0.0359675,-0.0457849,0.401586,-0.44467,0.633087,0.956158,0.252181,0.0215124,-0.147322,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.469341,-0.344135,-4.98643,2.98173,3.71297,-8.50385,-15.0667,-4.31183,23.2001,-0.726996,13.5003,-4.20356,-25.5467,7.24206,-87.7388,0,0,0,0,0,20.074,0,0,0,
0.353306,-0.17566,0.734612,0.472597,0.571639,-0.474606,-0.473952,0.0361709,-0.00609505,0.00255194,0.0645864,-0.0293456,-0.0631806,0.401528,-0.444795,0.633067,0.956263,0.2518,0.0214519,-0.1473,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.577112,-0.204837,-5.1388,2.54327,8.40282,-8.80499,-15.1696,-4.63178,21.1308,-0.939491,14.019,-4.24688,-24.6288,6.99731,-84.6712,0,0,0,0,0,20.0799,0,0,0,
0.353466,-0.175687,0.734624,0.47264,0.571662,-0.474436,-0.474051,0.042464,-0.0068414,0.00302526,0.0679811,-0.0268408,-0.0720664,0.401475,-0.444911,0.633051,0.956364,0.251429,0.0214005,-0.147284,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.471025,-0.229457,-4.4532,1.96146,4.02584,-8.56593,-14.6459,-4.22947,22.2809,-0.519959,13.1768,-4.22742,-24.6169,7.0069,-84.7179,0,0,0,0,0,20.0846,0,0,0,
0.353698,-0.175693,0.734634,0.472686,0.571673,-0.474244,-0.474184,0.0499779,-0.00694985,0.00144305,0.0572497,-0.0132964,-0.0898528,0.401415,-0.445039,0.633028,0.956501,0.250926,0.0213172,-0.147265,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.0832359,-0.193175,-5.12821,1.52079,6.85582,-8.70589,-15.9619,-4.52814,19.9054,-0.658396,13.3208,-4.12439,-23.7779,6.78229,-81.9562,0,0,0,0,0,20.0916,0,0,0,
