pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
4.64346,4.82329,4.71631,4.50564,200,-200,55.3931,-1.33321,0.691595,-0.313729,1.70581,-1.37256,0.745566,-2.65119,-0.587461,6.45773e-09,1.75585e-07,1.92143e-14,3.22886e-06,8.77927e-05,-0.000138616,
4.64346,4.82329,4.71631,4.50564,64.7894,-79.2293,19.3598,-0.576421,0.208897,0.0601041,0.67537,-0.293667,0.398838,-1.18978,-0.315153,1.00722e-08,2.73862e-07,2.40776e-14,3.22886e-06,8.77927e-05,-0.000138616,
4.64346,4.82329,4.71631,4.50565,64.8483,-79.3009,19.3773,-0.577027,0.208944,0.060489,0.675974,-0.29359,0.399284,-1.19117,-0.315674,1.94392e-08,3.31931e-07,1.38391e-14,8.00942e-06,4.96522e-05,0.00010059,
4.64346,4.82328,4.7163,4.50565,64.8613,-79.3165,19.3812,-0.577232,0.208788,0.0609957,0.676071,-0.293115,0.399486,-1.19189,-0.316117,6.55634e-08,2.10199e-07,9.92242e-16,4.17506e-05,-0.000110188,2.8513e-05,
4.64346,4.82329,4.7163,4.50564,64.8582,-79.3123,19.3802,-0.577309,0.208494,0.0616413,0.675988,-0.292414,0.399602,-1.19241,-0.316603,1.08646e-07,-4.28422e-07,3.53738e-14,3.84387e-05,-0.00056978,0.000167805,
4.64343,4.82332,4.71628,4.50559,64.8074,-79.2495,19.3649,-0.577002,0.20785,0.0626309,0.675378,-0.291137,0.399451,-1.19232,-0.317147,2.24424e-07,-3.57228e-06,1.00372e-12,9.48728e-05,-0.0025762,0.000820966,
4.64344,4.82332,4.71627,4.50557,64.9113,-79.3763,19.3959,-0.577904,0.208134,0.0628966,0.676402,-0.291398,0.400118,-1.19441,-0.317814,4.13727e-07,-9.37693e-06,2.3689e-12,0.000153738,-0.00471421,0.00124999,
4.64343,4.82326,4.71631,4.50571,64.917,-79.3828,19.3975,-0.578231,0.208038,0.0631673,0.6766,-0.291122,0.400385,-1.1949,-0.317966,5.39144e-07,-1.58061e-05,1.95449e-12,0.000116285,-0.00596128,0.00129628,
4.64346,4.82317,4.71632,4.50583,64.9584,-79.4331,19.4098,-0.578744,0.208235,0.0632241,0.677091,-0.291174,0.40084,-1.19596,-0.318174,6.4217e-07,-2.32732e-05,7.24048e-13,9.25893e-05,-0.00671064,0.000764711,
4.6435,4.82305,4.71631,4.50606,64.9864,-79.467,19.4181,-0.579285,0.208501,0.0631301,0.677535,-0.291355,0.401268,-1.19676,-0.318064,6.60754e-07,-3.18947e-05,5.77354e-13,1.55076e-05,-0.00719414,0.000634036,
4.64356,4.82294,4.71633,4.50634,65.0481,-79.5422,19.4365,-0.58019,0.208922,0.0629293,0.678401,-0.291831,0.401932,-1.19808,-0.317974,7.14413e-07,-4.2391e-05,3.79411e-13,3.97094e-05,-0.00776754,0.000455831,
4.64365,4.82274,4.71634,4.50672,65.0555,-79.5512,19.4387,-0.58067,0.209322,0.0625395,0.678728,-0.292081,0.402401,-1.19858,-0.317538,8.99122e-07,-5.42352e-05,1.2837e-12,0.000141631,-0.00908194,0.000868766,
4.64376,4.82257,4.71634,4.50708,65.0564,-79.5521,19.4389,-0.581081,0.209692,0.0621887,0.678956,-0.292287,0.402796,-1.19895,-0.317065,1.22864e-06,-6.65177e-05,2.13414e-12,0.000268402,-0.0100046,0.00118994,
4.64384,4.82242,4.71636,4.50746,65.063,-79.5598,19.4409,-0.581608,0.210043,0.0618195,0.679313,-0.292618,0.403205,-1.19932,-0.316538,1.56478e-06,-7.87216e-05,4.09181e-12,0.000292777,-0.01063,0.00176195,
4.64394,4.82224,4.71637,4.50793,65.0688,-79.5663,19.4425,-0.582256,0.210423,0.0614303,0.679733,-0.292982,0.403681,-1.19973,-0.315903,1.99367e-06,-9.38724e-05,8.36192e-12,0.00029928,-0.0105727,0.00201791,
4.64408,4.82196,4.7164,4.5085,65.0948,-79.5978,19.4502,-0.58304,0.211267,0.0603789,0.680418,-0.293948,0.404361,-1.20028,-0.314924,2.38317e-06,-0.000105484,7.64868e-12,0.00033653,-0.0100331,0.00238962,
