ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.492637,0.120943,0.843164,0.654545,0.466213,-0.509809,-0.3071,5.03092e-06,-1.56663e-05,-3.46168e-05,5.92062e-05,5.34246e-05,-1.56712e-05,0.424742,0.396177,0.679348,0.0490533,0.976491,-0.20868,0.0226374,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.00246081,0,0,0,0,9.90724,1.57675,6.2265,-4.17952,-1.27317,-2.28993,0.887745,0,0,-12,0,0,0,0,0,6.19574,0,0,0,
0.492637,0.120943,0.843163,0.654545,0.466213,-0.509809,-0.307101,6.47418e-06,-1.49946e-05,-3.88168e-05,6.83837e-05,5.92258e-05,-1.16287e-05,0.424742,0.396177,0.679347,0.0490533,0.976491,-0.20868,0.0226369,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.00368404,0.00411427,-0.00495368,-0.00350316,0.00120399,9.91382,1.56221,6.23583,-4.1784,-1.27323,-2.29028,0.887723,0,0,-12,0,0,0,0,0,6.1958,0,0,0,
0.492637,0.120943,0.843163,0.654545,0.466213,-0.509809,-0.307101,5.95696e-06,-1.32493e-05,-3.49964e-05,5.95965e-05,5.40978e-05,-1.04334e-05,0.424742,0.396177,0.679347,0.0490533,0.976491,-0.20868,0.0226367,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.00339783,0.00162046,-0.00156287,-0.00153649,0.000475583,9.91002,1.55977,6.23248,-4.17798,-1.27296,-2.29031,0.887725,0,0,-12,0,0,0,0,0,6.19583,0,0,0,
0.492637,0.120943,0.843162,0.654544,0.466214,-0.509809,-0.307101,5.95687e-06,-1.32491e-05,-3.49961e-05,5.95959e-05,5.40972e-05,-1.04333e-05,0.424742,0.396177,0.679347,0.0490533,0.976491,-0.208679,0.0226362,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.00697657,0.00468819,-0.00445716,-0.0044308,-0.00410098,9.91486,1.55036,6.23911,-4.17658,-1.27271,-2.29174,0.887907,0,0,-12,0,0,0,0,0,6.19592,0,0,0,
0.492637,0.120943,0.843162,0.654544,0.466214,-0.509809,-0.307102,5.55055e-06,-1.24155e-05,-3.27013e-05,5.59569e-05,5.04582e-05,-9.75577e-06,0.424742,0.396177,0.679347,0.0490533,0.976491,-0.208679,0.022636,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.0019721,0.00166137,-0.00162926,-0.00160286,-0.000473547,9.91002,1.56412,6.23158,-4.17827,-1.27301,-2.29042,0.887793,0,0,-12,0,0,0,0,0,6.19594,0,0,0,
0.492637,0.120943,0.843162,0.654544,0.466214,-0.509809,-0.307102,5.24208e-06,-1.24683e-05,-3.18601e-05,5.73572e-05,4.81923e-05,-9.57494e-06,0.424742,0.396177,0.679347,0.0490533,0.976491,-0.208679,0.0226358,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.000628091,0.00267296,-0.00365338,-0.00219871,-4.00691e-05,9.91151,1.56999,6.23197,-4.17895,-1.27321,-2.29021,0.887901,0,0,-12,0,0,0,0,0,6.19597,0,0,0,
0.492637,0.120942,0.843162,0.654544,0.466214,-0.509809,-0.307102,5.19065e-06,-1.202e-05,-3.11193e-05,5.48154e-05,4.74835e-05,-9.32248e-06,0.424742,0.396177,0.679347,0.0490533,0.976491,-0.208678,0.0226354,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.00348966,0.00317681,-0.00309385,-0.00304105,-0.00134871,9.91205,1.58337,6.22977,-4.18008,-1.27352,-2.29039,0.88769,0,0,-12,0,0,0,0,0,6.19603,0,0,0,
0.492637,0.120942,0.843161,0.654543,0.466214,-0.509809,-0.307103,4.77477e-06,-1.11638e-05,-2.87664e-05,5.10719e-05,4.37566e-05,-8.6275e-06,0.424742,0.396177,0.679346,0.0490533,0.976491,-0.208678,0.0226352,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.0017029,0.00179731,-0.00180888,-0.00175604,-0.000686078,9.91006,1.57612,6.22921,-4.17941,-1.27328,-2.29024,0.887774,0,0,-12,0,0,0,0,0,6.19606,0,0,0,
0.492638,0.120942,0.843161,0.654543,0.466214,-0.509809,-0.307103,4.7713e-06,-1.11566e-05,-2.87469e-05,5.10409e-05,4.37256e-05,-8.62174e-06,0.424742,0.396177,0.679346,0.0490533,0.976491,-0.208678,0.0226351,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.00416611,0.00177827,-0.00179812,-0.00174526,0.000488689,9.90991,1.58445,6.22739,-4.18037,-1.27355,-2.28984,0.887664,0,0,-12,0,0,0,0,0,6.19609,0,0,0,
0.492638,0.120942,0.843161,0.654543,0.466214,-0.509809,-0.307103,4.6686e-06,-1.02619e-05,-2.72679e-05,4.59677e-05,4.23103e-05,-8.11776e-06,0.424742,0.396177,0.679346,0.0490533,0.976491,-0.208678,0.0226347,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,-0.00121515,0.00333839,-0.00327342,-0.00322056,-0.000721823,9.91244,1.57633,6.23144,-4.17947,-1.27342,-2.2904,0.887702,0,0,-12,0,0,0,0,0,6.19615,0,0,0,
0.492638,0.120942,0.84316,0.654543,0.466214,-0.509809,-0.307103,4.25359e-06,-9.41104e-06,-2.49246e-05,4.22539e-05,3.85936e-05,-7.42598e-06,0.424742,0.396177,0.679346,0.0490533,0.976491,-0.208678,0.0226345,-0.178981,0.0799403,0.739144,0.694609,0.287715,0.609158,-0.25232,0,0,0,0,0,0,0,0.00109619,0.00183832,-0.00187555,-0.00182264,-0.000351031,9.91029,1.56715,6.23111,-4.17858,-1.27311,-2.29033,0.887823,0,0,-12,0,0,0,0,0,6.19617,0,0,0,
