pivot_1,pivot_2,pivot_3,pivot_4,pf_x,pf_y,pf_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,f_drive_ref_1,f_drive_ref_2,f_drive_ref_3,f_drive_ref_4,f_drive_ref_5,f_drive_ref_6,f_drive_ref_7,f_drive_ref_8,f_krnl_1,f_krnl_2,f_krnl_3,f_krnl_4,f_krnl_5,f_krnl_6,f_krnl_7,f_krnl_8,f_null_1,f_null_2,f_null_3,f_null_4,f_null_5,f_null_6,f_null_7,f_null_8,f_null_scale_factor,f_null_scaled_1,f_null_scaled_2,f_null_scaled_3,f_null_scaled_4,f_null_scaled_5,f_null_scaled_6,f_null_scaled_7,f_null_scaled_8,f_drv_1,f_drv_2,f_drv_3,f_drv_4,f_drv_5,f_drv_6,f_drv_7,f_drv_8,f_wheel_1,f_wheel_2,f_wheel_3,f_wheel_4,f_wheel_5,f_wheel_6,f_wheel_7,f_wheel_8
3.41964,1.77213,2.46959,3.13504,0,-200,0,-2.12148,-1.33236,-3.83836,-6.65529,-1.35495,-3.14479,-1.53183,-1.55068,0,129.275,0,294.026,0,224.28,0,157.735,13.7239,48.0797,-48.99,9.99888,-31.1278,39.1288,-0.327759,49.9989,-136.388,42.7273,113.265,161.3,15.778,61.1055,-88.4448,36.4936,4.32227,6.95258e-310,184.679,5.32375e-310,697.181,1.4822e-323,264.114,4.94066e-324,157.735,13.7239,232.758,-48.99,707.18,-31.1278,303.243,-0.327759,207.734,-36.8953,-23.1714,-66.7541,-115.744,-23.5643,-54.692,-26.6405,-26.9683,
3.41964,1.77213,2.46959,3.13504,0,-200,0,-2.12148,-1.33236,-3.83836,-6.65529,-1.35495,-3.14479,-1.53183,-1.55068,0,129.275,0,294.026,0,224.28,0,157.735,13.7239,48.0797,-48.99,9.99888,-31.1278,39.1288,-0.327759,49.9989,-136.388,42.7273,113.265,161.3,15.778,61.1055,-88.4448,36.4936,4.32227,6.95258e-310,184.679,5.32375e-310,697.181,1.4822e-323,264.114,4.94066e-324,157.735,13.7239,232.758,-48.99,707.18,-31.1278,303.243,-0.327759,207.734,-36.8953,-23.1714,-66.7541,-115.744,-23.5643,-54.692,-26.6405,-26.9683,
3.41964,1.77213,2.46959,3.13504,0,-200,0,-2.12148,-1.33236,-3.83836,-6.65529,-1.35495,-3.14479,-1.53183,-1.55068,0,129.275,0,294.026,0,224.28,0,157.735,13.7239,48.0797,-48.99,9.99888,-31.1278,39.1288,-0.327759,49.9989,-136.388,42.7273,113.265,161.3,15.778,61.1055,-88.4448,36.4936,4.32227,6.95258e-310,184.679,5.32375e-310,697.181,1.4822e-323,264.114,4.94066e-324,157.735,13.7239,232.758,-48.99,707.18,-31.1278,303.243,-0.327759,207.734,-36.8953,-23.1714,-66.7541,-115.744,-23.5643,-54.692,-26.6405,-26.9683,
3.41964,1.77213,2.46959,3.13504,0,-200,0,-2.12148,-1.33236,-3.83836,-6.65529,-1.35495,-3.14479,-1.53183,-1.55068,0,129.275,0,294.026,0,224.28,0,157.735,13.7239,48.0797,-48.99,9.99888,-31.1278,39.1288,-0.327759,49.9989,-136.388,42.7273,113.265,161.3,15.778,61.1055,-88.4448,36.4936,4.32227,6.95258e-310,184.679,5.32375e-310,697.181,1.4822e-323,264.114,4.94066e-324,157.735,13.7239,232.758,-48.99,707.18,-31.1278,303.243,-0.327759,207.734,-36.8953,-23.1714,-66.7541,-115.744,-23.5643,-54.692,-26.6405,-26.9683,
3.41964,1.77213,2.46958,3.13503,0,-200,0,-2.12149,-1.33237,-3.83851,-6.65543,-1.35501,-3.14488,-1.53182,-1.5507,0,129.275,0,294.026,0,224.281,0,157.736,13.7239,48.0797,-48.99,9.99888,-31.1282,39.1284,-0.328355,49.9989,-136.389,42.7265,113.264,161.3,15.7779,61.1062,-88.4454,36.4928,4.3224,6.95258e-310,184.681,5.32375e-310,697.201,1.4822e-323,264.125,4.94066e-324,157.736,13.7239,232.76,-48.99,707.2,-31.1282,303.253,-0.328355,207.735,-36.8955,-23.1717,-66.7566,-115.747,-23.5654,-54.6936,-26.6404,-26.9687,
3.41963,1.77214,2.46958,3.13504,0,-200,0,-2.12146,-1.33237,-3.83847,-6.65539,-1.35501,-3.14489,-1.53183,-1.55068,0,129.276,0,294.025,0,224.281,0,157.735,13.7233,48.0798,-48.9899,9.99947,-31.1282,39.1284,-0.327759,49.9989,-136.387,42.7256,113.264,161.297,15.7796,61.1058,-88.4457,36.4922,4.32243,6.95258e-310,184.678,5.32375e-310,697.195,1.4822e-323,264.126,4.94066e-324,157.735,13.7233,232.758,-48.9899,707.195,-31.1282,303.254,-0.327759,207.734,-36.895,-23.1717,-66.756,-115.746,-23.5654,-54.6937,-26.6405,-26.9683,
3.41964,1.77214,2.46958,3.13503,0,-200,0,-2.12149,-1.33237,-3.83853,-6.65545,-1.35503,-3.14491,-1.53182,-1.5507,0,129.275,0,294.025,0,224.281,0,157.736,13.7239,48.0797,-48.9899,9.99947,-31.1282,39.1284,-0.328355,49.9989,-136.388,42.7257,113.263,161.297,15.7789,61.1058,-88.4447,36.4921,4.32247,6.95258e-310,184.681,5.32375e-310,697.203,1.4822e-323,264.128,4.94066e-324,157.736,13.7239,232.761,-48.9899,707.203,-31.1282,303.257,-0.328355,207.735,-36.8956,-23.1717,-66.757,-115.747,-23.5658,-54.694,-26.6404,-26.9687,
3.41961,1.77199,2.46946,3.13499,0,-200,0,-2.1215,-1.33244,-3.83901,-6.65602,-1.35516,-3.1453,-1.5318,-1.55078,0,129.277,0,294.04,0,224.293,0,157.74,13.7227,48.08,-48.9915,9.99183,-31.1329,39.1247,-0.330155,49.9989,-136.392,42.73,113.265,161.327,15.7691,61.1193,-88.4636,36.4956,4.32216,6.95258e-310,184.686,5.32375e-310,697.281,1.4822e-323,264.168,4.94066e-324,157.74,13.7227,232.766,-48.9915,707.273,-31.1329,303.292,-0.330155,207.739,-36.8956,-23.1729,-66.7653,-115.757,-23.568,-54.7009,-26.6399,-26.9701,
3.41951,1.77157,2.46929,3.13492,0,-200,0,-2.12135,-1.33259,-3.8398,-6.65705,-1.35503,-3.14555,-1.53175,-1.55094,0,129.288,0,294.082,0,224.31,0,157.747,13.7175,48.0815,-48.9956,9.97128,-31.1395,39.1195,-0.333755,49.9989,-136.396,42.7421,113.279,161.407,15.7359,61.1403,-88.5014,36.5079,4.3209,6.95258e-310,184.684,5.32375e-310,697.425,1.4822e-323,264.181,4.94066e-324,157.747,13.7175,232.766,-48.9956,707.396,-31.1395,303.3,-0.333755,207.746,-36.8931,-23.1755,-66.7791,-115.775,-23.5658,-54.7053,-26.6391,-26.9728,
3.41951,1.77141,2.46931,3.13493,0,-200,0,-2.12131,-1.33256,-3.83931,-6.65665,-1.35462,-3.14509,-1.53175,-1.55091,0,129.288,0,294.098,0,224.308,0,157.746,13.7175,48.0815,-48.9972,9.96365,-31.1385,39.1202,-0.333159,49.9989,-136.397,42.7526,113.288,161.439,15.7214,61.1431,-88.5077,36.5176,4.31972,6.95258e-310,184.679,5.32375e-310,697.373,1.4822e-323,264.121,4.94066e-324,157.746,13.7175,232.761,-48.9972,707.337,-31.1385,303.241,-0.333159,207.745,-36.8924,-23.1749,-66.7706,-115.768,-23.5587,-54.6972,-26.6392,-26.9724,
