pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
4.84638,4.8669,4.54556,4.58231,-1.10629,0,0,-0.198227,0.291313,-0.0697749,0.104363,0.301821,-0.305567,0.0525506,-0.104236,-3.74984e-10,-1.4459e-07,3.23002e-08,-2.49297e-05,0.000110497,0.000182327,
4.8464,4.86689,4.54556,4.58231,-1.0999,0,0,-0.198249,0.291489,-0.0698456,0.104299,0.301903,-0.305687,0.0525541,-0.104296,-6.72463e-08,1.29302e-07,1.28394e-07,-3.68072e-05,0.000150755,5.28915e-05,
4.8464,4.8669,4.54556,4.58233,-1.09957,0,0,-0.198315,0.291533,-0.0698566,0.104351,0.301971,-0.305785,0.0525779,-0.104299,-1.06092e-07,2.87681e-07,1.79562e-07,-2.60417e-05,0.000106174,3.43024e-05,
4.84639,4.86691,4.54556,4.58231,-1.10857,0,0,-0.198384,0.291564,-0.0698353,0.104449,0.302077,-0.305817,0.0525976,-0.104326,-5.22496e-08,2.99495e-07,-2.61155e-07,3.74398e-05,8.21532e-06,-0.000306454,
4.84639,4.8669,4.54556,4.58231,-1.09715,0,0,-0.198423,0.291616,-0.0698771,0.104418,0.302101,-0.305892,0.0525841,-0.104365,-6.1146e-08,3.03888e-07,-3.0676e-07,-8.27247e-06,4.08415e-06,-4.24069e-05,
4.84639,4.8669,4.54556,4.58231,-1.09481,0,0,-0.198479,0.291686,-0.0699,0.10444,0.302173,-0.305975,0.0525927,-0.104397,-6.70721e-08,5.16021e-07,-2.84475e-07,-3.88175e-06,0.000138951,1.45973e-05,
4.84639,4.86691,4.54555,4.58233,-1.08497,0,0,-0.198564,0.291714,-0.0699297,0.104474,0.302223,-0.306109,0.0526049,-0.104403,-1.29297e-07,4.18371e-07,-1.68883e-07,-4.37077e-05,-6.8591e-05,8.11938e-05,
4.8464,4.86691,4.54556,4.5823,-1.09375,0,0,-0.198579,0.291845,-0.0699447,0.104487,0.302342,-0.306114,0.0526073,-0.104486,-1.2861e-07,5.41711e-07,-1.83743e-07,4.96944e-07,8.92815e-05,-1.07569e-05,
4.84638,4.86691,4.54555,4.58231,-1.0947,0,0,-0.198661,0.29184,-0.0699319,0.10457,0.302396,-0.306214,0.0526364,-0.104452,-6.50433e-08,4.32357e-07,-6.06644e-07,4.12545e-05,-7.09701e-05,-0.000274459,
4.84639,4.8669,4.54556,4.58231,-1.09011,0,0,-0.198672,0.291943,-0.0699751,0.104525,0.30244,-0.306266,0.0526307,-0.104504,-3.13376e-08,3.58785e-07,-6.20027e-07,2.90024e-05,-6.33054e-05,-1.15155e-05,
