dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.75,0.566355,0.591295,-102.822,-70.5032,16.1686,8.82112,-101.159,-13.1404,9.80025,-68.571,-102.654,-3.94971,8.91314,-69.1828,12.8786,-7.83552,
0.75,0.566481,0.591448,-95.1989,-60.3841,14.9662,8.16645,-93.6597,-11.2461,8.39125,-58.7312,-95.0434,-3.66476,8.25372,-59.254,11.0261,-6.71024,
0.75,0.566543,0.591523,-102.775,-69.7423,16.1553,8.81568,-101.114,-12.9842,9.69033,-67.8343,-102.607,-3.9607,8.91135,-68.4374,12.7326,-7.7498,
0.75,0.566673,0.591677,-95.1683,-61.0177,14.9557,8.16229,-93.6307,-11.3511,8.47607,-59.3503,-95.0122,-3.67677,8.25338,-59.8767,11.1355,-6.7796,
0.75,0.566735,0.59176,-102.978,-68.8021,16.1815,8.83092,-101.315,-12.7939,9.55629,-66.9233,-102.809,-3.98346,8.93155,-67.5161,12.5535,-7.64408,
0.75,0.566862,0.591918,-95.3358,-60.1957,14.9767,8.17287,-93.7967,-11.1848,8.35895,-58.5538,-95.1787,-3.69646,8.27021,-59.0713,10.9787,-6.68716,
0.75,0.566923,0.591999,-102.736,-68.7451,16.1395,8.80604,-101.078,-12.7685,9.54499,-66.8711,-102.567,-3.98748,8.91291,-67.4614,12.5354,-7.63647,
0.75,0.567048,0.592169,-97.9542,-61.8569,15.386,8.39375,-96.3734,-11.48,8.58649,-60.1727,-97.792,-3.8109,8.4996,-60.7027,11.2742,-6.87045,
0.75,0.567173,0.592253,-92.0521,-67.2806,14.4577,7.88542,-90.567,-12.4815,9.33846,-65.4498,-91.8993,-3.58875,7.98878,-66.0256,12.2598,-7.47239,
0.75,0.567235,0.592422,-102.806,-56.6639,16.1457,8.80539,-101.148,-10.5045,7.86318,-55.1237,-102.635,-4.01238,8.92285,-55.6079,10.32,-6.29239,
0.75,0.567298,0.592515,-102.282,-66.6618,16.0617,8.75949,-100.633,-12.3516,9.24998,-64.8512,-102.112,-3.99702,8.87823,-65.42,12.1378,-7.40214,
0.75,0.56742,0.592602,-93.9723,-67.6644,14.7559,8.0459,-92.4572,-12.5328,9.38823,-65.8275,-93.8154,-3.68001,8.15828,-66.4045,12.3171,-7.51293,
0.75,0.56748,0.592776,-103.363,-56.9175,16.2302,8.8488,-101.697,-10.5363,7.89547,-55.3738,-103.191,-4.05249,8.9744,-55.8588,10.3549,-6.3187,
0.75,0.567602,0.592871,-95.0779,-67.3078,14.9281,8.13716,-93.5454,-12.4539,9.33623,-65.4833,-94.9183,-3.73746,8.25673,-66.0564,12.2416,-7.47159,
0.75,0.567665,0.593049,-102.817,-56.2213,16.1435,8.79848,-101.16,-10.3951,7.79721,-54.699,-102.645,-4.04622,8.92964,-55.1772,10.2192,-6.23992,
0.75,0.567789,0.593236,-94.9971,-55.5495,14.9152,8.12664,-93.4663,-10.2639,7.70284,-54.0469,-94.8369,-3.74832,8.25217,-54.5191,10.0908,-6.16433,
0.75,0.56785,0.593327,-102.876,-67.3718,16.1524,8.79877,-101.218,-12.4446,9.34132,-65.5502,-102.702,-4.06404,8.93742,-66.1227,12.2346,-7.47564,
0.75,0.56797,0.593505,-97.9236,-60.1896,15.3755,8.37283,-96.3458,-11.1132,8.34386,-58.5633,-97.7577,-3.87772,8.50882,-59.075,10.9231,-6.6775,
0.75,0.568089,0.593602,-93.9551,-65.6701,14.7532,8.03185,-92.4413,-12.1203,9.10315,-63.8967,-93.7955,-3.73051,8.16573,-64.4548,11.9139,-7.28489,
0.75,0.568149,0.593784,-103.432,-56.8423,16.2422,8.84247,-101.765,-10.4855,7.87802,-55.3085,-103.256,-4.11104,8.99012,-55.7915,10.306,-6.30457,
0.75,0.56827,0.593875,-93.7348,-66.3418,14.721,8.01219,-92.2243,-12.2365,9.19342,-64.5522,-93.575,-3.7338,8.14869,-65.1162,12.0243,-7.35753,
0.75,0.56833,0.594066,-103.166,-55.2308,16.2026,8.81744,-101.503,-10.1813,7.65236,-53.7422,-102.99,-4.11336,8.96924,-54.2117,10.0042,-6.12426,
0.75,0.568464,0.594158,-91.3105,-65.7146,14.3398,7.8037,-89.8392,-12.1114,9.104,-63.9441,-91.1542,-3.64925,7.94004,-64.5027,11.8994,-7.28613,
0.75,0.568523,0.594353,-103.412,-55.0461,16.2406,8.83723,-101.746,-10.1407,7.62452,-53.564,-103.235,-4.13544,8.99281,-54.0322,9.96086,-6.10215,
0.75,0.568658,0.594448,-91.75,-65.7123,14.4074,7.84008,-90.272,-12.1034,9.10093,-63.9437,-91.5924,-3.6767,7.97999,-64.5027,11.8871,-7.28393,
0.75,0.568721,0.594641,-102.315,-53.605,16.0659,8.7422,-100.666,-9.87012,7.42235,-52.163,-102.139,-4.10289,8.89933,-52.6194,9.6905,-5.94083,
0.75,0.568853,0.594738,-93.2147,-66.0826,14.6359,7.96423,-91.7134,-12.1646,9.14921,-64.3057,-93.0542,-3.74417,8.10891,-64.8684,11.9424,-7.32306,
0.75,0.568923,0.594941,-101.1,-51.4214,15.8742,8.6382,-99.4717,-9.46022,7.11792,-50.0399,-100.926,-4.06345,8.79532,-50.4777,9.28716,-5.69743,
0.75,0.569063,0.595038,-91.3096,-65.4261,14.3384,7.80217,-89.8386,-12.0356,9.05511,-63.6689,-91.1519,-3.67595,7.94463,-64.2262,11.8127,-7.24851,
0.75,0.569132,0.595244,-101.287,-51.4187,15.9043,8.65485,-99.6557,-9.45301,7.11491,-50.039,-101.112,-4.08008,8.8132,-50.4767,9.2781,-5.69573,
0.75,0.569276,0.595448,-92.1524,-52.6873,14.4677,7.87538,-90.6683,-9.68262,7.28791,-51.2746,-91.993,-3.7162,8.01908,-51.7232,9.50154,-5.83536,
0.75,0.569348,0.595558,-100.801,-64.0267,15.8237,8.61505,-99.1773,-11.7657,8.8546,-62.3104,-100.626,-4.06671,8.77194,-62.8559,11.5425,-7.09061,
0.75,0.569499,0.595767,-93.0898,-54.5903,14.6103,7.95754,-91.5911,-10.025,7.54751,-53.1285,-92.9286,-3.75777,8.10131,-53.593,9.83666,-6.04482,
0.75,0.569665,0.595873,-86.6446,-63.2117,13.5909,7.40838,-85.2507,-11.6069,8.73751,-61.5196,-86.4945,-3.49945,7.54073,-62.0575,11.3873,-6.999,
0.75,0.569748,0.596092,-97.3184,-44.6304,15.2601,8.32181,-95.7536,-8.19158,6.16686,-43.4366,-97.1498,-3.93112,8.46978,-43.8163,8.0358,-4.94095,
0.75,0.569903,0.5962,-88.7766,-63.3182,13.913,7.59242,-87.3503,-11.6183,8.7477,-61.6254,-88.6232,-3.57969,7.72526,-62.1638,11.3982,-7.00945,
0.75,0.569994,0.596417,-99.8326,-53.8444,15.6384,8.53906,-98.2297,-9.87536,7.4361,-52.4061,-99.66,-4.02623,8.68747,-52.8635,9.68889,-5.96005,
0.75,0.570177,0.596534,-83.3563,-60.8897,13.0469,7.13191,-82.0195,-11.1625,8.40813,-59.2643,-83.2124,-3.36125,7.25362,-59.781,10.9545,-6.73956,
0.75,0.570277,0.596759,-94.4529,-43.3534,14.7536,8.08035,-92.943,-7.9435,5.98406,-42.1973,-94.2896,-3.81372,8.22012,-42.5647,7.79659,-4.79808,
0.75,0.570459,0.596873,-84.8748,-62.142,13.2449,7.26326,-83.5197,-11.3825,8.57572,-60.4857,-84.7284,-3.42006,7.38534,-61.012,11.1734,-6.87713,
0.75,0.570583,0.597114,-93.4093,-46.0459,14.5642,7.99621,-91.9198,-8.42713,6.35234,-44.8202,-93.2481,-3.77019,8.12907,-45.2093,8.27613,-5.09531,
0.75,0.570691,0.597232,-94.3701,-60.9605,14.7044,8.08048,-92.8666,-11.1525,8.4083,-59.3389,-94.2074,-3.8073,8.2124,-59.8533,10.9552,-6.74547,
0.75,0.5709,0.597349,-81.4817,-61.7085,12.679,6.97996,-80.186,-11.2865,8.50966,-60.0678,-81.3415,-3.28523,7.09046,-60.5883,11.0874,-6.82789,
0.75,0.571004,0.597597,-95.461,-44.4819,14.8462,8.17976,-93.944,-8.12749,6.1323,-43.301,-95.297,-3.8466,8.30654,-43.6749,7.9901,-4.92146,
