pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
3.07397,3.17475,3.12114,3.01075,16.9775,-10.0788,1.67267,1,-1,1,-1,1,-1,1,-1,-1.06644e-07,-1.704e-08,-2.38218e-07,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9789,-10.0797,1.67281,1,-1,1,-1,1,-1,1,-1,-1.60006e-07,-2.55665e-08,-3.57418e-07,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9803,-10.0805,1.67295,1,-1,1,-1,1,-1,1,-1,-2.13372e-07,-3.40935e-08,-4.76626e-07,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9818,-10.0814,1.67309,1,-1,1,-1,1,-1,1,-1,-2.66753e-07,-4.2623e-08,-5.95867e-07,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9832,-10.0822,1.67323,1,-1,1,-1,1,-1,1,-1,-3.20082e-07,-5.1144e-08,-7.14991e-07,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9846,-10.0831,1.67337,1,-1,1,-1,1,-1,1,-1,-3.7347e-07,-5.96747e-08,-8.34249e-07,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.986,-10.0839,1.67351,1,-1,1,-1,1,-1,1,-1,-4.26795e-07,-6.81951e-08,-9.53366e-07,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9875,-10.0848,1.67365,1,-1,1,-1,1,-1,1,-1,-4.80154e-07,-7.6721e-08,-1.07256e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9889,-10.0856,1.67379,1,-1,1,-1,1,-1,1,-1,-5.33494e-07,-8.52439e-08,-1.19171e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9903,-10.0865,1.67393,1,-1,1,-1,1,-1,1,-1,-5.86827e-07,-9.37655e-08,-1.31084e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9918,-10.0873,1.67407,1,-1,1,-1,1,-1,1,-1,-6.40159e-07,-1.02287e-07,-1.42997e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9932,-10.0882,1.67422,1,-1,1,-1,1,-1,1,-1,-6.93552e-07,-1.10818e-07,-1.54924e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9946,-10.089,1.67436,1,-1,1,-1,1,-1,1,-1,-7.46932e-07,-1.19348e-07,-1.66848e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9961,-10.0899,1.6745,1,-1,1,-1,1,-1,1,-1,-8.00314e-07,-1.27877e-07,-1.78772e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9975,-10.0907,1.67464,1,-1,1,-1,1,-1,1,-1,-8.53676e-07,-1.36403e-07,-1.90692e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,16.9989,-10.0915,1.67478,1,-1,1,-1,1,-1,1,-1,-9.07008e-07,-1.44925e-07,-2.02605e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0003,-10.0924,1.67492,1,-1,1,-1,1,-1,1,-1,-9.60337e-07,-1.53446e-07,-2.14518e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0018,-10.0932,1.67506,1,-1,1,-1,1,-1,1,-1,-1.01372e-06,-1.61975e-07,-2.26442e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0032,-10.0941,1.6752,1,-1,1,-1,1,-1,1,-1,-1.06705e-06,-1.70498e-07,-2.38356e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0046,-10.0949,1.67534,1,-1,1,-1,1,-1,1,-1,-1.12039e-06,-1.79019e-07,-2.50269e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0061,-10.0958,1.67548,1,-1,1,-1,1,-1,1,-1,-1.17374e-06,-1.87544e-07,-2.62187e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0075,-10.0966,1.67562,1,-1,1,-1,1,-1,1,-1,-1.22713e-06,-1.96074e-07,-2.74113e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0089,-10.0975,1.67577,1,-1,1,-1,1,-1,1,-1,-1.28051e-06,-2.04604e-07,-2.86038e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0104,-10.0983,1.67591,1,-1,1,-1,1,-1,1,-1,-1.33387e-06,-2.13129e-07,-2.97956e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0118,-10.0992,1.67605,1,-1,1,-1,1,-1,1,-1,-1.38719e-06,-2.2165e-07,-3.09868e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0132,-10.1,1.67619,1,-1,1,-1,1,-1,1,-1,-1.44055e-06,-2.30176e-07,-3.21787e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0146,-10.1009,1.67633,1,-1,1,-1,1,-1,1,-1,-1.49394e-06,-2.38706e-07,-3.33712e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0161,-10.1017,1.67647,1,-1,1,-1,1,-1,1,-1,-1.5473e-06,-2.47233e-07,-3.45633e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0175,-10.1026,1.67661,1,-1,1,-1,1,-1,1,-1,-1.60069e-06,-2.55762e-07,-3.57557e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0189,-10.1034,1.67675,1,-1,1,-1,1,-1,1,-1,-1.65401e-06,-2.64283e-07,-3.6947e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0204,-10.1043,1.67689,1,-1,1,-1,1,-1,1,-1,-1.70736e-06,-2.72806e-07,-3.81386e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0218,-10.1051,1.67703,1,-1,1,-1,1,-1,1,-1,-1.76074e-06,-2.81335e-07,-3.93309e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0232,-10.106,1.67717,1,-1,1,-1,1,-1,1,-1,-1.81407e-06,-2.89857e-07,-4.05223e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0246,-10.1068,1.67731,1,-1,1,-1,1,-1,1,-1,-1.8674e-06,-2.98379e-07,-4.17136e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0261,-10.1077,1.67746,1,-1,1,-1,1,-1,1,-1,-1.92075e-06,-3.06902e-07,-4.29052e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0275,-10.1085,1.6776,1,-1,1,-1,1,-1,1,-1,-1.97408e-06,-3.15424e-07,-4.40966e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0289,-10.1094,1.67774,1,-1,1,-1,1,-1,1,-1,-2.02742e-06,-3.23946e-07,-4.5288e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0304,-10.1102,1.67788,1,-1,1,-1,1,-1,1,-1,-2.08076e-06,-3.32468e-07,-4.64795e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0318,-10.1111,1.67802,1,-1,1,-1,1,-1,1,-1,-2.13412e-06,-3.40994e-07,-4.76714e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0332,-10.1119,1.67816,1,-1,1,-1,1,-1,1,-1,-2.18751e-06,-3.49525e-07,-4.8864e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0347,-10.1128,1.6783,1,-1,1,-1,1,-1,1,-1,-2.24088e-06,-3.58053e-07,-5.00563e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0361,-10.1136,1.67844,1,-1,1,-1,1,-1,1,-1,-2.29421e-06,-3.66574e-07,-5.12475e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0375,-10.1145,1.67858,1,-1,1,-1,1,-1,1,-1,-2.34754e-06,-3.75095e-07,-5.24389e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0389,-10.1153,1.67872,1,-1,1,-1,1,-1,1,-1,-2.40091e-06,-3.83621e-07,-5.36309e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0404,-10.1162,1.67886,1,-1,1,-1,1,-1,1,-1,-2.45423e-06,-3.92142e-07,-5.4822e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0418,-10.117,1.679,1,-1,1,-1,1,-1,1,-1,-2.50756e-06,-4.00663e-07,-5.60133e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0432,-10.1179,1.67915,1,-1,1,-1,1,-1,1,-1,-2.5609e-06,-4.09185e-07,-5.72048e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0447,-10.1187,1.67929,1,-1,1,-1,1,-1,1,-1,-2.61423e-06,-4.17706e-07,-5.8396e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0461,-10.1196,1.67943,1,-1,1,-1,1,-1,1,-1,-2.66759e-06,-4.26231e-07,-5.95879e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0475,-10.1204,1.67957,1,-1,1,-1,1,-1,1,-1,-2.72096e-06,-4.34759e-07,-6.07801e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.049,-10.1213,1.67971,1,-1,1,-1,1,-1,1,-1,-2.77429e-06,-4.4328e-07,-6.19714e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0504,-10.1221,1.67985,1,-1,1,-1,1,-1,1,-1,-2.82762e-06,-4.51802e-07,-6.31627e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0518,-10.1229,1.67999,1,-1,1,-1,1,-1,1,-1,-2.88098e-06,-4.60327e-07,-6.43546e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0532,-10.1238,1.68013,1,-1,1,-1,1,-1,1,-1,-2.93436e-06,-4.68856e-07,-6.55471e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0547,-10.1246,1.68027,1,-1,1,-1,1,-1,1,-1,-2.98771e-06,-4.7738e-07,-6.67387e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
3.07397,3.17475,3.12114,3.01075,17.0561,-10.1255,1.68041,1,-1,1,-1,1,-1,1,-1,-3.04105e-06,-4.85902e-07,-6.79301e-06,-5.33218e-05,-8.52001e-06,-0.000119109,
