pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
4.82563,4.79875,4.82378,4.83639,200,-200,200,0.328994,2.95862,-0.808173,2.99907,-3.6347,0.28528,-3.76794,-0.994601,2.04749e-08,1.49985e-07,3.85922e-15,1.02374e-05,7.49925e-05,-6.21226e-05,
4.82563,4.79875,4.82378,4.83639,29.7809,19.6751,0,0.0855518,-0.166608,0.0111908,-0.172844,0.0521431,-0.182937,0.0875334,-0.185535,3.07201e-08,2.25035e-07,3.86511e-15,1.02374e-05,7.49925e-05,-6.21226e-05,
4.82562,4.79875,4.82377,4.83638,29.7865,19.6788,0,0.0856096,-0.166622,0.0111313,-0.172879,0.0521362,-0.182985,0.0875986,-0.18558,3.73126e-08,2.73496e-07,1.61912e-15,6.5884e-06,4.84311e-05,-4.02132e-05,
4.82563,4.79874,4.82377,4.83638,29.7921,19.6825,0,0.0857113,-0.166627,0.0110178,-0.172921,0.0521323,-0.183033,0.0876673,-0.185628,2.92689e-08,2.28749e-07,1.00654e-14,-8.0348e-06,-4.46969e-05,0.000100215,
4.82563,4.79875,4.82377,4.83638,29.7977,19.6861,0,0.085767,-0.166639,0.0109549,-0.172954,0.0521221,-0.183078,0.0877289,-0.185671,3.3538e-08,2.59742e-07,7.24064e-16,4.26322e-06,3.09495e-05,-2.68711e-05,
4.82563,4.79875,4.82376,4.83638,29.8032,19.6898,0,0.0858395,-0.166651,0.0108777,-0.172994,0.0520998,-0.183127,0.0878089,-0.185712,3.68878e-08,2.84137e-07,4.51201e-16,3.34698e-06,2.43755e-05,-2.12239e-05,
4.82562,4.79876,4.82377,4.83638,29.8088,19.6935,0,0.0858745,-0.166662,0.0108232,-0.173013,0.0521085,-0.183172,0.0878612,-0.185768,5.20402e-08,3.8136e-07,2.00105e-14,1.51419e-05,9.71553e-05,-0.000141361,
4.82562,4.79875,4.82376,4.83638,29.8144,19.6972,0,0.085961,-0.16667,0.0107271,-0.173053,0.0520908,-0.183224,0.0879466,-0.185814,5.2291e-08,3.91438e-07,1.1838e-19,2.50577e-07,1.00706e-05,3.43782e-07,
4.82563,4.79876,4.82377,4.83639,29.82,19.7009,0,0.0860285,-0.166677,0.0106422,-0.173085,0.0520816,-0.183269,0.08801,-0.185859,5.03222e-08,4.04812e-07,6.60206e-17,-1.96836e-06,1.33709e-05,8.12366e-06,
4.82564,4.79876,4.82377,4.83638,29.8255,19.7046,0,0.0861187,-0.166686,0.0105529,-0.17313,0.052086,-0.183311,0.0880549,-0.185901,6.41811e-08,2.63882e-07,9.66643e-16,1.38464e-05,-0.000140803,3.10629e-05,
4.82563,4.79876,4.82377,4.83638,29.8311,19.7082,0,0.0861713,-0.166697,0.0104835,-0.173156,0.0520827,-0.18336,0.0881255,-0.185954,6.06058e-08,3.00229e-07,1.31173e-17,-3.5706e-06,3.62983e-05,3.61701e-06,
4.82564,4.79876,4.82377,4.83638,29.8367,19.7119,0,0.0862583,-0.166705,0.0103894,-0.173198,0.0520744,-0.183406,0.0881889,-0.185997,5.77428e-08,3.29319e-07,8.3711e-18,-2.86099e-06,2.90699e-05,2.89128e-06,
4.82563,4.79876,4.82378,4.83638,29.8423,19.7156,0,0.0863079,-0.166712,0.0103155,-0.173218,0.0520876,-0.183453,0.0882463,-0.186057,5.19126e-08,3.66442e-07,5.99408e-17,-5.82941e-06,3.7119e-05,7.74112e-06,
4.82563,4.79876,4.82377,4.83638,29.8478,19.7193,0,0.0863804,-0.166724,0.0102384,-0.173258,0.0520653,-0.183502,0.0883263,-0.186098,4.66422e-08,3.97638e-07,6.0058e-17,-5.26675e-06,3.11741e-05,7.74435e-06,
4.82564,4.79875,4.82378,4.83639,29.8534,19.723,0,0.0864755,-0.166724,0.0101157,-0.17329,0.0520654,-0.183551,0.0884007,-0.186155,4.22446e-08,4.1982e-07,5.99982e-17,-4.39462e-06,2.21661e-05,7.7405e-06,
4.82564,4.79875,4.82378,4.83639,29.859,19.7267,0,0.0865452,-0.166734,0.0100339,-0.173324,0.0520596,-0.183599,0.0884676,-0.186203,3.53869e-08,4.45891e-07,3.39877e-16,-6.85342e-06,2.60551e-05,1.84243e-05,
4.82564,4.79875,4.82377,4.83638,29.8646,19.7303,0,0.0866211,-0.166747,0.00996164,-0.173367,0.05205,-0.183645,0.0885291,-0.186242,3.2412e-08,2.38339e-07,1.00358e-14,-2.97161e-06,-0.000207322,0.000100068,
4.82565,4.79876,4.82377,4.83637,29.8701,19.734,0,0.0866975,-0.16676,0.00989173,-0.173412,0.0520504,-0.183685,0.0885675,-0.186279,1.20377e-08,2.11862e-07,5.25929e-15,-2.03688e-05,-2.64699e-05,7.25013e-05,
4.82565,4.79877,4.82377,4.83638,29.8757,19.7377,0,0.0867497,-0.16677,0.00982413,-0.173441,0.0520267,-0.183733,0.0886484,-0.186323,-1.73022e-08,1.08435e-07,3.45328e-15,-2.93217e-05,-0.000103362,-5.87281e-05,
4.82565,4.79877,4.82377,4.83639,29.8813,19.7414,0,0.0868161,-0.166777,0.00973754,-0.173471,0.0520081,-0.183784,0.0887341,-0.186372,-4.21379e-08,1.99127e-08,3.3459e-15,-2.48151e-05,-8.84492e-05,-5.77958e-05,
4.82564,4.79877,4.82377,4.83638,29.8869,19.7451,0,0.0868718,-0.166789,0.00967311,-0.173501,0.0520176,-0.18383,0.088786,-0.186424,-3.42281e-08,-1.15592e-07,2.94492e-14,7.9038e-06,-0.000135402,-0.000171477,
4.82564,4.79876,4.82378,4.83638,29.8924,19.7488,0,0.0869529,-0.166793,0.00956749,-0.17353,0.0520331,-0.183877,0.0888453,-0.186484,-1.48313e-08,-1.5099e-07,1.09206e-15,1.93848e-05,-3.53754e-05,-3.30258e-05,
4.82563,4.79876,4.82378,4.83639,29.898,19.7524,0,0.0870019,-0.166801,0.0094933,-0.173552,0.052017,-0.18393,0.0889346,-0.186539,2.79204e-08,-2.54582e-07,9.61622e-15,4.27221e-05,-0.000103521,-9.79945e-05,
4.82564,4.79875,4.82377,4.83638,29.9036,19.7561,0,0.0871093,-0.166811,0.00938949,-0.173603,0.0520095,-0.183976,0.0889978,-0.186579,3.40054e-08,-2.50922e-07,2.88159e-15,6.08337e-06,3.65909e-06,5.36658e-05,
4.82564,4.79876,4.82378,4.83638,29.9092,19.7598,0,0.087162,-0.16682,0.00932236,-0.173631,0.0520157,-0.184019,0.089046,-0.186628,4.13763e-08,-2.4235e-07,1.9301e-16,7.37041e-06,8.57174e-06,-1.38919e-05,
4.82564,4.79876,4.82378,4.83638,29.9147,19.7635,0,0.0872318,-0.166829,0.00924063,-0.173665,0.0520099,-0.184067,0.089113,-0.186676,4.70763e-08,-2.34491e-07,1.11143e-16,5.69606e-06,7.85297e-06,-1.05352e-05,
4.82563,4.79877,4.82378,4.83638,29.9203,19.7672,0,0.0872699,-0.166842,0.00919068,-0.173691,0.0520021,-0.184114,0.089178,-0.186725,5.3079e-08,-2.29807e-07,2.0362e-16,5.99811e-06,4.68101e-06,-1.42587e-05,
4.82564,4.79876,4.82377,4.83638,29.9259,19.7709,0,0.087374,-0.16685,0.00908195,-0.173738,0.0519817,-0.184163,0.08926,-0.186766,5.84785e-08,-2.28211e-07,1.99989e-16,5.39834e-06,1.59554e-06,-1.41389e-05,
4.82563,4.79876,4.82379,4.83638,29.9315,19.7745,0,0.0874206,-0.166854,0.0090032,-0.173753,0.0520119,-0.184209,0.0893043,-0.186833,9.51375e-08,-3.14125e-07,8.91988e-15,3.66158e-05,-8.58127e-05,9.43337e-05,
4.82564,4.79875,4.82378,4.83638,29.937,19.7782,0,0.0875249,-0.166862,0.00889432,-0.1738,0.0519916,-0.184258,0.0893863,-0.186874,1.40373e-07,-5.54179e-07,1.67619e-14,4.51858e-05,-0.000239788,0.000129324,
4.82565,4.79876,4.82378,4.83638,29.9426,19.7819,0,0.087598,-0.166874,0.00881947,-0.173841,0.0519785,-0.184302,0.089444,-0.186911,1.71127e-07,-5.28985e-07,2.73701e-14,3.07342e-05,2.51791e-05,-0.000165336,
4.82564,4.79876,4.82378,4.83638,29.9482,19.7856,0,0.0876502,-0.166883,0.00875024,-0.173867,0.0519753,-0.184351,0.0895146,-0.186965,1.67612e-07,-4.30651e-07,1.20826e-15,-3.51437e-06,9.83133e-05,-3.4753e-05,
4.82563,4.79877,4.82378,4.83638,29.9537,19.7893,0,0.0876881,-0.166896,0.00870047,-0.173893,0.0519675,-0.184398,0.0895796,-0.187013,1.90026e-07,-4.18436e-07,1.40775e-14,2.241e-05,1.22126e-05,-0.000118625,
