pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
3.07397,3.17474,3.12115,3.01069,16.9804,-10.0822,0,1,-1,1,-1,1,-1,1,-1,1.38477e-07,-3.86314e-08,1.84341e-07,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9819,-10.0831,0,1,-1,1,-1,1,-1,1,-1,2.07768e-07,-5.79618e-08,2.76582e-07,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9833,-10.0839,0,1,-1,1,-1,1,-1,1,-1,2.77031e-07,-7.72841e-08,3.68784e-07,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9847,-10.0848,0,1,-1,1,-1,1,-1,1,-1,3.46302e-07,-9.66091e-08,4.60999e-07,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9862,-10.0856,0,1,-1,1,-1,1,-1,1,-1,4.15545e-07,-1.15926e-07,5.53175e-07,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9876,-10.0865,0,1,-1,1,-1,1,-1,1,-1,4.84861e-07,-1.35263e-07,6.45448e-07,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.989,-10.0873,0,1,-1,1,-1,1,-1,1,-1,5.54118e-07,-1.54584e-07,7.37644e-07,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9905,-10.0882,0,1,-1,1,-1,1,-1,1,-1,6.23366e-07,-1.73902e-07,8.29827e-07,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9919,-10.089,0,1,-1,1,-1,1,-1,1,-1,6.92652e-07,-1.93231e-07,9.22061e-07,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9933,-10.0899,0,1,-1,1,-1,1,-1,1,-1,7.61944e-07,-2.12562e-07,1.0143e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9947,-10.0907,0,1,-1,1,-1,1,-1,1,-1,8.31196e-07,-2.31881e-07,1.10649e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9962,-10.0916,0,1,-1,1,-1,1,-1,1,-1,9.00483e-07,-2.5121e-07,1.19873e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.9976,-10.0924,0,1,-1,1,-1,1,-1,1,-1,9.69817e-07,-2.70553e-07,1.29102e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,16.999,-10.0933,0,1,-1,1,-1,1,-1,1,-1,1.03907e-06,-2.89872e-07,1.38321e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,17.0005,-10.0941,0,1,-1,1,-1,1,-1,1,-1,1.10839e-06,-3.09209e-07,1.47549e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,17.0019,-10.095,0,1,-1,1,-1,1,-1,1,-1,1.17767e-06,-3.28538e-07,1.56772e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,17.0033,-10.0958,0,1,-1,1,-1,1,-1,1,-1,1.24696e-06,-3.47867e-07,1.65995e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,17.0048,-10.0967,0,1,-1,1,-1,1,-1,1,-1,1.31626e-06,-3.67201e-07,1.75221e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
3.07397,3.17474,3.12115,3.01069,17.0062,-10.0975,0,1,-1,1,-1,1,-1,1,-1,1.38552e-06,-3.86522e-07,1.84441e-06,6.92386e-05,-1.93157e-05,9.21706e-05,
