pivot_1,pivot_2,pivot_3,pivot_4,pf_x,pf_y,pf_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,f_drive_ref_1,f_drive_ref_2,f_drive_ref_3,f_drive_ref_4,f_drive_ref_5,f_drive_ref_6,f_drive_ref_7,f_drive_ref_8,f_krnl_1,f_krnl_2,f_krnl_3,f_krnl_4,f_krnl_5,f_krnl_6,f_krnl_7,f_krnl_8,f_null_1,f_null_2,f_null_3,f_null_4,f_null_5,f_null_6,f_null_7,f_null_8,f_null_scale_factor,f_null_scaled_1,f_null_scaled_2,f_null_scaled_3,f_null_scaled_4,f_null_scaled_5,f_null_scaled_6,f_null_scaled_7,f_null_scaled_8,f_drv_1,f_drv_2,f_drv_3,f_drv_4,f_drv_5,f_drv_6,f_drv_7,f_drv_8,f_wheel_1,f_wheel_2,f_wheel_3,f_wheel_4,f_wheel_5,f_wheel_6,f_wheel_7,f_wheel_8
4.57869,4.68517,4.95378,5.05725,0,-200,0,-2.54357,0.305773,-1.66918,1.20476,-0.77684,2.01481,-0.221453,2.48428,0,147.066,0,29.9375,0,-265.525,0,-379.344,49.5538,6.66491,49.9815,1.36063,48.5504,-11.9525,47.0562,-16.9032,-158.91,118.881,55.3456,24.6907,107.686,-58.9489,-75.2419,-111.828,1.2125,6.95329e-310,144.143,5.48672e-310,29.9375,1.4822e-323,-71.4757,4.94066e-324,-135.591,49.5538,150.808,49.9815,31.2982,48.5504,-83.4282,47.0562,-152.495,-44.236,5.31779,-29.0292,20.9523,-13.5103,35.0401,-3.85136,43.2048,
4.57879,4.68518,4.95363,5.05697,0,-200,0,-2.54245,0.306929,-1.66908,1.20486,-0.777459,2.01429,-0.223014,2.48298,0,146.96,0,29.9244,0,-265.367,0,-379.041,49.5544,6.66016,49.9815,1.36003,48.5521,-11.9455,47.0608,-16.8902,-158.759,118.829,55.3399,24.6946,107.614,-58.9265,-75.2206,-111.747,1.21178,6.95329e-310,143.995,5.48672e-310,29.9244,1.4822e-323,-71.4059,4.94066e-324,-135.412,49.5544,150.655,49.9815,31.2845,48.5521,-83.3514,47.0608,-152.302,-44.2165,5.33789,-29.0275,20.954,-13.521,35.0311,-3.8785,43.1823,
4.57899,4.68521,4.95334,5.05668,0,-200,0,-2.53967,0.30979,-1.66888,1.20506,-0.779907,2.01204,-0.225153,2.48112,0,146.736,0,29.8982,0,-265.05,0,-378.725,49.5558,6.65004,49.9815,1.35884,48.5555,-11.9315,47.0657,-16.8767,-158.555,118.711,55.3308,24.7119,107.5,-58.7694,-75.1593,-111.711,1.20987,6.95329e-310,143.624,5.48672e-310,29.8982,1.4822e-323,-71.1033,4.94066e-324,-135.156,49.5558,150.274,49.9815,31.257,48.5555,-83.0348,47.0657,-152.033,-44.1681,5.38766,-29.0239,20.9576,-13.5636,34.9919,-3.9157,43.15,
4.57932,4.6852,4.95296,5.05637,0,-200,0,-2.53484,0.314738,-1.66898,1.20496,-0.783768,2.00844,-0.228267,2.47831,0,146.38,0,29.9113,0,-264.629,0,-378.382,49.5579,6.63402,49.9815,1.35944,48.5601,-11.9129,47.0709,-16.862,-158.307,118.507,55.3199,24.7913,107.356,-58.5312,-75.0681,-111.702,1.20652,6.95329e-310,142.982,5.48672e-310,29.9113,1.4822e-323,-70.6192,4.94066e-324,-134.772,49.5579,149.616,49.9815,31.2708,48.5601,-82.5321,47.0709,-151.634,-44.0842,5.47371,-29.0257,20.9558,-13.6307,34.9293,-3.96985,43.1011,
4.57972,4.68527,4.95254,5.05592,0,-200,0,-2.52816,0.321575,-1.66837,1.20558,-0.788479,2.00401,-0.233775,2.47325,0,145.932,0,29.8321,0,-264.167,0,-377.881,49.5606,6.61382,49.9816,1.35584,48.5651,-11.8925,47.0786,-16.8405,-157.976,118.3,55.2891,24.8372,107.175,-58.2995,-74.9457,-111.631,1.20111,6.95329e-310,142.091,5.48672e-310,29.8321,1.4822e-323,-70.0239,4.94066e-324,-134.08,49.5606,148.705,49.9816,31.188,48.5651,-81.9165,47.0786,-150.921,-43.968,5.59261,-29.0151,20.9666,-13.7127,34.8524,-4.06565,43.013,
4.58018,4.68539,4.95212,5.05533,0,-200,0,-2.52036,0.329546,-1.66735,1.2066,-0.793349,1.99943,-0.241072,2.46652,0,145.431,0,29.7005,0,-263.706,0,-377.235,49.5637,6.59125,49.9818,1.34986,48.5701,-11.8722,47.0885,-16.8129,-157.584,118.095,55.2446,24.8668,106.97,-58.1115,-74.8099,-111.491,1.19438,6.95329e-310,141.051,5.48672e-310,29.7005,1.4822e-323,-69.4073,4.94066e-324,-133.163,49.5637,147.642,49.9818,31.0503,48.5701,-81.2794,47.0885,-149.976,-43.8324,5.73123,-28.9974,20.9844,-13.7974,34.7727,-4.19255,42.8959,
4.58068,4.6855,4.95165,5.05472,0,-200,0,-2.51188,0.338223,-1.66643,1.20753,-0.798741,1.99436,-0.248689,2.45949,0,144.877,0,29.5819,0,-263.191,0,-376.562,49.567,6.56631,49.9819,1.34447,48.5756,-11.8494,47.0988,-16.7841,-157.167,117.856,55.1991,24.9173,106.749,-57.8878,-74.6617,-111.358,1.1872,6.95329e-310,139.919,5.48672e-310,29.5819,1.4822e-323,-68.7246,4.94066e-324,-132.205,49.567,146.485,49.9819,30.9264,48.5756,-80.5741,47.0988,-148.989,-43.6848,5.88213,-28.9815,21.0005,-13.8912,34.6845,-4.32503,42.7737,
4.58121,4.68559,4.95116,5.0541,0,-200,0,-2.50309,0.347208,-1.66562,1.20835,-0.804337,1.9891,-0.256408,2.45237,0,144.297,0,29.4765,0,-262.651,0,-375.877,49.5704,6.54017,49.982,1.33968,48.5814,-11.8256,47.1092,-16.7548,-156.737,117.596,55.1537,24.983,106.521,-57.6482,-74.5082,-111.228,1.17986,6.95329e-310,138.748,5.48672e-310,29.4765,1.4822e-323,-68.0169,4.94066e-324,-131.234,49.5704,145.288,49.982,30.8162,48.5814,-79.8424,47.1092,-147.989,-43.532,6.0384,-28.9673,21.0147,-13.9885,34.593,-4.45926,42.6499,
4.58177,4.68571,4.95067,5.05332,0,-200,0,-2.49361,0.3569,-1.6646,1.20938,-0.80974,1.98403,-0.265582,2.44395,0,143.678,0,29.3443,0,-262.111,0,-375.02,49.5741,6.51225,49.9822,1.33367,48.5872,-11.8017,47.1223,-16.7181,-156.241,117.335,55.0982,25.0439,106.27,-57.467,-74.3497,-111.021,1.17172,6.95329e-310,137.483,5.48672e-310,29.3443,1.4822e-323,-67.335,4.94066e-324,-130.085,49.5741,143.996,49.9822,30.678,48.5872,-79.1367,47.1223,-146.803,-43.3671,6.20695,-28.9496,21.0327,-14.0824,34.5048,-4.61882,42.5034,
4.5824,4.68588,4.95014,5.05248,0,-200,0,-2.48292,0.367819,-1.66317,1.21082,-0.815871,1.97825,-0.276014,2.43432,0,142.992,0,29.1597,0,-261.531,0,-374.097,49.5781,6.48136,49.9824,1.32528,48.5935,-11.7761,47.1363,-16.6785,-155.702,117.062,55.031,25.0884,105.994,-57.2654,-74.1675,-110.793,1.16228,6.95329e-310,136.058,5.48672e-310,29.1597,1.4822e-323,-66.5584,4.94066e-324,-128.773,49.5781,142.54,49.9824,30.485,48.5935,-78.3345,47.1363,-145.451,-43.1813,6.39686,-28.9248,21.0577,-14.1891,34.4044,-4.80024,42.336,
