dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.7,0.680865,0.682349,-1.91449,-1.76598,-0.0808729,-0.261274,0,0.317128,0.177589,0,-1.88831,-0.115712,0.171663,-1.68581,0.526043,-0.228916,
0.7,0.680865,0.682349,-1.91598,-1.76735,-0.0809358,-0.261477,0,0.317375,0.177727,0,-1.88978,-0.115802,0.171796,-1.68712,0.526452,-0.229094,
0.7,0.680865,0.682349,-1.91721,-1.76849,-0.0809877,-0.261645,0,0.317579,0.177841,0,-1.89099,-0.115877,0.171906,-1.6882,0.52679,-0.229241,
0.7,0.680865,0.682349,-1.9185,-1.76968,-0.0810423,-0.261821,0,0.317793,0.177961,0,-1.89227,-0.115954,0.172022,-1.68934,0.527145,-0.229395,
0.7,0.680865,0.682349,-1.91976,-1.77083,-0.0810952,-0.261992,0,0.318,0.178077,0,-1.8935,-0.11603,0.172134,-1.69044,0.527489,-0.229545,
0.7,0.680865,0.682349,-1.92089,-1.77187,-0.0811429,-0.262146,0,0.318187,0.178182,0,-1.89462,-0.116098,0.172236,-1.69144,0.527799,-0.22968,
0.7,0.680865,0.682349,-1.92332,-1.77286,-0.0812458,-0.262478,0,0.318365,0.178281,0,-1.89702,-0.116245,0.172454,-1.69238,0.528094,-0.229808,
0.7,0.680865,0.682349,-1.92303,-1.77934,-0.0812336,-0.262439,0,0.319528,0.178933,0,-1.89673,-0.116228,0.172428,-1.69856,0.530023,-0.230648,
0.7,0.680865,0.682349,-1.92418,-1.77492,-0.0812821,-0.262596,0,0.318734,0.178488,0,-1.89787,-0.116297,0.172531,-1.69434,0.528706,-0.230075,
0.7,0.680865,0.682349,-1.92548,-1.77611,-0.0813369,-0.262773,0,0.318949,0.178608,0,-1.89915,-0.116375,0.172647,-1.69548,0.529062,-0.23023,
0.7,0.680865,0.682349,-1.92675,-1.77729,-0.0813906,-0.262946,0,0.319159,0.178726,0,-1.9004,-0.116452,0.172761,-1.6966,0.529411,-0.230381,
0.7,0.680865,0.682349,-1.92787,-1.77832,-0.081438,-0.263099,0,0.319345,0.17883,0,-1.90151,-0.11652,0.172862,-1.69759,0.52972,-0.230516,
0.7,0.680865,0.682349,-1.92901,-1.77962,-0.0814862,-0.263255,0,0.319578,0.17896,0,-1.90263,-0.116589,0.172964,-1.69883,0.530105,-0.230683,
0.7,0.680865,0.682349,-1.93034,-1.7806,-0.0815424,-0.263437,0,0.319755,0.17906,0,-1.90395,-0.116669,0.173084,-1.69977,0.530399,-0.230811,
0.7,0.680865,0.682349,-1.93155,-1.78172,-0.0815935,-0.263602,0,0.319955,0.179172,0,-1.90514,-0.116742,0.173192,-1.70083,0.530731,-0.230956,
0.7,0.680865,0.682349,-1.93265,-1.78273,-0.0816399,-0.263751,0,0.320137,0.179274,0,-1.90622,-0.116809,0.17329,-1.7018,0.531033,-0.231087,
0.7,0.680865,0.682349,-1.93515,-1.7838,-0.0817456,-0.264093,0,0.32033,0.179382,0,-1.90869,-0.116959,0.173515,-1.70282,0.531352,-0.231226,
0.7,0.680865,0.682349,-1.93514,-1.78503,-0.0817453,-0.264092,0,0.32055,0.179505,0,-1.90868,-0.116959,0.173514,-1.70399,0.531717,-0.231385,
0.7,0.680865,0.682349,-1.9365,-1.78628,-0.0818025,-0.264277,0,0.320774,0.17963,0,-1.91002,-0.117041,0.173635,-1.70519,0.532089,-0.231547,
0.7,0.680865,0.682349,-1.9376,-1.78729,-0.0818489,-0.264427,0,0.320956,0.179732,0,-1.9111,-0.117107,0.173734,-1.70615,0.532391,-0.231678,
0.7,0.680865,0.682349,-1.93867,-1.78828,-0.0818942,-0.264573,0,0.321134,0.179832,0,-1.91216,-0.117172,0.17383,-1.7071,0.532686,-0.231807,
0.7,0.680865,0.682349,-1.93998,-1.78949,-0.0819497,-0.264752,0,0.321351,0.179954,0,-1.91345,-0.117251,0.173948,-1.70826,0.533047,-0.231964,
0.7,0.680865,0.682349,-1.9412,-1.79062,-0.0820012,-0.264919,0,0.321553,0.180067,0,-1.91465,-0.117325,0.174057,-1.70933,0.533381,-0.232109,
0.7,0.680865,0.682349,-1.94362,-1.79167,-0.0821035,-0.265249,0,0.321742,0.180172,0,-1.91704,-0.117471,0.174274,-1.71033,0.533694,-0.232245,
0.7,0.680865,0.682349,-1.93609,-1.79275,-0.0817852,-0.264222,0,0.321936,0.180281,0,-1.90962,-0.117017,0.173599,-1.71136,0.534017,-0.232386,
0.7,0.680865,0.682349,-1.94481,-1.79395,-0.0821532,-0.265411,0,0.322151,0.180402,0,-1.91821,-0.117543,0.17438,-1.71251,0.534374,-0.232541,
0.7,0.680865,0.682349,-1.94612,-1.79996,-0.0822085,-0.265589,0,0.32323,0.181006,0,-1.9195,-0.117622,0.174498,-1.71824,0.536163,-0.23332,
0.7,0.680865,0.682349,-1.94735,-1.7963,-0.0822606,-0.265758,0,0.322574,0.180638,0,-1.92072,-0.117697,0.174608,-1.71475,0.535073,-0.232846,
0.7,0.680865,0.682349,-1.94875,-1.7976,-0.0823201,-0.26595,0,0.322807,0.180769,0,-1.92211,-0.117782,0.174734,-1.71599,0.53546,-0.233014,
0.7,0.680865,0.682349,-1.95117,-1.7987,-0.0824222,-0.26628,0,0.323005,0.18088,0,-1.92449,-0.117927,0.174951,-1.71705,0.535789,-0.233157,
0.7,0.680865,0.682349,-1.95109,-1.79975,-0.0824189,-0.266269,0,0.323194,0.180986,0,-1.92441,-0.117923,0.174944,-1.71805,0.536103,-0.233294,
0.7,0.680865,0.682349,-1.95252,-1.80107,-0.0824791,-0.266463,0,0.32343,0.181118,0,-1.92582,-0.118009,0.175072,-1.7193,0.536494,-0.233464,
0.7,0.680865,0.682349,-1.95383,-1.80228,-0.0825344,-0.266642,0,0.323647,0.181239,0,-1.92711,-0.118088,0.175189,-1.72046,0.536854,-0.233621,
0.7,0.680865,0.682349,-1.95493,-1.80329,-0.0825811,-0.266793,0,0.32383,0.181342,0,-1.9282,-0.118155,0.175288,-1.72143,0.537157,-0.233753,
0.7,0.680865,0.682349,-1.95603,-1.8043,-0.0826273,-0.266942,0,0.324011,0.181443,0,-1.92928,-0.118221,0.175386,-1.72239,0.537458,-0.233884,
0.7,0.680865,0.682349,-1.95727,-1.80545,-0.0826798,-0.267112,0,0.324217,0.181558,0,-1.9305,-0.118296,0.175498,-1.72349,0.537799,-0.234032,
0.7,0.680865,0.682349,-1.95978,-1.80671,-0.0827857,-0.267454,0,0.324443,0.181685,0,-1.93298,-0.118447,0.175722,-1.72469,0.538174,-0.234195,
0.7,0.680865,0.682349,-1.95978,-1.80776,-0.0827858,-0.267454,0,0.324632,0.181791,0,-1.93298,-0.118447,0.175723,-1.72569,0.538488,-0.234332,
0.7,0.680865,0.682349,-1.9609,-1.8088,-0.0828334,-0.267608,0,0.324819,0.181896,0,-1.93409,-0.118515,0.175824,-1.72669,0.538798,-0.234467,
0.7,0.680865,0.682349,-1.96219,-1.80999,-0.0828879,-0.267784,0,0.325033,0.182015,0,-1.93536,-0.118593,0.175939,-1.72782,0.539152,-0.234621,
0.7,0.680865,0.682349,-1.96345,-1.81115,-0.082941,-0.267956,0,0.325241,0.182132,0,-1.9366,-0.118669,0.176052,-1.72893,0.539498,-0.234771,
0.7,0.680865,0.682349,-1.96455,-1.81216,-0.0829874,-0.268105,0,0.325423,0.182234,0,-1.93768,-0.118735,0.17615,-1.7299,0.539799,-0.234902,
0.7,0.680865,0.682349,-1.96574,-1.81337,-0.0830375,-0.268267,0,0.32564,0.182355,0,-1.93885,-0.118807,0.176257,-1.73105,0.54016,-0.235059,
0.7,0.680865,0.682349,-1.96704,-1.81446,-0.0830926,-0.268445,0,0.325835,0.182465,0,-1.94014,-0.118886,0.176374,-1.73209,0.540483,-0.2352,
0.7,0.680865,0.682349,-1.96833,-1.81565,-0.0831472,-0.268622,0,0.32605,0.182584,0,-1.94142,-0.118964,0.17649,-1.73323,0.540839,-0.235355,
0.7,0.680865,0.682349,-1.96948,-1.81671,-0.0831958,-0.268779,0,0.32624,0.182691,0,-1.94255,-0.119033,0.176593,-1.73424,0.541155,-0.235492,
0.7,0.680865,0.682349,-1.97091,-1.81803,-0.0832561,-0.268974,0,0.326477,0.182824,0,-1.94396,-0.11912,0.176721,-1.7355,0.541547,-0.235663,
0.7,0.680865,0.682349,-1.97207,-1.8191,-0.083305,-0.269132,0,0.326668,0.182931,0,-1.9451,-0.11919,0.176825,-1.73652,0.541865,-0.235801,
0.7,0.680865,0.682349,-1.97315,-1.8201,-0.0833509,-0.26928,0,0.326848,0.183032,0,-1.94617,-0.119255,0.176922,-1.73748,0.542164,-0.235931,
0.7,0.680865,0.682349,-1.97421,-1.82107,-0.0833954,-0.269424,0,0.327023,0.18313,0,-1.94721,-0.119319,0.177016,-1.7384,0.542453,-0.236057,
0.7,0.680865,0.682349,-1.97534,-1.82212,-0.0834432,-0.269578,0,0.32721,0.183234,0,-1.94833,-0.119387,0.177118,-1.7394,0.542764,-0.236192,
0.7,0.680865,0.682349,-1.97661,-1.82329,-0.0834969,-0.269752,0,0.327421,0.183352,0,-1.94958,-0.119464,0.177232,-1.74052,0.543114,-0.236345,
0.7,0.680865,0.682349,-1.97903,-1.82449,-0.0835993,-0.270083,0,0.327636,0.183473,0,-1.95197,-0.11961,0.177449,-1.74166,0.54347,-0.2365,
0.7,0.680865,0.682349,-1.97897,-1.82547,-0.0835967,-0.270074,0,0.327812,0.183571,0,-1.95191,-0.119606,0.177443,-1.7426,0.543761,-0.236627,
0.7,0.680865,0.682349,-1.98008,-1.82649,-0.0836436,-0.270226,0,0.327996,0.183674,0,-1.95301,-0.119674,0.177543,-1.74358,0.544067,-0.23676,
0.7,0.680865,0.682349,-1.98147,-1.82777,-0.0837023,-0.270415,0,0.328226,0.183803,0,-1.95438,-0.119758,0.177668,-1.7448,0.544448,-0.236926,
0.7,0.680865,0.682349,-1.98286,-1.82905,-0.0837609,-0.270604,0,0.328456,0.183932,0,-1.95574,-0.119841,0.177792,-1.74602,0.54483,-0.237091,
0.7,0.680865,0.682349,-1.98409,-1.83042,-0.0838131,-0.270773,0,0.3287,0.184069,0,-1.95696,-0.119916,0.177903,-1.74732,0.545236,-0.237268,
0.7,0.680865,0.682349,-1.98543,-1.83142,-0.0838694,-0.270955,0,0.328881,0.18417,0,-1.95828,-0.119996,0.178022,-1.74828,0.545535,-0.237399,
0.7,0.680865,0.682349,-1.9866,-1.83752,-0.0839188,-0.271115,0,0.329976,0.184783,0,-1.95943,-0.120067,0.178127,-1.7541,0.54735,-0.238188,
0.7,0.680865,0.682349,-1.98784,-1.83366,-0.0839714,-0.271285,0,0.329283,0.184395,0,-1.96066,-0.120142,0.178239,-1.75041,0.5462,-0.237688,
0.7,0.680865,0.682349,-1.98928,-1.83498,-0.0840322,-0.271481,0,0.329521,0.184528,0,-1.96208,-0.120229,0.178368,-1.75168,0.546596,-0.23786,
0.7,0.680865,0.682349,-1.99058,-1.83618,-0.084087,-0.271658,0,0.329736,0.184649,0,-1.96336,-0.120308,0.178484,-1.75282,0.546952,-0.238015,
0.7,0.680865,0.682349,-1.9918,-1.8373,-0.0841384,-0.271824,0,0.329937,0.184762,0,-1.96456,-0.120381,0.178593,-1.7539,0.547287,-0.238161,
0.7,0.680865,0.682349,-1.9934,-1.83878,-0.084206,-0.272043,0,0.330203,0.18491,0,-1.96614,-0.120478,0.178737,-1.7553,0.547727,-0.238352,
0.7,0.680865,0.682349,-1.99458,-1.83987,-0.0842559,-0.272204,0,0.330398,0.18502,0,-1.9673,-0.120549,0.178843,-1.75634,0.548051,-0.238493,
0.7,0.680865,0.682349,-1.99583,-1.84103,-0.0843089,-0.272375,0,0.330606,0.185136,0,-1.96854,-0.120625,0.178955,-1.75745,0.548395,-0.238643,
0.7,0.680865,0.682349,-1.99724,-1.84232,-0.0843684,-0.272567,0,0.330839,0.185267,0,-1.96993,-0.12071,0.179081,-1.75869,0.548782,-0.238812,
0.7,0.680865,0.682349,-1.99848,-1.84347,-0.0844209,-0.272737,0,0.331045,0.185382,0,-1.97115,-0.120785,0.179193,-1.75978,0.549124,-0.23896,
0.7,0.680865,0.682349,-2.00166,-1.84503,-0.0845553,-0.273172,0,0.331325,0.185539,0,-1.97429,-0.120977,0.179478,-1.76127,0.549588,-0.239162,
0.7,0.680865,0.682349,-2.00121,-1.84599,-0.0845362,-0.27311,0,0.331497,0.185635,0,-1.97385,-0.12095,0.179437,-1.76218,0.549873,-0.239286,
0.7,0.680865,0.682349,-2.00242,-1.8471,-0.0845873,-0.273275,0,0.331697,0.185747,0,-1.97504,-0.121022,0.179546,-1.76325,0.550205,-0.239431,
0.7,0.680865,0.682349,-2.0039,-1.84846,-0.0846496,-0.273477,0,0.331942,0.185884,0,-1.97649,-0.121112,0.179678,-1.76455,0.550611,-0.239607,
0.7,0.680865,0.682349,-2.00514,-1.84961,-0.0847026,-0.273647,0,0.332148,0.186,0,-1.97773,-0.121187,0.17979,-1.76565,0.550954,-0.239757,
0.7,0.680865,0.682349,-2.00633,-1.85071,-0.0847526,-0.273809,0,0.332344,0.186109,0,-1.97889,-0.121259,0.179896,-1.76669,0.551279,-0.239898,
0.7,0.680865,0.682349,-2.0078,-1.84182,-0.0848147,-0.274009,0,0.330749,0.185217,0,-1.98034,-0.121348,0.180028,-1.75821,0.548634,-0.238747,
0.7,0.680865,0.682349,-2.00908,-1.85781,-0.0848689,-0.274184,0,0.333619,0.186824,0,-1.98161,-0.121425,0.180143,-1.77347,0.553394,-0.240819,
0.7,0.680865,0.682349,-2.01053,-1.85457,-0.08493,-0.274382,0,0.333038,0.186498,0,-1.98304,-0.121512,0.180273,-1.77038,0.55243,-0.240399,
0.7,0.680865,0.682349,-2.01176,-1.85571,-0.0849821,-0.27455,0,0.333242,0.186613,0,-1.98425,-0.121587,0.180383,-1.77147,0.552769,-0.240547,
0.7,0.680865,0.682349,-2.01294,-1.85679,-0.0850318,-0.274711,0,0.333437,0.186722,0,-1.98541,-0.121658,0.180489,-1.7725,0.553092,-0.240687,
0.7,0.680865,0.682349,-2.01535,-1.85819,-0.0851338,-0.27504,0,0.333687,0.186862,0,-1.98779,-0.121804,0.180705,-1.77383,0.553507,-0.240868,
0.7,0.680865,0.682349,-2.01569,-1.85944,-0.085148,-0.275086,0,0.333912,0.186988,0,-1.98812,-0.121824,0.180735,-1.77503,0.55388,-0.24103,
0.7,0.680865,0.682349,-2.01704,-1.86058,-0.0852053,-0.275271,0,0.334117,0.187103,0,-1.98946,-0.121906,0.180857,-1.77612,0.55422,-0.241178,
0.7,0.680865,0.682349,-2.01852,-1.86194,-0.0852676,-0.275472,0,0.334361,0.187239,0,-1.99092,-0.121995,0.180989,-1.77741,0.554625,-0.241354,
0.7,0.680865,0.682349,-2.0191,-1.86315,-0.0852924,-0.275551,0,0.334579,0.187361,0,-1.99149,-0.12203,0.181042,-1.77857,0.554986,-0.241512,
0.7,0.680865,0.682349,-2.02115,-1.86437,-0.085379,-0.275831,0,0.334798,0.187484,0,-1.99352,-0.122154,0.181226,-1.77974,0.555349,-0.241669,
0.7,0.680865,0.682349,-2.0224,-1.86552,-0.0854314,-0.276,0,0.335004,0.187599,0,-1.99474,-0.122229,0.181337,-1.78083,0.55569,-0.241818,
0.7,0.680865,0.682349,-2.02364,-1.86666,-0.0854839,-0.27617,0,0.33521,0.187714,0,-1.99597,-0.122304,0.181448,-1.78192,0.556032,-0.241967,
0.7,0.680865,0.682349,-2.02511,-1.86802,-0.085546,-0.27637,0,0.335453,0.187851,0,-1.99742,-0.122393,0.18158,-1.78322,0.556435,-0.242142,
0.7,0.680865,0.682349,-2.02636,-1.8695,-0.0855988,-0.276541,0,0.33572,0.188,0,-1.99865,-0.122468,0.181692,-1.78463,0.556878,-0.242335,
0.7,0.680865,0.682349,-2.0276,-1.87032,-0.0856514,-0.276711,0,0.335866,0.188082,0,-1.99988,-0.122544,0.181804,-1.78542,0.557121,-0.242441,
0.7,0.680865,0.682349,-2.02906,-1.8757,-0.0857128,-0.27691,0,0.336833,0.188623,0,-2.00131,-0.122632,0.181934,-1.79055,0.558723,-0.243138,
0.7,0.680865,0.682349,-2.03155,-1.87282,-0.0858184,-0.27725,0,0.336315,0.188333,0,-2.00377,-0.122782,0.182158,-1.7878,0.557864,-0.242764,
0.7,0.680865,0.682349,-2.03175,-1.87416,-0.0858268,-0.277278,0,0.336555,0.188468,0,-2.00397,-0.122794,0.182176,-1.78907,0.558263,-0.242938,
0.7,0.680865,0.682349,-2.03302,-1.87532,-0.0858802,-0.27745,0,0.336764,0.188585,0,-2.00522,-0.122871,0.182289,-1.79019,0.558609,-0.243089,
0.7,0.680865,0.682349,-2.03419,-1.8764,-0.0859297,-0.27761,0,0.336958,0.188694,0,-2.00637,-0.122942,0.182394,-1.79122,0.558932,-0.243229,
0.7,0.680865,0.682349,-2.03558,-1.87768,-0.0859883,-0.2778,0,0.337188,0.188822,0,-2.00774,-0.123025,0.182519,-1.79244,0.559313,-0.243395,
0.7,0.680865,0.682349,-2.03676,-1.87877,-0.0860384,-0.277961,0,0.337385,0.188932,0,-2.00891,-0.123097,0.182625,-1.79349,0.559639,-0.243536,
0.7,0.680865,0.682349,-2.03783,-1.87976,-0.0860833,-0.278106,0,0.337561,0.189031,0,-2.00996,-0.123161,0.18272,-1.79442,0.559931,-0.243664,
0.7,0.680865,0.682349,-2.03897,-1.88081,-0.0861318,-0.278263,0,0.337751,0.189138,0,-2.01109,-0.123231,0.182823,-1.79543,0.560246,-0.243801,
0.7,0.680865,0.682349,-2.04149,-1.88212,-0.0862382,-0.278607,0,0.337986,0.189269,0,-2.01358,-0.123382,0.183049,-1.79668,0.560636,-0.243971,
0.7,0.680865,0.682349,-2.04162,-1.88326,-0.0862438,-0.278625,0,0.33819,0.189383,0,-2.01371,-0.12339,0.183061,-1.79776,0.560974,-0.244118,
0.7,0.680865,0.682349,-2.04271,-1.88452,-0.0862898,-0.278774,0,0.338416,0.18951,0,-2.01478,-0.123456,0.183159,-1.79897,0.561349,-0.244281,
0.7,0.680865,0.682349,-2.04377,-1.88523,-0.0863343,-0.278917,0,0.338545,0.189582,0,-2.01582,-0.12352,0.183253,-1.79965,0.561562,-0.244374,
0.7,0.680865,0.682349,-2.04485,-1.88623,-0.0863799,-0.279065,0,0.338724,0.189682,0,-2.01688,-0.123585,0.18335,-1.8006,0.561859,-0.244503,
0.7,0.680865,0.682349,-2.04617,-1.88745,-0.0864358,-0.279245,0,0.338943,0.189805,0,-2.01819,-0.123665,0.183468,-1.80177,0.562223,-0.244661,
0.7,0.680865,0.682349,-2.04744,-1.88862,-0.0864893,-0.279418,0,0.339153,0.189922,0,-2.01944,-0.123741,0.183582,-1.80288,0.562571,-0.244812,
0.7,0.680865,0.682349,-2.04856,-1.88966,-0.086537,-0.279572,0,0.339339,0.190027,0,-2.02055,-0.12381,0.183683,-1.80388,0.562881,-0.244947,
0.7,0.680865,0.682349,-2.04999,-1.89097,-0.0865971,-0.279766,0,0.339575,0.190159,0,-2.02196,-0.123896,0.183811,-1.80513,0.563272,-0.245118,
0.7,0.680865,0.682349,-2.05121,-1.8921,-0.0866487,-0.279933,0,0.339778,0.190272,0,-2.02316,-0.123969,0.18392,-1.8062,0.563608,-0.245264,
0.7,0.680865,0.682349,-2.05234,-1.89314,-0.0866964,-0.280087,0,0.339965,0.190377,0,-2.02428,-0.124038,0.184022,-1.8072,0.563918,-0.245399,
0.7,0.680865,0.682349,-2.05344,-1.89416,-0.0867431,-0.280238,0,0.340148,0.19048,0,-2.02536,-0.124104,0.184121,-1.80817,0.564221,-0.245531,
0.7,0.680865,0.682349,-2.05541,-1.89516,-0.0868263,-0.280508,0,0.340328,0.190581,0,-2.02731,-0.124224,0.184297,-1.80913,0.56452,-0.245661,
0.7,0.680865,0.682349,-2.05583,-1.89636,-0.0868437,-0.280564,0,0.340542,0.1907,0,-2.02771,-0.124249,0.184334,-1.81027,0.564876,-0.245815,
0.7,0.680865,0.682349,-2.05824,-1.89752,-0.0869459,-0.280894,0,0.340751,0.190817,0,-2.0301,-0.124395,0.184551,-1.81138,0.565222,-0.245966,
0.7,0.680865,0.682349,-2.05815,-1.8985,-0.0869417,-0.280881,0,0.340926,0.190915,0,-2.03,-0.124389,0.184542,-1.81231,0.565513,-0.246093,
0.7,0.680865,0.682349,-2.05926,-1.89952,-0.0869888,-0.281033,0,0.341111,0.191018,0,-2.0311,-0.124456,0.184642,-1.81329,0.565819,-0.246226,
0.7,0.680865,0.682349,-2.06068,-1.90083,-0.0870488,-0.281227,0,0.341346,0.19115,0,-2.0325,-0.124541,0.184769,-1.81454,0.566209,-0.246396,
0.7,0.680865,0.682349,-2.06182,-1.90189,-0.0870972,-0.281383,0,0.341536,0.191256,0,-2.03363,-0.124611,0.184872,-1.81555,0.566524,-0.246533,
