dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.7,0.603042,0.975317,1946.02,-1812.24,-321.958,103.326,0,1384.92,-270.965,0,1826.26,-667.648,-26.4956,-1075.89,1451.05,-345.717,
0.7,0.603042,0.975316,-53.9831,187.69,8.93356,-2.868,0,-143.432,28.0636,0,-50.6612,18.5194,0.735248,111.424,-150.285,35.8055,
0.7,0.603042,0.975315,-54.0071,187.75,8.93883,-2.87026,0,-143.477,28.0727,0,-50.6839,18.527,0.735698,111.457,-150.336,35.8172,
0.7,0.603042,0.975314,-53.9947,187.785,8.93798,-2.87053,0,-143.503,28.0782,0,-50.6724,18.5222,0.735649,111.475,-150.365,35.8239,
0.7,0.603042,0.975313,-54.0036,187.811,8.94063,-2.87204,0,-143.522,28.0825,0,-50.6809,18.5246,0.735888,111.489,-150.388,35.8291,
0.7,0.603042,0.975312,-54.0268,187.829,8.94567,-2.87442,0,-143.534,28.0857,0,-50.7028,18.532,0.736319,111.496,-150.404,35.8325,
0.7,0.603042,0.975312,-54.0292,187.855,8.94719,-2.87571,0,-143.553,28.0904,0,-50.7052,18.5323,0.736459,111.51,-150.427,35.8377,
0.7,0.603042,0.975311,-54.0263,187.875,8.94807,-2.87675,0,-143.567,28.0941,0,-50.7027,18.5307,0.736532,111.519,-150.445,35.8416,
0.7,0.603042,0.97531,-54.0041,187.923,8.94563,-2.87671,0,-143.603,28.1024,0,-50.6819,18.5226,0.736335,111.545,-150.485,35.851,
0.7,0.603043,0.975309,-53.9825,187.958,8.94327,-2.87688,0,-143.629,28.1086,0,-50.6618,18.5147,0.736145,111.564,-150.514,35.8577,
0.7,0.603046,0.975308,-53.9112,187.995,8.93382,-2.87606,0,-143.656,28.1169,0,-50.5952,18.4893,0.735363,111.584,-150.546,35.8649,
0.7,0.603047,0.975308,-53.9711,188.065,8.94488,-2.88082,0,-143.709,28.1288,0,-50.6516,18.5095,0.736259,111.625,-150.602,35.8783,
0.7,0.603049,0.975308,-53.965,188.094,8.94495,-2.882,0,-143.731,28.1345,0,-50.6459,18.507,0.736248,111.642,-150.626,35.8839,
0.7,0.60305,0.975308,-53.9799,188.123,8.94857,-2.88445,0,-143.752,28.1399,0,-50.6601,18.5118,0.736524,111.659,-150.648,35.8893,
0.7,0.603051,0.975308,-53.9717,188.168,8.94826,-2.88555,0,-143.787,28.1479,0,-50.6524,18.5086,0.736483,111.686,-150.685,35.8979,
0.7,0.603053,0.975308,-53.9527,188.161,8.94616,-2.88601,0,-143.781,28.1479,0,-50.6348,18.5017,0.736304,111.683,-150.678,35.8965,
0.7,0.603055,0.975308,-53.9689,188.213,8.94981,-2.88833,0,-143.821,28.1571,0,-50.6501,18.5069,0.736603,111.714,-150.72,35.9064,
0.7,0.603057,0.975307,-53.9356,188.23,8.94523,-2.88792,0,-143.834,28.161,0,-50.619,18.495,0.736239,111.725,-150.733,35.9097,
0.7,0.603059,0.975308,-53.9401,188.268,8.94695,-2.88973,0,-143.863,28.1681,0,-50.6234,18.4961,0.736394,111.748,-150.763,35.9169,
0.7,0.603061,0.975308,-53.9754,188.314,8.95365,-2.89304,0,-143.898,28.1762,0,-50.6566,18.5078,0.736962,111.776,-150.8,35.9257,
0.7,0.603062,0.975308,-54.0008,188.33,8.95874,-2.8958,0,-143.909,28.1801,0,-50.6807,18.5161,0.7374,111.785,-150.812,35.9286,
0.7,0.603064,0.975308,-54.0503,188.367,8.96777,-2.90012,0,-143.937,28.1879,0,-50.7272,18.5326,0.738161,111.808,-150.841,35.9357,
0.7,0.603066,0.975308,-53.9825,188.394,8.95815,-2.89935,0,-143.958,28.1926,0,-50.6638,18.5085,0.737408,111.825,-150.862,35.9408,
0.7,0.603068,0.975308,-54.0402,188.394,8.96854,-2.90384,0,-143.958,28.1937,0,-50.7182,18.5279,0.738287,111.825,-150.862,35.9408,
0.7,0.60307,0.975308,-54.0089,188.432,8.96415,-2.90343,0,-143.987,28.2004,0,-50.6889,18.5166,0.737962,111.849,-150.892,35.948,
0.7,0.603073,0.975307,-53.9417,188.438,8.95384,-2.90127,0,-143.992,28.2021,0,-50.6261,18.493,0.737171,111.853,-150.896,35.9492,
0.7,0.603076,0.975306,-53.9664,188.463,8.95868,-2.90384,0,-144.011,28.2067,0,-50.6495,18.5009,0.737627,111.868,-150.915,35.9538,
0.7,0.603079,0.975304,-53.9587,188.387,8.95818,-2.9047,0,-143.953,28.1977,0,-50.6424,18.4977,0.737638,111.825,-150.854,35.9393,
0.7,0.603086,0.975303,-53.7496,188.471,8.925,-2.89611,0,-144.018,28.2118,0,-50.4466,18.4248,0.735034,111.876,-150.921,35.9554,
0.7,0.60309,0.9753,-53.9031,188.432,8.95123,-2.9058,0,-143.989,28.207,0,-50.5909,18.4768,0.737262,111.853,-150.889,35.9479,
0.7,0.603094,0.975297,-53.9128,188.422,8.95358,-2.90783,0,-143.982,28.2065,0,-50.6002,18.4794,0.737529,111.848,-150.88,35.9459,
0.7,0.603098,0.975293,-53.8858,188.295,8.94982,-2.90811,0,-143.886,28.1887,0,-50.5751,18.4695,0.737301,111.774,-150.778,35.9216,
0.7,0.603102,0.975287,-53.9098,188.234,8.9544,-2.9109,0,-143.841,28.1805,0,-50.5978,18.477,0.737774,111.74,-150.728,35.9099,
0.7,0.603106,0.975279,-53.8875,188.13,8.95128,-2.91109,0,-143.764,28.1656,0,-50.5772,18.4686,0.737619,111.68,-150.642,35.8898,
0.7,0.60311,0.975272,-53.9059,188.22,8.95485,-2.9134,0,-143.835,28.1801,0,-50.5947,18.4742,0.738018,111.736,-150.714,35.9071,
0.7,0.60312,0.975261,-53.5336,187.958,8.894,-2.89598,0,-143.638,28.1412,0,-50.2458,18.3451,0.733235,111.583,-150.501,35.8568,
0.7,0.603125,0.975258,-53.9206,188.578,8.95884,-2.91821,0,-144.112,28.2349,0,-50.6093,18.4769,0.738701,111.952,-150.997,35.975,
0.7,0.60313,0.975255,-53.8251,188.565,8.94351,-2.91428,0,-144.103,28.2341,0,-50.52,18.4434,0.737558,111.945,-150.986,35.9726,
0.7,0.603131,0.975252,-54.1638,188.59,9.00016,-2.93397,0,-144.122,28.2388,0,-50.8379,18.5593,0.742237,111.961,-151.006,35.9773,
0.7,0.603136,0.975248,-53.8038,188.587,8.94086,-2.91578,0,-144.121,28.2393,0,-50.5003,18.4351,0.737485,111.96,-151.003,35.9768,
0.7,0.603142,0.975245,-53.8028,188.611,8.94123,-2.91703,0,-144.139,28.2439,0,-50.4998,18.4338,0.737671,111.975,-151.021,35.9812,
0.7,0.603147,0.975241,-53.8212,188.603,8.94475,-2.91936,0,-144.134,28.2438,0,-50.5173,18.4391,0.738115,111.972,-151.014,35.9797,
0.7,0.603153,0.975237,-53.8145,188.594,8.9441,-2.92043,0,-144.128,28.2436,0,-50.5114,18.4358,0.738233,111.967,-151.006,35.9779,
0.7,0.603158,0.975232,-53.8055,188.555,8.94305,-2.92132,0,-144.099,28.2387,0,-50.5033,18.4317,0.738319,111.945,-150.973,35.9703,
0.7,0.603164,0.975227,-53.825,188.625,8.94674,-2.92368,0,-144.155,28.2504,0,-50.522,18.4373,0.738816,111.989,-151.029,35.9838,
0.7,0.60317,0.975222,-53.8467,188.635,8.95079,-2.92619,0,-144.164,28.2528,0,-50.5427,18.4437,0.739335,111.996,-151.036,35.9855,
0.7,0.603184,0.97521,-53.4579,188.368,8.88718,-2.90783,0,-143.963,28.2139,0,-50.1786,18.3081,0.734486,111.841,-150.819,35.9343,
0.7,0.603191,0.975204,-53.7564,188.607,8.93739,-2.92557,0,-144.147,28.2499,0,-50.4593,18.4091,0.73886,111.986,-151.009,35.9799,
