pivot_1,pivot_2,pivot_3,pivot_4,pf_x,pf_y,pf_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,tau_c_scaled_1,tau_c_scaled_2,tau_c_scaled_3,tau_c_scaled_4,tau_c_scaled_5,f_drive_ref_1,f_drive_ref_2,f_drive_ref_3,f_drive_ref_4,f_drive_ref_5,f_drive_ref_6,f_drive_ref_7,f_drive_ref_8,f_krnl_1,f_krnl_2,f_krnl_3,f_krnl_4,f_krnl_5,f_krnl_6,f_krnl_7,f_krnl_8,f_null_1,f_null_2,f_null_3,f_null_4,f_null_5,f_null_6,f_null_7,f_null_8,f_null_scale_factor,f_null_scaled_1,f_null_scaled_2,f_null_scaled_3,f_null_scaled_4,f_null_scaled_5,f_null_scaled_6,f_null_scaled_7,f_null_scaled_8,f_drv_1,f_drv_2,f_drv_3,f_drv_4,f_drv_5,f_drv_6,f_drv_7,f_drv_8,f_wheel_1,f_wheel_2,f_wheel_3,f_wheel_4,f_wheel_5,f_wheel_6,f_wheel_7,f_wheel_8
5.85832,2.61131,4.97869,4.30526,0,0,50,-7.89242,-10.0367,-8.00361,-5.94273,1.59795,1.17434,-8.29525,-6.75974,0,211.356,0,95.8992,0,41.7087,0,204.473,-41.3559,13.8664,12.5623,41.7705,37.0458,23.0259,-39.911,17.5982,5.84528,153.861,33.4866,75.1112,-63.8872,-59.9972,95.8251,120.63,0.695178,4.06351,106.961,23.2792,52.2157,-44.413,-41.7087,66.6156,83.8594,-37.2924,120.827,35.8415,93.9862,-7.36714,-18.6828,26.7045,101.458,-137.26,-174.552,-139.193,-103.352,27.7904,20.4233,-144.265,-117.561,
5.85832,2.61131,4.97869,4.30526,0,0,50,-7.89242,-10.0367,-8.00361,-5.94273,1.59795,1.17434,-8.29525,-6.75974,0,211.356,0,95.8992,0,41.7087,0,204.473,-41.3559,13.8664,12.5623,41.7705,37.0458,23.0259,-39.911,17.5982,5.84528,153.861,33.4866,75.1112,-63.8872,-59.9972,95.8251,120.63,0.695178,4.06351,106.961,23.2792,52.2157,-44.413,-41.7087,66.6156,83.8594,-37.2924,120.827,35.8415,93.9862,-7.36714,-18.6828,26.7045,101.458,-137.26,-174.552,-139.193,-103.352,27.7904,20.4233,-144.265,-117.561,
5.85832,2.61131,4.97869,4.30526,0,0,50,-7.89242,-10.0367,-8.00361,-5.94273,1.59795,1.17434,-8.29525,-6.75974,0,211.356,0,95.8992,0,41.7087,0,204.473,-41.3559,13.8664,12.5623,41.7705,37.0458,23.0259,-39.911,17.5982,5.84528,153.861,33.4866,75.1112,-63.8872,-59.9972,95.8251,120.63,0.695178,4.06351,106.961,23.2792,52.2157,-44.413,-41.7087,66.6156,83.8594,-37.2924,120.827,35.8415,93.9862,-7.36714,-18.6828,26.7045,101.458,-137.26,-174.552,-139.193,-103.352,27.7904,20.4233,-144.265,-117.561,
5.85832,2.61131,4.97869,4.30526,0,0,50,-7.89242,-10.0367,-8.00361,-5.94273,1.59795,1.17434,-8.29525,-6.75974,0,211.356,0,95.8992,0,41.7087,0,204.473,-41.3559,13.8664,12.5623,41.7705,37.0458,23.0259,-39.911,17.5982,5.84528,153.861,33.4866,75.1112,-63.8872,-59.9972,95.8251,120.63,0.695178,4.06351,106.961,23.2792,52.2157,-44.413,-41.7087,66.6156,83.8594,-37.2924,120.827,35.8415,93.9862,-7.36714,-18.6828,26.7045,101.458,-137.26,-174.552,-139.193,-103.352,27.7904,20.4233,-144.265,-117.561,
5.85832,2.61131,4.97868,4.30527,0,0,50,-7.89247,-10.0368,-8.00366,-5.94277,1.59798,1.17437,-8.29526,-6.75969,0,211.356,0,95.8992,0,41.7096,0,204.472,-41.3559,13.8664,12.5623,41.7705,37.0456,23.0264,-39.9108,17.5987,5.84592,153.86,33.4864,75.1112,-63.886,-59.9978,95.8254,120.628,0.695186,4.064,106.961,23.2793,52.2163,-44.4127,-41.7096,66.6165,83.8586,-37.2919,120.827,35.8415,93.9868,-7.3671,-18.6833,26.7056,101.457,-137.26,-174.552,-139.194,-103.352,27.791,20.4239,-144.265,-117.56,
5.85832,2.61133,4.97867,4.30527,0,0,50,-7.89257,-10.0369,-8.00368,-5.94274,1.59802,1.1744,-8.29536,-6.75972,0,211.356,0,95.8983,0,41.7105,0,204.472,-41.3559,13.8664,12.5628,41.7704,37.0453,23.0268,-39.9108,17.5987,5.84529,153.86,33.4867,75.1103,-63.8849,-59.9983,95.8256,120.627,0.695196,4.06362,106.963,23.2798,52.2164,-44.4125,-41.7105,66.6175,83.8595,-37.2923,120.829,35.8426,93.9867,-7.36726,-18.6837,26.7067,101.458,-137.262,-174.554,-139.195,-103.352,27.7916,20.4244,-144.267,-117.56,
5.85831,2.61131,4.97867,4.30526,0,0,50,-7.89265,-10.037,-8.0038,-5.94283,1.59803,1.17439,-8.29544,-6.75981,0,211.357,0,95.8992,0,41.7105,0,204.473,-41.3561,13.8659,12.5623,41.7705,37.0453,23.0268,-39.911,17.5982,5.84476,153.861,33.4878,75.1118,-63.8851,-59.998,95.8254,120.629,0.695199,4.06327,106.964,23.2807,52.2176,-44.4129,-41.7105,66.6177,83.8611,-37.2928,120.83,35.843,93.9882,-7.36762,-18.6837,26.7067,101.459,-137.263,-174.556,-139.197,-103.354,27.7918,20.4242,-144.269,-117.562,
5.85783,2.61111,4.97863,4.30509,0,0,50,-7.89301,-10.0384,-8.00659,-5.94474,1.59804,1.17459,-8.29524,-6.76021,0,211.393,0,95.9145,0,41.7133,0,204.485,-41.3627,13.846,12.5538,41.7731,37.0444,23.0282,-39.914,17.5915,5.82733,153.91,33.5226,75.1548,-63.8802,-60.0028,95.8162,120.642,0.695188,4.05109,106.996,23.3045,52.2467,-44.4088,-41.7133,66.6103,83.8692,-37.3116,120.842,35.8583,94.0198,-7.36434,-18.6851,26.6963,101.461,-137.27,-174.581,-139.245,-103.387,27.792,20.4276,-144.265,-117.569,
5.85686,2.61052,4.97868,4.30447,0,0,50,-7.89502,-10.0429,-8.01305,-5.9495,1.59804,1.17432,-8.29696,-6.76334,0,211.466,0,95.9585,0,41.7096,0,204.532,-41.3761,13.8059,12.5292,41.7804,37.0456,23.0264,-39.9249,17.5666,5.78481,154.028,33.5998,75.2519,-63.8876,-59.9968,95.7954,120.723,0.695198,4.02159,107.08,23.3585,52.315,-44.4145,-41.7096,66.5967,83.9267,-37.3546,120.886,35.8877,94.0954,-7.36898,-18.6833,26.6718,101.493,-137.305,-174.659,-139.357,-103.47,27.7919,20.4229,-144.295,-117.623,
5.85675,2.61024,4.9788,4.30377,0,0,50,-7.89928,-10.0483,-8.01587,-5.95154,1.59848,1.1732,-8.30305,-6.76922,0,211.474,0,95.9801,0,41.7007,0,204.584,-41.3776,13.8014,12.5172,41.784,37.0483,23.0219,-39.9372,17.5389,5.7558,154.084,33.6269,75.272,-63.9123,-59.9665,95.7902,120.844,0.695399,4.00258,107.15,23.3841,52.3441,-44.4446,-41.7007,66.6124,84.0351,-37.375,120.951,35.9014,94.1281,-7.39624,-18.6787,26.6753,101.574,-137.379,-174.754,-139.406,-103.505,27.7997,20.4034,-144.401,-117.726,
