ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.385152,-0.906871,0.670029,-0.536668,-0.431683,0.562899,0.456926,-0.0135403,-0.00826117,0.00353445,-0.00999844,-0.00875932,-0.0236454,0.0430445,-0.699709,0.692781,-0.413322,0.90926,0.0220643,-0.0438704,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.0156305,0,0,0,0,8.1042,-1.63855,-8.07586,1.3846,-0.115315,0.89998,-0.401811,0,0,-10,0,0,0,0,0,0.721944,0,0,0,
0.385138,-0.906879,0.670032,-0.536678,-0.431674,0.562895,0.456927,-0.0142462,-0.00866061,0.0035725,-0.0120584,-0.00786571,-0.0245359,0.0430351,-0.699709,0.692782,-0.413312,0.909265,0.0220627,-0.043871,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.441766,-0.232171,0.728075,0.394696,0.697788,7.98503,-1.02566,-7.73099,0.234772,-0.0851059,0.857209,-0.557559,0,0,-10,0,0,0,0,0,0.721754,0,0,0,
0.385138,-0.90688,0.670033,-0.536682,-0.431674,0.562894,0.456924,-0.0142463,-0.00865441,0.00357194,-0.0120582,-0.00786688,-0.024477,0.0430351,-0.699709,0.692782,-0.413312,0.909265,0.0220627,-0.043871,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.018117,-0.0661423,0.442829,0.51075,0.360575,8.22056,-1.71586,-7.91007,1.50999,-0.0490943,0.791013,-0.552177,0,0,-10,0,0,0,0,0,0.721754,0,0,0,
0.38511,-0.906896,0.67004,-0.536702,-0.431658,0.562884,0.456928,-0.0139284,-0.00845466,0.00350087,-0.0122151,-0.00774557,-0.0238538,0.0430166,-0.69971,0.692786,-0.413291,0.909274,0.0220599,-0.0438724,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,1.05279,-0.529009,1.4985,0.964908,1.24787,7.87611,-0.0827409,-7.32728,-1.57963,-0.0393014,0.936839,-0.728857,0,0,-10,0,0,0,0,0,0.721393,0,0,0,
0.385095,-0.906906,0.670044,-0.536713,-0.43165,0.562879,0.45693,-0.0150929,-0.00912801,0.00369848,-0.0116754,-0.00753308,-0.0256296,0.043006,-0.699711,0.692788,-0.41328,0.909279,0.0220581,-0.0438731,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.474164,-0.244281,0.600525,0.399885,0.598482,7.96962,-0.948917,-7.73045,0.0908438,-0.0832588,0.902692,-0.526423,0,0,-10,0,0,0,0,0,0.721184,0,0,0,
0.385079,-0.906916,0.670048,-0.536724,-0.431641,0.562873,0.456933,-0.0159264,-0.00961666,0.00389098,-0.0111259,-0.00789126,-0.0269632,0.0429953,-0.699711,0.69279,-0.413268,0.909284,0.0220565,-0.0438737,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.458842,-0.233141,0.577957,0.388255,0.826964,7.97561,-1.01735,-7.73762,0.220753,-0.0803153,0.82754,-0.521969,0,0,-10,0,0,0,0,0,0.720985,0,0,0,
0.38505,-0.906933,0.670055,-0.536744,-0.431626,0.562861,0.456938,-0.0135342,-0.00819213,0.00342852,-0.0100502,-0.00778015,-0.0230654,0.0429758,-0.699712,0.692794,-0.413247,0.909294,0.0220535,-0.0438742,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,1.02232,-0.51681,1.0874,1.02089,1.03731,7.89795,-0.0949217,-7.36641,-1.56016,-0.0210711,0.995379,-0.64648,0,0,-10,0,0,0,0,0,0.720643,0,0,0,
0.385038,-0.90694,0.670058,-0.536753,-0.431619,0.562856,0.45694,-0.011269,-0.00685199,0.002939,-0.0100056,-0.00720596,-0.0194129,0.0429683,-0.699713,0.692795,-0.413239,0.909298,0.0220524,-0.0438738,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.415333,-0.187006,0.528652,0.432556,0.35748,8.07549,-1.03114,-7.82055,0.195922,-0.0772069,0.953255,-0.529434,0,0,-10,0,0,0,0,0,0.720529,0,0,0,
0.38503,-0.906946,0.670061,-0.536761,-0.431614,0.562852,0.456941,-0.00894074,-0.00548846,0.00244689,-0.00952443,-0.0066841,-0.0158087,0.0429623,-0.699713,0.692796,-0.413232,0.909301,0.0220514,-0.043873,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.389859,-0.161924,0.474664,0.413535,-0.412585,8.11936,-0.946605,-7.88769,0.00818229,-0.0885432,1.1764,-0.523031,0,0,-10,0,0,0,0,0,0.720445,0,0,0,
0.385017,-0.906954,0.670065,-0.536773,-0.431608,0.562842,0.456945,-0.00520911,-0.00330093,0.00161724,-0.00948512,-0.00541678,-0.00999641,0.0429536,-0.699714,0.692797,-0.413223,0.909305,0.0220496,-0.043872,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,0.562591,-0.274254,0.220806,0.703639,0.556586,8.05008,-0.806846,-7.71535,-0.225689,-0.0314528,0.961883,-0.472055,0,0,-10,0,0,0,0,0,0.720292,0,0,0,
