p,i,d,error,error_sum,prev_error,control_singal
750,105.5,80,-0.107289,-0.0132821,-0.107289,-82.6692
750,105.5,80,-0.107318,-0.0134234,-0.107318,-83.7238
750,105.5,80,-0.107332,-0.0135558,-0.107332,-82.8305
750,105.5,80,-0.107343,-0.0137061,-0.107343,-82.5829
750,105.5,80,-0.107373,-0.0138685,-0.107373,-83.5495
750,105.5,80,-0.107385,-0.0140313,-0.107385,-82.6854
750,105.5,80,-0.107406,-0.0141848,-0.107406,-83.1828
750,105.5,80,-0.107419,-0.0143122,-0.107419,-82.9897
750,105.5,80,-0.107428,-0.0144639,-0.107428,-82.6134
750,105.5,80,-0.107442,-0.0146175,-0.107442,-82.8802
750,105.5,80,-0.10745,-0.014746,-0.10745,-82.6774
750,105.5,80,-0.107462,-0.0148906,-0.107462,-82.8817
750,105.5,80,-0.107473,-0.0150444,-0.107473,-82.8312
750,105.5,80,-0.107478,-0.0151648,-0.107478,-82.5307
750,105.5,80,-0.10749,-0.0153109,-0.10749,-82.9766
750,105.5,80,-0.107494,-0.0154591,-0.107494,-82.4543
750,105.5,80,-0.107497,-0.0155915,-0.107497,-82.4686
750,105.5,80,-0.107502,-0.0157107,-0.107502,-82.6473
750,105.5,80,-0.107503,-0.0158556,-0.107503,-82.325
750,105.5,80,-0.107498,-0.0159706,-0.107498,-81.983
750,105.5,80,-0.107498,-0.0161197,-0.107498,-82.3063
750,105.5,80,-0.107493,-0.0162763,-0.107493,-82.0935
750,105.5,80,-0.107477,-0.0164376,-0.107477,-81.4925
750,105.5,80,-0.107473,-0.0165595,-0.107473,-82.0317
750,105.5,80,-0.107466,-0.0167193,-0.107466,-81.9684
750,105.5,80,-0.107447,-0.0168687,-0.107447,-81.2937
750,105.5,80,-0.107404,-0.0169994,-0.107404,-79.536
750,105.5,80,-0.107399,-0.0171474,-0.107399,-82.0433
750,105.5,80,-0.107379,-0.0173004,-0.107379,-81.2399
