pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
3.0823,3.28165,2.69145,2.86973,-25.6549,0,0,0.492307,0.103499,0.71741,0.304162,-0.502546,-0.937281,0.103074,-0.350779,1.62884e-07,-8.38064e-08,-7.43307e-08,8.14418e-05,-4.19032e-05,-3.71653e-05,
3.0823,3.28165,2.69145,2.86973,-27.8233,0,0,0.486833,0.117699,0.716098,0.321956,-0.523049,-0.941507,0.0914338,-0.344776,2.83874e-07,-1.46058e-07,-1.29544e-07,8.14418e-05,-4.19032e-05,-3.71653e-05,
3.08228,3.28166,2.69145,2.86974,-27.3173,0,0,0.488271,0.114326,0.7167,0.317866,-0.518374,-0.940875,0.0942822,-0.346303,2.31432e-07,-1.03496e-07,4.87103e-08,-2.67175e-05,2.16841e-05,9.08146e-05,
3.08228,3.28165,2.69146,2.86976,-27.5948,0,0,0.487707,0.116136,0.716724,0.320186,-0.521088,-0.941643,0.0928429,-0.345635,1.1875e-07,-1.20784e-07,-4.80493e-07,-5.95676e-05,-9.13902e-06,-0.000279755,
3.08228,3.28169,2.69134,2.86974,-28.2787,0,0,0.486183,0.120474,0.716533,0.325678,-0.527574,-0.943275,0.0893947,-0.343852,-9.98629e-07,-1.9358e-07,3.05643e-07,-0.000832443,-5.42334e-05,0.000585668,
3.08227,3.28167,2.69129,2.86974,-26.7588,0,0,0.490269,0.110459,0.717767,0.313198,-0.513328,-0.940716,0.0977147,-0.348215,-2.58828e-06,-4.151e-07,1.88246e-06,-0.0011456,-0.000159639,0.00113635,
3.08223,3.28159,2.69146,2.86976,-26.6709,0,0,0.490402,0.110072,0.717799,0.312711,-0.512621,-0.940505,0.097983,-0.348433,-4.02084e-06,-7.35174e-07,3.80003e-06,-0.00100601,-0.000224767,0.00134661,
3.08218,3.28146,2.69177,2.86979,-27.3015,0,0,0.488511,0.11454,0.717209,0.318287,-0.518728,-0.941434,0.094168,-0.346549,-4.50374e-06,-1.17017e-06,5.38389e-06,-0.000309738,-0.000279009,0.0010159,
3.0821,3.28124,2.69217,2.86985,-25.8963,0,0,0.491722,0.105775,0.717868,0.30729,-0.505714,-0.938425,0.1012,-0.350265,-4.54205e-06,-1.55944e-06,6.4296e-06,-2.73971e-05,-0.00027836,0.000747766,
3.08199,3.28098,2.69257,2.8699,-26.2312,0,0,0.490429,0.108477,0.717319,0.310591,-0.509163,-0.938646,0.0988091,-0.349062,-4.41559e-06,-2.05699e-06,7.22312e-06,6.52595e-05,-0.000256756,0.000409487,
3.08183,3.28057,2.69327,2.86998,-26.0613,0,0,0.49007,0.108205,0.716784,0.310104,-0.507958,-0.937498,0.0986991,-0.349067,-5.46291e-06,-2.6606e-06,9.42262e-06,-0.000529716,-0.000305287,0.00111246,
3.08163,3.2801,2.69399,2.87007,-26.8412,0,0,0.487054,0.114245,0.715393,0.317465,-0.515741,-0.937884,0.0933658,-0.346227,-6.47573e-06,-3.15402e-06,1.15472e-05,-0.000819536,-0.000399248,0.00171909,
3.08146,3.27974,2.69462,2.87013,-25.3648,0,0,0.490124,0.105299,0.715809,0.306167,-0.502138,-0.934412,0.100442,-0.349946,-7.61662e-06,-3.8064e-06,1.44574e-05,-0.000769851,-0.0004402,0.00196374,
3.08128,3.2793,2.69537,2.87022,-25.885,0,0,0.4878,0.109628,0.714623,0.311409,-0.507452,-0.934325,0.0964956,-0.347876,-8.77885e-06,-4.28491e-06,1.66644e-05,-0.000860088,-0.000354097,0.00163324,
3.08111,3.27889,2.69613,2.8703,-26.332,0,0,0.485696,0.113494,0.713514,0.316069,-0.512032,-0.93412,0.0929166,-0.346077,-1.09474e-05,-4.79833e-06,1.95147e-05,-0.00143116,-0.000338815,0.00188111,
3.08092,3.2784,2.69702,2.8704,-25.2014,0,0,0.487555,0.1071,0.713385,0.307883,-0.501773,-0.930885,0.0977381,-0.348634,-1.40843e-05,-5.28692e-06,2.31289e-05,-0.00224018,-0.000348862,0.00258101,
3.08072,3.27784,2.69784,2.87051,-26.1583,0,0,0.483956,0.114483,0.711698,0.316825,-0.51132,-0.93138,0.0912257,-0.345197,-1.83339e-05,-5.89273e-06,2.71222e-05,-0.00269502,-0.00038413,0.00253248,
3.08053,3.2773,2.69889,2.87061,-25.1164,0,0,0.485461,0.108865,0.711349,0.309523,-0.501889,-0.9281,0.0953104,-0.347477,-2.30118e-05,-6.36612e-06,3.11622e-05,-0.00311628,-0.00031527,0.00269134,
3.08034,3.27668,2.69986,2.87071,-26.0527,0,0,0.481768,0.116331,0.70947,0.318456,-0.511257,-0.92828,0.0886137,-0.34404,-2.83201e-05,-6.7914e-06,3.56528e-05,-0.00344075,-0.000275538,0.0029107,
3.08016,3.27606,2.70096,2.87081,-24.8309,0,0,0.48374,0.109625,0.709154,0.309677,-0.500144,-0.924583,0.0935685,-0.346811,-3.39676e-05,-7.13012e-06,4.01555e-05,-0.00388457,-0.000232841,0.00309715,
3.07994,3.27542,2.70209,2.87091,-25.3005,0,0,0.481115,0.114168,0.707477,0.314936,-0.505088,-0.923749,0.0892054,-0.344658,-4.1036e-05,-7.45366e-06,4.57698e-05,-0.00424894,-0.000194302,0.00337482,
3.07972,3.27476,2.70325,2.87103,-25.6096,0,0,0.478827,0.117676,0.705845,0.318909,-0.508517,-0.922525,0.0856631,-0.342905,-4.76139e-05,-7.7474e-06,5.04871e-05,-0.00477167,-0.00021285,0.00342199,
3.07958,3.27418,2.7042,2.87109,-25.3647,0,0,0.478444,0.117318,0.704922,0.31799,-0.506611,-0.920735,0.0854515,-0.343005,-5.60974e-05,-8.14444e-06,5.66286e-05,-0.00509744,-0.000238297,0.00369024,
3.07942,3.2735,2.70536,2.87119,-25.4481,0,0,0.476868,0.119395,0.703423,0.32003,-0.507879,-0.919077,0.0830666,-0.341971,-6.31604e-05,-8.36181e-06,6.09744e-05,-0.00535867,-0.0001646,0.00329714,
3.07929,3.27286,2.70633,2.87128,-24.9942,0,0,0.477022,0.117704,0.702585,0.31738,-0.504029,-0.916843,0.0839386,-0.342627,-7.19333e-05,-8.58838e-06,6.60873e-05,-0.0055482,-0.000142941,0.00323352,
3.07917,3.27225,2.70746,2.87135,-25.3852,0,0,0.474738,0.121786,0.700913,0.321899,-0.508128,-0.915783,0.0798981,-0.340829,-7.98326e-05,-8.76248e-06,7.05077e-05,-0.00574043,-0.000126121,0.00321227,
