ee_s_x,ee_s_y,ee_s_z,ee_s_qx,ee_s_qy,ee_s_qz,ee_s_qw,ee_twist_x,ee_twist_y,ee_twist_z,ee_twist_qx,ee_twist_qy,ee_twist_qz,elbow_s_x,elbow_s_y,elbow_s_z,elbow_s_qx,elbow_s_qy,elbow_s_qz,elbow_s_qw,arm_base_s_x,arm_base_s_y,arm_base_s_z,arm_base_s_qx,arm_base_s_qy,arm_base_s_qz,arm_base_s_qw,ee_f_e_x, ee_f_e_y, ee_f_e_z, ee_f_e_qx, ee_f_e_qy, ee_f_e_qz,ee_beta_x,ee_beta_y,ee_beta_z,ee_beta_qx,ee_beta_qy,ee_beta_qz,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,ee_f_c_x,ee_f_c_y,ee_f_c_z,ee_f_c_qx,ee_f_c_qy,ee_f_c_qz,elbow_f_c_x,elbow_f_c_y,elbow_f_c_z,elbow_f_c_qx,elbow_f_c_qy,elbow_f_c_qz
0.397498,-0.0838151,0.701593,0.534513,0.561042,-0.416572,-0.47539,-0.0152154,0.00661233,-0.008416,0.0472073,-0.0160323,0.0468101,0.43372,-0.360063,0.704331,0.0179063,0.0325179,0.97295,-0.228012,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.195205,0,0,0,0,-8.69115,2.36807,-8.2696,-2.95825,1.46517,2.68643,0.358313,0,0,-15,0,0,0,0,0,-1.29939,0,0,0,
0.397468,-0.083802,0.701578,0.534471,0.561097,-0.416555,-0.475387,-0.0148207,0.00664321,-0.00775613,0.0512957,-0.0188924,0.0456717,0.433724,-0.36004,0.704317,0.0179315,0.0325325,0.972936,-0.22807,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.664602,0.784185,-4.44328,1.70682,-8.21248,-10.475,2.05377,-9.68993,-4.23213,1.11918,1.14095,1.90671,0,0,-15,0,0,0,0,0,-1.29516,0,0,0,
0.397453,-0.0837948,0.701569,0.53445,0.561124,-0.416548,-0.475385,-0.0146562,0.00657697,-0.00802564,0.0502279,-0.0195591,0.0457558,0.433727,-0.360028,0.704309,0.0179458,0.0325409,0.972928,-0.228099,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.467998,0.556022,-2.4048,0.874754,-2.99168,-9.93618,2.5734,-9.19364,-3.18982,1.28767,2.1677,1.17304,0,0,-15,0,0,0,0,0,-1.29275,0,0,0,
0.397424,-0.0837828,0.701552,0.534408,0.561177,-0.416532,-0.475384,-0.0150738,0.00631527,-0.00911935,0.0479009,-0.017148,0.0468981,0.433731,-0.360006,0.704293,0.0179737,0.0325563,0.972914,-0.228155,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.640801,0.946209,-4.59168,1.60267,-9.85008,-10.6914,1.59676,-9.95503,-4.69727,1.12419,0.810884,2.05312,0,0,-15,0,0,0,0,0,-1.28797,0,0,0,
0.397409,-0.0837769,0.701543,0.534387,0.561204,-0.416525,-0.475381,-0.0155274,0.00586125,-0.00936575,0.0466376,-0.0154471,0.0480793,0.433733,-0.359995,0.704285,0.0179885,0.0325642,0.972907,-0.228185,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.460337,0.66823,-2.94022,1.13854,-5.9943,-10.0926,1.87517,-9.46761,-3.99625,1.22258,1.55689,1.44194,0,0,-15,0,0,0,0,0,-1.28543,0,0,0,
0.397392,-0.0837705,0.701532,0.534364,0.561231,-0.41652,-0.475379,-0.0159578,0.0057909,-0.00924228,0.0490704,-0.0163684,0.0487048,0.433736,-0.359983,0.704275,0.0180045,0.0325721,0.972899,-0.228217,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.540319,0.8336,-3.16398,0.949277,-7.39896,-10.3684,1.79531,-9.68495,-4.24613,1.25198,1.27254,1.60553,0,0,-15,0,0,0,0,0,-1.2826,0,0,0,
0.397376,-0.0837654,0.701524,0.534343,0.561258,-0.416513,-0.475378,-0.0157283,0.00542839,-0.00891652,0.0472764,-0.0166511,0.0477893,0.433738,-0.359973,0.704267,0.0180193,0.032579,0.972891,-0.228246,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.418737,0.636726,-2.97,0.973848,-3.12927,-10.0978,2.40618,-9.31722,-3.26161,1.26149,2.17329,1.3215,0,0,-15,0,0,0,0,0,-1.27999,0,0,0,
0.397349,-0.0837561,0.701506,0.534304,0.561307,-0.416498,-0.475377,-0.0131576,0.0044975,-0.0089871,0.0465958,-0.0138922,0.040233,0.433741,-0.359955,0.704248,0.0180489,0.0325907,0.972878,-0.228298,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.572068,1.01882,-4.51232,1.49642,-9.39732,-10.7859,1.4773,-10.0524,-4.66143,1.13672,0.914657,2.03178,0,0,-15,0,0,0,0,0,-1.27449,0,0,0,
0.397337,-0.0837527,0.701496,0.534285,0.561328,-0.41649,-0.475381,-0.0114014,0.00349886,-0.00922683,0.0484711,-0.0105391,0.0320144,0.433743,-0.359947,0.704237,0.0180653,0.0325948,0.972873,-0.22832,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.358034,0.844431,-3.24499,0.564826,-4.35392,-10.3674,1.93316,-9.57596,-3.66489,1.31993,1.94602,1.49735,0,0,-15,0,0,0,0,0,-1.2712,0,0,0,
0.397327,-0.0837489,0.701486,0.534267,0.561348,-0.416481,-0.475386,-0.00993176,0.00337392,-0.00979932,0.0484561,-0.00877134,0.0272581,0.433744,-0.35994,0.704227,0.0180809,0.0325984,0.972868,-0.228339,-0.178981,-0.0799403,0.739144,0.694608,-0.287717,0.609157,0.252322,0,0,0,0,0,0,0,-0.361621,0.800091,-3.49327,0.624409,-3.19205,-10.3537,2.22482,-9.47372,-3.3297,1.31482,2.20255,1.491,0,0,-15,0,0,0,0,0,-1.268,0,0,0,
