pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
0.653248,1.18076,5.57974,4.55633,113.778,-164.72,45.1803,2.3469,0.261998,7.97411,3.57634,1.64875,4.47824,-3.98389,-6.66664,0.000544438,-0.00101713,5.09203e-08,0.0346479,-0.061067,0.1565,
0.651726,1.17243,5.57361,4.56648,113.806,-164.745,45.1878,2.36987,0.310555,7.97996,3.58493,1.54601,4.40628,-3.99965,-6.63117,0.000600024,-0.00111444,6.16813e-08,0.0361651,-0.0633304,0.161588,
0.650132,1.16336,5.56679,4.57728,113.853,-164.785,45.1959,2.39265,0.36247,7.98203,3.59149,1.43088,4.32653,-4.01757,-6.59054,0.000654273,-0.00120806,5.91464e-08,0.0380153,-0.0656259,0.170417,
0.648371,1.15327,5.56037,4.58777,113.882,-164.811,45.2035,2.41859,0.415533,7.99683,3.6117,1.32607,4.2478,-4.03361,-6.55664,0.000714054,-0.0013107,7.41511e-08,0.0395395,-0.0679071,0.180107,
0.646908,1.14428,5.55452,4.59758,113.929,-164.848,45.2103,2.44068,0.463347,8.00679,3.62753,1.22913,4.17701,-4.04915,-6.5236,0.00076303,-0.00139576,5.27716e-08,0.0408846,-0.0710261,0.191748,
0.645339,1.13606,5.54882,4.60712,113.965,-164.886,45.2199,2.45958,0.506642,8.01119,3.63875,1.13368,4.1097,-4.0645,-6.489,0.000820892,-0.00149674,7.71139e-08,0.0423973,-0.0740186,0.203485,
0.64396,1.12837,5.54441,4.61726,113.982,-164.896,45.2233,2.48153,0.548134,8.02895,3.66184,1.06092,4.05573,-4.07691,-6.46232,0.000872432,-0.00158708,6.34974e-08,0.0438824,-0.0769355,0.214528,
0.642378,1.11987,5.53901,4.62689,114.033,-164.94,45.2321,2.50115,0.591365,8.03819,3.67918,0.971145,3.99067,-4.09216,-6.43028,0.000937324,-0.00170243,1.06455e-07,0.0449134,-0.079866,0.225845,
0.640832,1.11144,5.53399,4.63757,114.067,-164.974,45.2409,2.52234,0.634762,8.05288,3.70158,0.88796,3.93019,-4.10654,-6.39918,0.000999247,-0.00181277,9.98245e-08,0.046177,-0.0823137,0.235596,
0.639155,1.10226,5.52872,4.64932,114.082,-164.982,45.2441,2.54498,0.681171,8.06961,3.72787,0.800709,3.86563,-4.12118,-6.36541,0.00105413,-0.00191069,8.11384e-08,0.0473835,-0.0845646,0.245886,
