pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
4.82529,4.80171,4.82401,4.83692,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,1.62367e-08,1.70547e-07,4.08504e-15,8.11836e-06,8.52733e-05,-6.39144e-05,
4.82529,4.80171,4.82401,4.83692,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,2.43641e-08,2.55915e-07,4.09413e-15,8.11836e-06,8.52733e-05,-6.39144e-05,
4.82527,4.8017,4.824,4.83691,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,4.68752e-08,1.6919e-07,8.06605e-15,2.24861e-05,-8.6629e-05,8.97115e-05,
4.82527,4.8017,4.82401,4.83691,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,3.77497e-08,1.67864e-07,5.85005e-17,-9.12298e-06,-1.3247e-06,-7.64649e-06,
4.82526,4.8017,4.82402,4.83691,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,2.99976e-08,1.61043e-07,2.44221e-18,-7.75056e-06,-6.82049e-06,-1.56244e-06,
4.82527,4.8017,4.82401,4.83692,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,1.05872e-08,8.54291e-08,1.54591e-14,-1.93969e-05,-7.55612e-05,-0.000124249,
4.82528,4.8017,4.82401,4.83692,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,4.40261e-08,1.16488e-07,8.67398e-16,3.34344e-05,3.10551e-05,-2.94477e-05,
4.82529,4.8017,4.82402,4.83692,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,2.46311e-08,6.53473e-08,9.53927e-15,-1.93924e-05,-5.11342e-05,-9.76562e-05,
4.8253,4.8017,4.82401,4.83691,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,4.36982e-08,3.41984e-08,9.78955e-15,1.90646e-05,-3.11447e-05,9.8929e-05,
4.8253,4.8017,4.82401,4.83692,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,5.99898e-08,6.25803e-09,6.63883e-15,1.62882e-05,-2.79347e-05,8.14625e-05,
