pivot_1,pivot_2,pivot_3,pivot_4,pf_x,pf_y,pf_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,f_drive_ref_1,f_drive_ref_2,f_drive_ref_3,f_drive_ref_4,f_drive_ref_5,f_drive_ref_6,f_drive_ref_7,f_drive_ref_8,f_krnl_1,f_krnl_2,f_krnl_3,f_krnl_4,f_krnl_5,f_krnl_6,f_krnl_7,f_krnl_8,f_null_1,f_null_2,f_null_3,f_null_4,f_null_5,f_null_6,f_null_7,f_null_8,f_null_scale_factor,f_null_scaled_1,f_null_scaled_2,f_null_scaled_3,f_null_scaled_4,f_null_scaled_5,f_null_scaled_6,f_null_scaled_7,f_null_scaled_8,f_drv_1,f_drv_2,f_drv_3,f_drv_4,f_drv_5,f_drv_6,f_drv_7,f_drv_8,f_wheel_1,f_wheel_2,f_wheel_3,f_wheel_4,f_wheel_5,f_wheel_6,f_wheel_7,f_wheel_8
6.22251,0.120957,0.147574,6.21619,0,200,0,-1.49356,-1.6679,0.0459582,0.392862,0.179466,0.602202,-1.50269,-1.69515,0,163.147,0,144.984,0,142.322,0,163.779,-3.03193,49.908,6.0331,49.6347,7.35193,49.4565,-3.34708,49.8878,18.7733,6.74213,-8.69805,-3.27328,-22.2618,-4.22074,10.0556,6.84426,24.1982,6.9527e-310,163.147,4.61755e-310,-79.2073,1.4822e-323,-102.134,4.94066e-324,165.618,-3.03193,213.055,6.0331,-29.5726,7.35193,-52.6777,-3.34708,215.506,-25.975,-29.007,0.799273,6.83238,3.12115,10.4731,-26.1337,-29.4808,
6.22251,0.120957,0.147574,6.21619,0,200,0,-1.49356,-1.6679,0.0459582,0.392862,0.179466,0.602202,-1.50269,-1.69515,0,163.147,0,144.984,0,142.322,0,163.779,-3.03193,49.908,6.0331,49.6347,7.35193,49.4565,-3.34708,49.8878,18.7733,6.74213,-8.69805,-3.27328,-22.2618,-4.22074,10.0556,6.84426,24.1982,6.9527e-310,163.147,4.61755e-310,-79.2073,1.4822e-323,-102.134,4.94066e-324,165.618,-3.03193,213.055,6.0331,-29.5726,7.35193,-52.6777,-3.34708,215.506,-25.975,-29.007,0.799273,6.83238,3.12115,10.4731,-26.1337,-29.4808,
6.22251,0.120957,0.147574,6.21619,0,200,0,-1.49356,-1.6679,0.0459582,0.392862,0.179466,0.602202,-1.50269,-1.69515,0,163.147,0,144.984,0,142.322,0,163.779,-3.03193,49.908,6.0331,49.6347,7.35193,49.4565,-3.34708,49.8878,18.7733,6.74213,-8.69805,-3.27328,-22.2618,-4.22074,10.0556,6.84426,24.1982,6.9527e-310,163.147,4.61755e-310,-79.2073,1.4822e-323,-102.134,4.94066e-324,165.618,-3.03193,213.055,6.0331,-29.5726,7.35193,-52.6777,-3.34708,215.506,-25.975,-29.007,0.799273,6.83238,3.12115,10.4731,-26.1337,-29.4808,
6.22251,0.120957,0.147574,6.21619,0,200,0,-1.49356,-1.6679,0.0459582,0.392862,0.179466,0.602202,-1.50269,-1.69515,0,163.147,0,144.984,0,142.322,0,163.779,-3.03193,49.908,6.0331,49.6347,7.35193,49.4565,-3.34708,49.8878,18.7733,6.74213,-8.69805,-3.27328,-22.2618,-4.22074,10.0556,6.84426,24.1982,6.9527e-310,163.147,4.61755e-310,-79.2073,1.4822e-323,-102.134,4.94066e-324,165.618,-3.03193,213.055,6.0331,-29.5726,7.35193,-52.6777,-3.34708,215.506,-25.975,-29.007,0.799273,6.83238,3.12115,10.4731,-26.1337,-29.4808,
6.22251,0.120957,0.147574,6.21618,0,200,0,-1.49356,-1.6679,0.0459925,0.392896,0.179495,0.602231,-1.5029,-1.69539,0,163.147,0,144.984,0,142.322,0,163.78,-3.03193,49.908,6.0331,49.6347,7.35193,49.4565,-3.34767,49.8878,18.7732,6.74149,-8.69814,-3.27316,-22.2627,-4.2205,10.0566,6.84487,24.2005,6.9527e-310,163.147,4.61755e-310,-79.2119,1.4822e-323,-102.138,4.94066e-324,165.649,-3.03193,213.055,6.0331,-29.5773,7.35193,-52.6815,-3.34767,215.537,-25.975,-29.007,0.799869,6.83297,3.12165,10.4736,-26.1374,-29.485,
6.22252,0.120945,0.147562,6.21619,0,200,0,-1.49357,-1.66787,0.0460255,0.392895,0.179613,0.602315,-1.50294,-1.6954,0,163.146,0,144.985,0,142.323,0,163.779,-3.03134,49.908,6.03251,49.6348,7.35134,49.4566,-3.34708,49.8878,18.7709,6.74046,-8.69684,-3.27277,-22.2602,-4.22045,10.0556,6.84402,24.204,6.9527e-310,163.146,4.61755e-310,-79.2142,1.4822e-323,-102.152,4.94066e-324,165.653,-3.03134,213.054,6.03251,-29.5794,7.35134,-52.6951,-3.34708,215.541,-25.9752,-29.0065,0.800443,6.83295,3.1237,10.475,-26.1381,-29.4852,
6.22253,0.120957,0.147574,6.21621,0,200,0,-1.49358,-1.66785,0.0460178,0.392921,0.179583,0.602319,-1.50297,-1.69539,0,163.145,0,144.984,0,142.322,0,163.778,-3.03075,49.9081,6.0331,49.6347,7.35193,49.4565,-3.34648,49.8879,18.7709,6.74031,-8.69659,-3.27277,-22.2601,-4.22031,10.0553,6.84397,24.2044,6.9527e-310,163.145,4.61755e-310,-79.2154,1.4822e-323,-102.15,4.94066e-324,165.654,-3.03075,213.053,6.0331,-29.5807,7.35193,-52.6934,-3.34648,215.542,-25.9753,-29.0061,0.80031,6.83341,3.12319,10.4751,-26.1386,-29.4851,
6.22247,0.120993,0.147622,6.21615,0,200,0,-1.49354,-1.66798,0.0458076,0.392814,0.1792,0.602072,-1.50277,-1.69537,0,163.151,0,144.98,0,142.317,0,163.784,-3.03372,49.9079,6.03489,49.6345,7.35431,49.4562,-3.34948,49.8877,18.7804,6.74496,-8.70163,-3.27402,-22.2716,-4.2213,10.0601,6.84784,24.1886,6.9527e-310,163.151,4.61755e-310,-79.1937,1.4822e-323,-102.107,4.94066e-324,165.639,-3.03372,213.059,6.03489,-29.5593,7.35431,-52.6509,-3.34948,215.527,-25.9746,-29.0083,0.796654,6.83154,3.11651,10.4708,-26.1352,-29.4847,
6.22233,0.121029,0.147646,6.21601,0,200,0,-1.49344,-1.66829,0.0456454,0.392754,0.17836,0.601301,-1.5021,-1.69507,0,163.165,0,144.977,0,142.315,0,163.797,-3.04091,49.9074,6.03667,49.6342,7.35549,49.456,-3.35604,49.8872,18.7976,6.75369,-8.71283,-3.27734,-22.2887,-4.22189,10.0677,6.85339,24.1594,6.9527e-310,163.165,4.61755e-310,-79.1786,1.4822e-323,-101.998,4.94066e-324,165.574,-3.04091,213.073,6.03667,-29.5443,7.35549,-52.5424,-3.35604,215.461,-25.9728,-29.0137,0.793833,6.8305,3.10191,10.4574,-26.1234,-29.4795,
6.22234,0.120957,0.147538,6.21598,0,200,0,-1.49344,-1.66826,0.0461787,0.393082,0.17879,0.601424,-1.50302,-1.6961,0,163.164,0,144.984,0,142.326,0,163.8,-3.04031,49.9075,6.0331,49.6347,7.35016,49.4568,-3.35783,49.8871,18.7885,6.74667,-8.71045,-3.27637,-22.2798,-4.21911,10.0676,6.85178,24.1844,6.9527e-310,163.164,4.61755e-310,-79.237,1.4822e-323,-102.036,4.94066e-324,165.706,-3.04031,213.071,6.0331,-29.6024,7.35016,-52.5797,-3.35783,215.593,-25.9729,-29.0133,0.803107,6.83621,3.10939,10.4595,-26.1395,-29.4974,
6.22253,0.120849,0.14743,6.21618,0,200,0,-1.49358,-1.66785,0.0465314,0.393127,0.180133,0.60246,-1.50347,-1.69596,0,163.145,0,144.995,0,142.337,0,163.78,-3.03075,49.9081,6.02775,49.6353,7.34482,49.4576,-3.34767,49.8878,18.7598,6.73385,-8.69324,-3.27166,-22.2472,-4.21823,10.0528,6.84039,24.2276,6.9527e-310,163.145,4.61755e-310,-79.2645,1.4822e-323,-102.198,4.94066e-324,165.726,-3.03075,213.053,6.02775,-29.6291,7.34482,-52.74,-3.34767,215.614,-25.9753,-29.0061,0.809241,6.83699,3.13275,10.4776,-26.1473,-29.495,
6.22281,0.120789,0.147286,6.21645,0,200,0,-1.49378,-1.66726,0.0475749,0.393999,0.181156,0.603074,-1.50456,-1.69629,0,163.117,0,145.001,0,142.351,0,163.754,-3.01699,49.9089,6.02478,49.6357,7.33771,49.4586,-3.33452,49.8887,18.7248,6.71453,-8.67562,-3.26816,-22.2027,-4.21143,10.0342,6.82583,24.2932,6.9527e-310,163.117,4.61755e-310,-79.394,1.4822e-323,-102.309,4.94066e-324,165.821,-3.01699,213.026,6.02478,-29.7583,7.33771,-52.8503,-3.33452,215.71,-25.9788,-28.9957,0.827389,6.85216,3.15054,10.4883,-26.1662,-29.5008,
