pivot_1,pivot_2,pivot_3,pivot_4,pf_x,pf_y,pf_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,f_drive_ref_1,f_drive_ref_2,f_drive_ref_3,f_drive_ref_4,f_drive_ref_5,f_drive_ref_6,f_drive_ref_7,f_drive_ref_8,f_krnl_1,f_krnl_2,f_krnl_3,f_krnl_4,f_krnl_5,f_krnl_6,f_krnl_7,f_krnl_8,f_null_1,f_null_2,f_null_3,f_null_4,f_null_5,f_null_6,f_null_7,f_null_8,f_null_scale_factor,f_null_scaled_1,f_null_scaled_2,f_null_scaled_3,f_null_scaled_4,f_null_scaled_5,f_null_scaled_6,f_null_scaled_7,f_null_scaled_8,f_drv_1,f_drv_2,f_drv_3,f_drv_4,f_drv_5,f_drv_6,f_drv_7,f_drv_8,f_wheel_1,f_wheel_2,f_wheel_3,f_wheel_4,f_wheel_5,f_wheel_6,f_wheel_7,f_wheel_8
5.99186,5.88244,5.93062,6.02478,-200,0,0,10,10,-10,-10,-3.01587,-5.71403,10,10,0,-3135.3,0,-3014.94,0,-3067.93,0,-3171.51,-47.8932,-14.3611,-46.0386,-19.505,-46.9245,-17.2652,-48.34,-12.7769,73.9386,-29.8865,-248.326,39.1853,-56.1848,11.0796,222.236,-58.0248,54.6578,6.95277e-310,-1633.53,8.48735e-315,2141.78,1.4822e-323,605.585,6.0979e-310,-3171.51,-47.8932,-1647.89,-46.0386,2122.28,-46.9245,588.32,-48.34,-3184.28,236.578,188.684,-250.823,-296.861,-52.4499,-99.3745,435.045,386.705,
5.99186,5.88244,5.93062,6.02478,-200,0,0,10,10,-10,-10,-3.01587,-5.71403,10,10,0,-3135.3,0,-3014.94,0,-3067.93,0,-3171.51,-47.8932,-14.3611,-46.0386,-19.505,-46.9245,-17.2652,-48.34,-12.7769,73.9386,-29.8865,-248.326,39.1853,-56.1848,11.0796,222.236,-58.0248,54.6578,6.95277e-310,-1633.53,8.48735e-315,2141.78,1.4822e-323,605.585,6.0979e-310,-3171.51,-47.8932,-1647.89,-46.0386,2122.28,-46.9245,588.32,-48.34,-3184.28,236.578,188.684,-250.823,-296.861,-52.4499,-99.3745,435.045,386.705,
5.99186,5.88244,5.93062,6.02478,-200,0,0,10,10,-10,-10,-3.01587,-5.71403,10,10,0,-3135.3,0,-3014.94,0,-3067.93,0,-3171.51,-47.8932,-14.3611,-46.0386,-19.505,-46.9245,-17.2652,-48.34,-12.7769,73.9386,-29.8865,-248.326,39.1853,-56.1848,11.0796,222.236,-58.0248,54.6578,6.95277e-310,-1633.53,8.48735e-315,2141.78,1.4822e-323,605.585,6.0979e-310,-3171.51,-47.8932,-1647.89,-46.0386,2122.28,-46.9245,588.32,-48.34,-3184.28,236.578,188.684,-250.823,-296.861,-52.4499,-99.3745,435.045,386.705,
5.99186,5.88244,5.93062,6.02478,-200,0,0,10,10,-10,-10,-3.01587,-5.71403,10,10,0,-3135.3,0,-3014.94,0,-3067.93,0,-3171.51,-47.8932,-14.3611,-46.0386,-19.505,-46.9245,-17.2652,-48.34,-12.7769,73.9386,-29.8865,-248.326,39.1853,-56.1848,11.0796,222.236,-58.0248,54.6578,6.95277e-310,-1633.53,8.48735e-315,2141.78,1.4822e-323,605.585,6.0979e-310,-3171.51,-47.8932,-1647.89,-46.0386,2122.28,-46.9245,588.32,-48.34,-3184.28,236.578,188.684,-250.823,-296.861,-52.4499,-99.3745,435.045,386.705,
5.99186,5.88243,5.93063,6.02478,-200,0,0,10,10,-10,-10,-3.01156,-5.70974,10,10,0,-3135.3,0,-3014.92,0,-3067.94,0,-3171.51,-47.8932,-14.3611,-46.0384,-19.5056,-46.9247,-17.2647,-48.34,-12.7769,73.9475,-29.8915,-248.359,39.2045,-56.158,11.0707,222.23,-58.034,54.6491,6.95277e-310,-1633.54,8.48735e-315,2142.49,1.4822e-323,605.004,6.0979e-310,-3171.51,-47.8932,-1647.9,-46.0384,2122.98,-46.9247,587.74,-48.34,-3184.28,236.579,188.686,-250.914,-296.953,-52.375,-99.2998,435.045,386.705,
5.99185,5.88243,5.93063,6.02478,-200,0,0,10,10,-10,-10,-3.01109,-5.70926,10,10,0,-3135.28,0,-3014.92,0,-3067.94,0,-3171.51,-47.893,-14.3616,-46.0384,-19.5056,-46.9247,-17.2647,-48.34,-12.7769,73.9287,-29.8851,-248.345,39.2112,-56.1576,11.0718,222.234,-58.0459,54.6379,6.95277e-310,-1632.86,8.48735e-315,2142.42,1.4822e-323,604.94,6.0979e-310,-3171.51,-47.893,-1647.22,-46.0384,2122.91,-46.9247,587.675,-48.34,-3184.28,236.491,188.598,-250.905,-296.944,-52.3667,-99.2914,435.045,386.705,
5.99187,5.88243,5.93062,6.02479,-200,0,0,10,10,-10,-10,-3.01478,-5.71294,10,10,0,-3135.31,0,-3014.92,0,-3067.93,0,-3171.52,-47.8934,-14.3605,-46.0384,-19.5056,-46.9245,-17.2652,-48.3401,-12.7763,73.9591,-29.8954,-248.376,39.19,-56.1889,11.0783,222.266,-58.0324,54.6508,6.95277e-310,-1633.81,8.48735e-315,2141.77,1.4822e-323,605.438,6.0979e-310,-3171.52,-47.8934,-1648.17,-46.0384,2122.26,-46.9245,588.173,-48.3401,-3184.3,236.614,188.721,-250.821,-296.859,-52.431,-99.3555,435.047,386.707,
5.99215,5.8823,5.93048,6.025,-200,0,0,10,10,-10,-10,-3.04025,-5.73827,10,10,0,-3135.61,0,-3014.78,0,-3067.77,0,-3171.75,-47.8973,-14.3473,-46.0358,-19.5116,-46.922,-17.272,-48.3427,-12.7665,74.3709,-30.0542,-249.079,39.044,-56.5359,11.1361,222.884,-58.0109,54.675,6.95277e-310,-1643.22,8.48735e-315,2134.73,1.4822e-323,608.868,6.0979e-310,-3171.75,-47.8973,-1657.56,-46.0358,2115.22,-46.922,591.596,-48.3427,-3184.51,237.828,189.93,-249.914,-295.949,-52.8739,-99.796,435.076,386.733,
5.9929,5.88181,5.93012,6.02588,-200,0,0,10,10,-10,-10,-3.08798,-5.78564,10,10,0,-3136.44,0,-3014.24,0,-3067.38,0,-3172.72,-47.9082,-14.3111,-46.0262,-19.5342,-46.9158,-17.2889,-48.354,-12.7236,75.3927,-30.4875,-251.565,38.8688,-57.6692,11.3295,225.354,-58.4199,54.3089,6.95277e-310,-1655.74,8.48735e-315,2110.92,1.4822e-323,615.294,6.0979e-310,-3172.72,-47.9082,-1670.05,-46.0262,2091.39,-46.9158,598.005,-48.354,-3185.44,239.445,191.537,-246.843,-292.869,-53.704,-100.62,435.202,386.848,
5.99287,5.88132,5.93005,6.02663,-200,0,0,10,10,-10,-10,-3.04085,-5.73844,10,10,0,-3136.4,0,-3013.7,0,-3067.3,0,-3173.54,-47.9076,-14.3128,-46.0166,-19.5569,-46.9146,-17.2923,-48.3635,-12.6876,75.2471,-30.5319,-253.164,39.3734,-58.1813,11.4254,227.429,-59.5442,53.2971,6.95277e-310,-1627.26,8.48735e-315,2098.49,1.4822e-323,608.94,6.0979e-310,-3173.54,-47.9076,-1641.58,-46.0166,2078.93,-46.9146,591.647,-48.3635,-3186.23,235.77,187.863,-245.241,-291.258,-52.8843,-99.7989,435.308,386.944,
