p,i,d,error,error_sum,prev_error,control_singal
750,105.5,80,0.268036,0.0407996,0.268036,202.41
750,105.5,80,0.267977,0.0410856,0.267977,200.938
750,105.5,80,0.267928,0.0413616,0.267928,201.456
750,105.5,80,0.267825,0.0416459,0.267825,197.491
750,105.5,80,0.267768,0.0419138,0.267768,200.709
750,105.5,80,0.267715,0.0421817,0.267715,201.014
750,105.5,80,0.267662,0.0425286,0.267662,201.991
750,105.5,80,0.267608,0.0429639,0.267608,202.543
750,105.5,80,0.267491,0.0432427,0.267491,196.263
750,105.5,80,0.267435,0.0435153,0.267435,200.737
750,105.5,80,0.267377,0.0438633,0.267377,201.595
750,105.5,80,0.267315,0.0441745,0.267315,200.853
750,105.5,80,0.267256,0.0445341,0.267256,201.678
750,105.5,80,0.267198,0.0448373,0.267198,201.03
750,105.5,80,0.267131,0.0451136,0.267131,199.885
750,105.5,80,0.267066,0.0454634,0.267066,201.157
750,105.5,80,0.267006,0.0457598,0.267006,200.751
750,105.5,80,0.266945,0.0460373,0.266945,200.387
750,105.5,80,0.266882,0.0463927,0.266882,201.249
750,105.5,80,0.266748,0.0467894,0.266748,197.822
750,105.5,80,0.266682,0.0470885,0.266682,200.226
750,105.5,80,0.266614,0.0473728,0.266614,199.884
750,105.5,80,0.266541,0.0476483,0.266541,199.234
750,105.5,80,0.266472,0.0479821,0.266472,200.541
750,105.5,80,0.266402,0.0482729,0.266402,199.728
750,105.5,80,0.266331,0.0485606,0.266331,199.618
750,105.5,80,0.266182,0.048832,0.266182,193.118
750,105.5,80,0.266108,0.0491153,0.266108,199.218
750,105.5,80,0.266034,0.0494597,0.266034,200.167
750,105.5,80,0.265954,0.0497595,0.265954,199.026
750,105.5,80,0.26588,0.0500257,0.26588,198.754
750,105.5,80,0.265803,0.0503699,0.265803,199.924
750,105.5,80,0.265726,0.050667,0.265726,199.142
750,105.5,80,0.265643,0.0510522,0.265643,200.015
750,105.5,80,0.265488,0.051359,0.265488,193.813
750,105.5,80,0.265409,0.0517354,0.265409,200.081
750,105.5,80,0.265331,0.0520106,0.265331,198.424
750,105.5,80,0.265168,0.052373,0.265168,194.862
750,105.5,80,0.265088,0.0526619,0.265088,198.504
750,105.5,80,0.265008,0.0530232,0.265008,199.706
750,105.5,80,0.264924,0.0533155,0.264924,198.181
750,105.5,80,0.264844,0.0535925,0.264844,198.194
750,105.5,80,0.264765,0.053862,0.264765,198.064
750,105.5,80,0.264611,0.0541536,0.264611,192.978
750,105.5,80,0.26453,0.0544864,0.26453,199.014
750,105.5,80,0.264456,0.0547937,0.264456,198.991
750,105.5,80,0.264384,0.0550583,0.264384,198.355
750,105.5,80,0.264315,0.0553418,0.264315,198.905
750,105.5,80,0.264246,0.055692,0.264246,199.895
750,105.5,80,0.264107,0.0560007,0.264107,194.502
750,105.5,80,0.264044,0.0563345,0.264044,199.977
750,105.5,80,0.263977,0.0567306,0.263977,200.394
750,105.5,80,0.263917,0.05702,0.263917,199.61
750,105.5,80,0.263806,0.057326,0.263806,196.203
750,105.5,80,0.263749,0.0576563,0.263749,200.264
750,105.5,80,0.263696,0.0579717,0.263696,200.358
750,105.5,80,0.263646,0.0583184,0.263646,200.839
750,105.5,80,0.263598,0.0586191,0.263598,200.519
750,105.5,80,0.263501,0.0589738,0.263501,198.083
750,105.5,80,0.263456,0.059284,0.263456,200.782
750,105.5,80,0.263412,0.0595484,0.263412,200.329
750,105.5,80,0.263368,0.0598925,0.263368,201.133
750,105.5,80,0.263323,0.060165,0.263323,200.381
750,105.5,80,0.263241,0.0604731,0.263241,198.234
750,105.5,80,0.263196,0.0608409,0.263196,201.199
750,105.5,80,0.263156,0.0611191,0.263156,200.845
750,105.5,80,0.263118,0.0613826,0.263118,200.715
750,105.5,80,0.263079,0.0617539,0.263079,201.656
750,105.5,80,0.263,0.0621237,0.263,199.288
750,105.5,80,0.262961,0.0625269,0.262961,201.806
750,105.5,80,0.26288,0.062829,0.26288,198.156
750,105.5,80,0.262838,0.0631988,0.262838,201.401
750,105.5,80,0.262799,0.0634883,0.262799,200.906
750,105.5,80,0.262719,0.0638779,0.262719,199.48
750,105.5,80,0.262677,0.0641615,0.262677,200.712
750,105.5,80,0.262638,0.0645135,0.262638,201.44
750,105.5,80,0.262599,0.0648659,0.262599,201.448
750,105.5,80,0.262575,0.0651717,0.262575,202.18
750,105.5,80,0.262531,0.0654415,0.262531,200.353
750,105.5,80,0.262449,0.0657239,0.262449,197.651
750,105.5,80,0.262407,0.0659866,0.262407,200.421
750,105.5,80,0.262362,0.0663225,0.262362,200.949
750,105.5,80,0.26232,0.0667098,0.26232,201.526
750,105.5,80,0.26228,0.0670136,0.26228,200.983
750,105.5,80,0.262195,0.0672927,0.262195,197.424
750,105.5,80,0.262153,0.0676308,0.262153,201.136
750,105.5,80,0.26211,0.0679202,0.26211,200.638
750,105.5,80,0.262064,0.0682908,0.262064,201.107
750,105.5,80,0.262018,0.0685662,0.262018,200.287
750,105.5,80,0.261973,0.0688561,0.261973,200.5
750,105.5,80,0.261881,0.0692064,0.261881,198.207
750,105.5,80,0.261829,0.069513,0.261829,200.159
750,105.5,80,0.261781,0.0698316,0.261781,200.506
750,105.5,80,0.261732,0.0701328,0.261732,200.307
750,105.5,80,0.261683,0.0704157,0.261683,200.076
750,105.5,80,0.26158,0.0707067,0.26158,196.229
750,105.5,80,0.26153,0.0709684,0.26153,199.663
750,105.5,80,0.26148,0.0713146,0.26148,200.587
750,105.5,80,0.261426,0.0715983,0.261426,199.634
750,105.5,80,0.261374,0.071919,0.261374,200.256
750,105.5,80,0.261324,0.0722161,0.261324,200.095
750,105.5,80,0.261274,0.0724813,0.261274,199.66
750,105.5,80,0.26122,0.0727432,0.26122,199.266
750,105.5,80,0.261116,0.0731147,0.261116,197.715
750,105.5,80,0.261064,0.0734057,0.261064,199.782
750,105.5,80,0.261008,0.0736707,0.261008,199.097
750,105.5,80,0.260954,0.0739407,0.260954,199.389
750,105.5,80,0.2609,0.0742967,0.2609,200.309
750,105.5,80,0.26084,0.0745673,0.26084,198.92
750,105.5,80,0.260727,0.0748548,0.260727,195.238
750,105.5,80,0.260669,0.0751319,0.260669,199.038
750,105.5,80,0.260606,0.075482,0.260606,199.653
750,105.5,80,0.260546,0.0758619,0.260546,200.138
750,105.5,80,0.260425,0.0762523,0.260425,196.896
750,105.5,80,0.260358,0.0765484,0.260358,198.672
750,105.5,80,0.260297,0.0768963,0.260297,199.659
750,105.5,80,0.260235,0.0771817,0.260235,198.842
750,105.5,80,0.260111,0.0775577,0.260111,196.371
750,105.5,80,0.260042,0.0779342,0.260042,199.467
750,105.5,80,0.259913,0.0782441,0.259913,194.525
750,105.5,80,0.259843,0.0785041,0.259843,197.521
750,105.5,80,0.259776,0.0788363,0.259776,198.998
750,105.5,80,0.259709,0.0791259,0.259709,198.322
750,105.5,80,0.259642,0.0794005,0.259642,198.059
750,105.5,80,0.259576,0.0797444,0.259576,199.063
750,105.5,80,0.259503,0.0800196,0.259503,197.608
750,105.5,80,0.259436,0.0802826,0.259436,197.768
750,105.5,80,0.259302,0.0805734,0.259302,193.37
750,105.5,80,0.259227,0.0808415,0.259227,197.182
750,105.5,80,0.259158,0.0811941,0.259158,198.858
750,105.5,80,0.259089,0.0814782,0.259089,197.876
750,105.5,80,0.259018,0.081838,0.259018,198.846
750,105.5,80,0.258942,0.0821121,0.258942,197.085
750,105.5,80,0.258801,0.0823909,0.258801,192.298
750,105.5,80,0.25873,0.0827209,0.25873,198.354
750,105.5,80,0.25866,0.0830233,0.25866,197.989
750,105.5,80,0.258585,0.0832821,0.258585,196.72
750,105.5,80,0.258518,0.0836196,0.258518,198.595
750,105.5,80,0.258447,0.083911,0.258447,197.601
750,105.5,80,0.258308,0.0842747,0.258308,194.744
750,105.5,80,0.258236,0.0845633,0.258236,197.459
750,105.5,80,0.258169,0.0848336,0.258169,197.473
750,105.5,80,0.258103,0.0850917,0.258103,197.213
