p,i,d,error,error_sum,prev_error,control_singal
550,85.5,80,-0.106397,-0.000106397,-0.106397,1941.47
550,85.5,80,-0.106399,-0.000231485,-0.106399,-58.6478
550,85.5,80,-0.106399,-0.00033801,-0.106399,-58.599
550,85.5,80,-0.1064,-0.000450368,-0.1064,-58.5677
550,85.5,80,-0.106399,-0.000561515,-0.106399,-58.4998
550,85.5,80,-0.106398,-0.000698134,-0.106398,-58.5153
550,85.5,80,-0.106394,-0.000824285,-0.106394,-58.3433
550,85.5,80,-0.106391,-0.000933589,-0.106391,-58.3698
550,85.5,80,-0.106387,-0.00107239,-0.106387,-58.3316
550,85.5,80,-0.106382,-0.00119147,-0.106382,-58.2385
550,85.5,80,-0.106375,-0.001335,-0.106375,-58.2622
550,85.5,80,-0.106368,-0.00145088,-0.106368,-58.1115
550,85.5,80,-0.106352,-0.00156394,-0.106352,-57.3928
550,85.5,80,-0.106344,-0.00167277,-0.106344,-57.991
550,85.5,80,-0.106336,-0.00180796,-0.106336,-58.1267
550,85.5,80,-0.106328,-0.00193877,-0.106328,-58.1221
550,85.5,80,-0.10632,-0.00205605,-0.10632,-58.1193
550,85.5,80,-0.106313,-0.00216244,-0.106313,-58.1022
550,85.5,80,-0.106306,-0.00229875,-0.106306,-58.2346
550,85.5,80,-0.106293,-0.00241352,-0.106293,-57.6495
550,85.5,80,-0.106286,-0.00255083,-0.106286,-58.2598
550,85.5,80,-0.106279,-0.00267511,-0.106279,-58.2324
550,85.5,80,-0.106272,-0.00278901,-0.106272,-58.1213
550,85.5,80,-0.106264,-0.0028954,-0.106264,-58.0707
550,85.5,80,-0.106256,-0.00304353,-0.106256,-58.2161
550,85.5,80,-0.106237,-0.00315907,-0.106237,-57.3292
550,85.5,80,-0.106227,-0.00329375,-0.106227,-58.0472
550,85.5,80,-0.106216,-0.00341072,-0.106216,-57.9582
550,85.5,80,-0.106205,-0.00356529,-0.106205,-58.1286
550,85.5,80,-0.106195,-0.00368124,-0.106195,-57.9562
550,85.5,80,-0.106173,-0.00379866,-0.106173,-57.1217
550,85.5,80,-0.106162,-0.00390485,-0.106162,-57.8457
550,85.5,80,-0.10615,-0.00404917,-0.10615,-58.038
550,85.5,80,-0.106139,-0.00416135,-0.106139,-57.8508
550,85.5,80,-0.106127,-0.0042711,-0.106127,-57.815
550,85.5,80,-0.106125,-0.00438427,-0.106125,-58.6282
550,85.5,80,-0.106113,-0.00451927,-0.106113,-57.9965
550,85.5,80,-0.106102,-0.00463461,-0.106102,-57.9565
550,85.5,80,-0.106082,-0.00475022,-0.106082,-57.2321
550,85.5,80,-0.10607,-0.00485762,-0.10607,-57.8292
550,85.5,80,-0.106059,-0.00499533,-0.106059,-58.0631
550,85.5,80,-0.106046,-0.00511105,-0.106046,-57.8447
550,85.5,80,-0.106033,-0.00526515,-0.106033,-58.0231
550,85.5,80,-0.106002,-0.00538381,-0.106002,-56.5693
550,85.5,80,-0.105986,-0.0054962,-0.105986,-57.5634
550,85.5,80,-0.10597,-0.00563121,-0.10597,-57.7309
550,85.5,80,-0.10595,-0.0057441,-0.10595,-57.294
550,85.5,80,-0.105931,-0.00590168,-0.105931,-57.7619
550,85.5,80,-0.105893,-0.00604745,-0.105893,-56.532
550,85.5,80,-0.105873,-0.00617146,-0.105873,-57.3957
550,85.5,80,-0.105851,-0.0062835,-0.105851,-57.1027
550,85.5,80,-0.105831,-0.00642278,-0.105831,-57.528
550,85.5,80,-0.105817,-0.00654233,-0.105817,-57.7777
550,85.5,80,-0.105765,-0.0066511,-0.105765,-54.6531
550,85.5,80,-0.105741,-0.00679158,-0.105741,-57.3253
550,85.5,80,-0.105717,-0.00690756,-0.105717,-56.9755
550,85.5,80,-0.105691,-0.00702834,-0.105691,-56.8813
550,85.5,80,-0.105666,-0.00713448,-0.105666,-56.747
550,85.5,80,-0.10564,-0.00727342,-0.10564,-57.181
550,85.5,80,-0.105592,-0.0074201,-0.105592,-55.9009
550,85.5,80,-0.105555,-0.00754284,-0.105555,-56.1999
550,85.5,80,-0.10553,-0.00765865,-0.10553,-56.8502
