p,i,d,error,error_sum,prev_error,control_singal
550,85.5,80,0.258694,0.000258694,0.258694,-1857.7
550,85.5,80,0.25869,0.000562822,0.25869,142.091
550,85.5,80,0.25869,0.000821818,0.25869,142.35
550,85.5,80,0.258687,0.00109499,0.258687,142.105
550,85.5,80,0.258685,0.00136522,0.258685,142.254
550,85.5,80,0.258683,0.00169738,0.258683,142.296
550,85.5,80,0.258681,0.0020041,0.258681,142.307
550,85.5,80,0.258679,0.00226986,0.258679,142.288
550,85.5,80,0.258677,0.00260734,0.258677,142.388
550,85.5,80,0.258674,0.0028969,0.258674,142.31
550,85.5,80,0.258673,0.00324592,0.258673,142.479
550,85.5,80,0.258672,0.00352772,0.258672,142.491
550,85.5,80,0.258671,0.00380272,0.258671,142.531
550,85.5,80,0.25867,0.00406742,0.25867,142.556
550,85.5,80,0.258669,0.00439629,0.258669,142.6
550,85.5,80,0.258668,0.00471452,0.258668,142.589
550,85.5,80,0.258667,0.00499985,0.258667,142.634
550,85.5,80,0.258667,0.0052587,0.258667,142.65
550,85.5,80,0.258666,0.00559037,0.258666,142.697
550,85.5,80,0.258665,0.00586966,0.258665,142.708
550,85.5,80,0.258664,0.00620382,0.258664,142.755
550,85.5,80,0.258663,0.00650631,0.258663,142.761
550,85.5,80,0.25866,0.00678354,0.25866,142.57
550,85.5,80,0.258657,0.0070425,0.258657,142.62
550,85.5,80,0.258652,0.00740309,0.258652,142.632
550,85.5,80,0.258647,0.00768437,0.258647,142.539
550,85.5,80,0.258641,0.00801228,0.258641,142.573
550,85.5,80,0.25863,0.0082971,0.25863,142.121
550,85.5,80,0.258624,0.00867351,0.258624,142.658
550,85.5,80,0.258618,0.00895588,0.258618,142.548
550,85.5,80,0.25861,0.00924189,0.25861,142.496
550,85.5,80,0.258603,0.00950056,0.258603,142.469
550,85.5,80,0.258596,0.00985213,0.258596,142.64
550,85.5,80,0.258577,0.0101254,0.258577,141.694
550,85.5,80,0.258577,0.0103928,0.258577,143.106
550,85.5,80,0.258559,0.0106686,0.258559,141.748
550,85.5,80,0.258549,0.0109975,0.258549,142.521
550,85.5,80,0.258539,0.0112785,0.258539,142.398
550,85.5,80,0.258527,0.0115603,0.258527,142.294
550,85.5,80,0.258516,0.0118221,0.258516,142.298
550,85.5,80,0.258504,0.0121577,0.258504,142.521
550,85.5,80,0.258493,0.0124398,0.258493,142.412
550,85.5,80,0.258469,0.0128154,0.258469,141.932
550,85.5,80,0.258457,0.0131047,0.258457,142.403
550,85.5,80,0.258444,0.0133788,0.258444,142.333
550,85.5,80,0.258431,0.0137081,0.258431,142.486
550,85.5,80,0.258401,0.0139834,0.258401,141.081
550,85.5,80,0.258385,0.0143677,0.258385,142.445
550,85.5,80,0.258365,0.0147234,0.258365,142.244
550,85.5,80,0.258328,0.015026,0.258328,140.821
550,85.5,80,0.258289,0.0152994,0.258289,140.381
550,85.5,80,0.258266,0.0156393,0.258266,141.995
550,85.5,80,0.258245,0.015931,0.258245,141.9
550,85.5,80,0.258224,0.0161966,0.258224,141.762
550,85.5,80,0.258203,0.0165396,0.258203,142.163
550,85.5,80,0.258181,0.0168229,0.258181,141.88
550,85.5,80,0.258136,0.0171179,0.258136,140.265
550,85.5,80,0.258115,0.0173771,0.258115,141.744
550,85.5,80,0.258093,0.0177166,0.258093,142.139
550,85.5,80,0.258069,0.0180751,0.258069,142.103
550,85.5,80,0.258046,0.0183751,0.258046,141.941
550,85.5,80,0.257996,0.0186582,0.257996,139.817
550,85.5,80,0.257971,0.0189908,0.257971,141.954
550,85.5,80,0.257946,0.0192803,0.257946,141.743
550,85.5,80,0.257921,0.0196354,0.257921,142.115
550,85.5,80,0.257896,0.0199204,0.257896,141.698
550,85.5,80,0.257839,0.0202981,0.257839,140.463
550,85.5,80,0.257812,0.0205902,0.257812,141.658
550,85.5,80,0.257785,0.0209541,0.257785,142.028
550,85.5,80,0.257727,0.0212609,0.257727,139.67
550,85.5,80,0.2577,0.0215967,0.2577,141.925
550,85.5,80,0.25767,0.0219532,0.25767,141.865
550,85.5,80,0.257611,0.022341,0.257611,140.446
550,85.5,80,0.257585,0.0226371,0.257585,141.81
550,85.5,80,0.257557,0.0229924,0.257557,141.966
550,85.5,80,0.257505,0.0232925,0.257505,140.049
550,85.5,80,0.257474,0.0236532,0.257474,141.872
550,85.5,80,0.257402,0.0240633,0.257402,140.02
550,85.5,80,0.257362,0.0244212,0.257362,141.36
550,85.5,80,0.257336,0.0247056,0.257336,141.753
550,85.5,80,0.257307,0.0250725,0.257307,142.055
550,85.5,80,0.257246,0.0254286,0.257246,140.108
550,85.5,80,0.257219,0.0258081,0.257219,142.237
550,85.5,80,0.257196,0.0261177,0.257196,142.131
550,85.5,80,0.257133,0.0264908,0.257133,140.232
550,85.5,80,0.257109,0.0268285,0.257109,142.254
550,85.5,80,0.25704,0.0271499,0.25704,139.268
550,85.5,80,0.257009,0.0275055,0.257009,141.906
550,85.5,80,0.256939,0.0279984,0.256939,140.788
550,85.5,80,0.256899,0.0283129,0.256899,141.111
550,85.5,80,0.256862,0.0286766,0.256862,141.612
550,85.5,80,0.256786,0.029042,0.256786,139.434
550,85.5,80,0.256745,0.0294363,0.256745,141.618
550,85.5,80,0.256672,0.0297969,0.256672,139.545
550,85.5,80,0.256635,0.0300992,0.256635,141.201
550,85.5,80,0.256628,0.0304358,0.256628,143.31
550,85.5,80,0.256542,0.0307658,0.256542,138.427
550,85.5,80,0.256502,0.0311004,0.256502,141.247
550,85.5,80,0.25646,0.0314762,0.25646,141.457
550,85.5,80,0.256374,0.0318387,0.256374,138.842
550,85.5,80,0.256329,0.0321581,0.256329,140.896
550,85.5,80,0.256282,0.032501,0.256282,140.919
550,85.5,80,0.25618,0.0328797,0.25618,138.196
550,85.5,80,0.256131,0.033166,0.256131,140.185
550,85.5,80,0.256079,0.0335247,0.256079,140.718
550,85.5,80,0.255973,0.0338327,0.255973,136.645
550,85.5,80,0.255915,0.0341694,0.255915,140.15
550,85.5,80,0.255857,0.0344546,0.255857,139.503
550,85.5,80,0.2558,0.0348027,0.2558,140.288
550,85.5,80,0.255678,0.0350945,0.255678,135.085
550,85.5,80,0.255618,0.0354445,0.255618,140.105
550,85.5,80,0.255556,0.0358243,0.255556,140.277
550,85.5,80,0.255432,0.0362159,0.255432,137.146
550,85.5,80,0.255373,0.036496,0.255373,139.286
550,85.5,80,0.255311,0.0368665,0.255311,140.13
550,85.5,80,0.255186,0.0372289,0.255186,136.476
550,85.5,80,0.255117,0.0376194,0.255117,139.94
550,85.5,80,0.254982,0.0379717,0.254982,135.698
550,85.5,80,0.254911,0.0383718,0.254911,139.818
550,85.5,80,0.254774,0.0387441,0.254774,135.988
550,85.5,80,0.254703,0.0391238,0.254703,139.595
550,85.5,80,0.254646,0.0394134,0.254646,139.4
550,85.5,80,0.254483,0.0397463,0.254483,133.407
550,85.5,80,0.254409,0.0400319,0.254409,138.112
550,85.5,80,0.254337,0.0403023,0.254337,137.845
550,85.5,80,0.254258,0.0406445,0.254258,138.639
550,85.5,80,0.254105,0.0409389,0.254105,132.725
550,85.5,80,0.254029,0.0411963,0.254029,137.175
550,85.5,80,0.253946,0.0415438,0.253946,138.423
550,85.5,80,0.253865,0.0418263,0.253865,137.322
550,85.5,80,0.253784,0.0421935,0.253784,138.716
550,85.5,80,0.253624,0.0424656,0.253624,131.205
550,85.5,80,0.253537,0.042819,0.253537,138.112
550,85.5,80,0.253457,0.0431811,0.253457,138.637
550,85.5,80,0.253297,0.0434856,0.253297,132.342
550,85.5,80,0.25321,0.0438323,0.25321,137.919
550,85.5,80,0.253125,0.0441984,0.253125,138.315
550,85.5,80,0.252959,0.0444991,0.252959,131.779
550,85.5,80,0.252874,0.0448531,0.252874,138.063
550,85.5,80,0.25278,0.0452329,0.25278,137.894
550,85.5,80,0.252603,0.0456027,0.252603,133.118
550,85.5,80,0.252513,0.0459541,0.252513,137.646
550,85.5,80,0.252418,0.0462428,0.252418,136.192
550,85.5,80,0.252241,0.0465173,0.252241,129.703
550,85.5,80,0.252143,0.0468638,0.252143,136.957
550,85.5,80,0.252053,0.047133,0.252053,135.882
550,85.5,80,0.251961,0.0474596,0.251961,137.009
550,85.5,80,0.251871,0.0477444,0.251871,136.224
550,85.5,80,0.251678,0.0481027,0.251678,131.669
550,85.5,80,0.251585,0.0483937,0.251585,136.113
550,85.5,80,0.251494,0.0487552,0.251494,137.431
550,85.5,80,0.251327,0.0490342,0.251327,130.37
550,85.5,80,0.251234,0.0493717,0.251234,136.868
550,85.5,80,0.251142,0.0497387,0.251142,137.33
550,85.5,80,0.250945,0.0500322,0.250945,128.847
550,85.5,80,0.250851,0.0503767,0.250851,136.779
550,85.5,80,0.250683,0.0507726,0.250683,133.71
550,85.5,80,0.250557,0.051119,0.250557,134.888
550,85.5,80,0.25046,0.0514266,0.25046,135.858
550,85.5,80,0.250365,0.0517533,0.250365,136.262
550,85.5,80,0.25016,0.052129,0.25016,131.119
550,85.5,80,0.25006,0.0524907,0.25006,136.518
550,85.5,80,0.249853,0.0527895,0.249853,128.101
550,85.5,80,0.249754,0.0531335,0.249754,136.131
550,85.5,80,0.249654,0.0534884,0.249654,136.276
550,85.5,80,0.249444,0.0537807,0.249444,127.436
550,85.5,80,0.249342,0.0541224,0.249342,135.828
550,85.5,80,0.24924,0.054485,0.24924,136.131
550,85.5,80,0.249028,0.0548652,0.249028,130.504
550,85.5,80,0.248925,0.0551433,0.248925,134.243
550,85.5,80,0.248822,0.0554913,0.248822,135.749
550,85.5,80,0.248621,0.0558496,0.248621,130.318
550,85.5,80,0.248409,0.0562614,0.248409,131.222
550,85.5,80,0.248309,0.0565953,0.248309,135.488
550,85.5,80,0.248206,0.0568929,0.248206,134.487
550,85.5,80,0.248098,0.0572441,0.248098,135.244
550,85.5,80,0.247898,0.0576121,0.247898,130.487
550,85.5,80,0.247795,0.0579699,0.247795,135.559
550,85.5,80,0.24759,0.0583371,0.24759,130.105
550,85.5,80,0.247493,0.0586212,0.247493,134.349
550,85.5,80,0.247395,0.0589669,0.247395,135.488
550,85.5,80,0.247191,0.0592385,0.247191,126.173
550,85.5,80,0.247096,0.0595791,0.247096,135.482
550,85.5,80,0.247,0.0599561,0.247,135.975
550,85.5,80,0.246803,0.0603027,0.246803,129.641
550,85.5,80,0.246709,0.0605874,0.246709,134.347
550,85.5,80,0.246617,0.0609327,0.246617,135.625
550,85.5,80,0.246433,0.0612034,0.246433,127.329
550,85.5,80,0.246337,0.0615425,0.246337,135.155
550,85.5,80,0.246248,0.061903,0.246248,135.892
550,85.5,80,0.246068,0.0621904,0.246068,128.312
550,85.5,80,0.245974,0.0625134,0.245974,134.889
550,85.5,80,0.245886,0.0628821,0.245886,135.918
550,85.5,80,0.24571,0.063176,0.24571,128.828
550,85.5,80,0.245616,0.0635274,0.245616,135.261
550,85.5,80,0.245529,0.0638733,0.245529,135.568
550,85.5,80,0.245351,0.0642304,0.245351,130.646
550,85.5,80,0.245256,0.0645353,0.245256,134.303
550,85.5,80,0.245168,0.0648779,0.245168,135.307
550,85.5,80,0.244989,0.0652108,0.244989,129.784
550,85.5,80,0.244893,0.0655721,0.244893,135.125
550,85.5,80,0.244804,0.0658353,0.244804,133.651
550,85.5,80,0.244626,0.0661146,0.244626,127.703
550,85.5,80,0.244534,0.0664545,0.244534,134.883
550,85.5,80,0.244445,0.066825,0.244445,135.452
550,85.5,80,0.244265,0.0670921,0.244265,126.927
550,85.5,80,0.244172,0.0674279,0.244172,134.63
550,85.5,80,0.244084,0.0677049,0.244084,133.845
550,85.5,80,0.243994,0.0680585,0.243994,135.071
550,85.5,80,0.243812,0.0683308,0.243812,126.87
550,85.5,80,0.243725,0.0686486,0.243725,134.616
550,85.5,80,0.243638,0.068985,0.243638,134.812
550,85.5,80,0.243463,0.0692868,0.243463,128.524
550,85.5,80,0.243369,0.0695454,0.243369,132.724
550,85.5,80,0.24328,0.0698756,0.24328,134.555
550,85.5,80,0.243194,0.0702135,0.243194,134.782
550,85.5,80,0.242997,0.0705981,0.242997,129.747
550,85.5,80,0.242911,0.0709563,0.242911,135.021
550,85.5,80,0.24273,0.0713,0.24273,129.358
550,85.5,80,0.242644,0.0715837,0.242644,133.669
550,85.5,80,0.242558,0.0719306,0.242558,134.784
550,85.5,80,0.242382,0.0722118,0.242382,127.298
550,85.5,80,0.242288,0.0725323,0.242288,133.81
550,85.5,80,0.242201,0.0728048,0.242201,133.2
550,85.5,80,0.242113,0.0731484,0.242113,134.475
550,85.5,80,0.241931,0.0734843,0.241931,128.858
550,85.5,80,0.241829,0.0738396,0.241829,133.789
550,85.5,80,0.241646,0.0742012,0.241646,129.424
550,85.5,80,0.241559,0.0746015,0.241559,135.078
550,85.5,80,0.241385,0.074865,0.241385,126.401
550,85.5,80,0.241291,0.075189,0.241291,133.548
550,85.5,80,0.241208,0.075533,0.241208,134.422
550,85.5,80,0.24104,0.0758228,0.24104,127.866
550,85.5,80,0.240949,0.0761413,0.240949,133.533
550,85.5,80,0.240866,0.0764112,0.240866,133.122
550,85.5,80,0.240783,0.0767373,0.240783,134.059
550,85.5,80,0.24061,0.077027,0.24061,127.452
550,85.5,80,0.24053,0.0773549,0.24053,134.203
