p,i,d,error,error_sum,prev_error,control_singal
750,105.5,80,-0.0531227,-5.31227e-05,-0.0531227,1960.15
750,105.5,80,-0.0530964,-0.000123544,-0.0530964,-38.2477
750,105.5,80,-0.0530848,-0.000179958,-0.0530848,-38.9584
750,105.5,80,-0.0530734,-0.000235192,-0.0530734,-38.9546
750,105.5,80,-0.0530617,-0.000290521,-0.0530617,-38.9274
750,105.5,80,-0.0530504,-0.000343616,-0.0530504,-38.9259
750,105.5,80,-0.0530387,-0.000402303,-0.0530387,-38.9699
750,105.5,80,-0.0530258,-0.000458725,-0.0530258,-38.8511
750,105.5,80,-0.053012,-0.000515998,-0.053012,-38.7911
750,105.5,80,-0.0529963,-0.000569594,-0.0529963,-38.5633
750,105.5,80,-0.0529813,-0.000623118,-0.0529813,-38.6152
750,105.5,80,-0.052966,-0.000691447,-0.052966,-38.8506
750,105.5,80,-0.0529315,-0.000748984,-0.0529315,-37.2366
750,105.5,80,-0.0529131,-0.000809835,-0.0529131,-38.4939
750,105.5,80,-0.052894,-0.000865913,-0.052894,-38.3147
750,105.5,80,-0.0528733,-0.000918823,-0.0528733,-38.0994
750,105.5,80,-0.0528538,-0.000972585,-0.0528538,-38.2093
750,105.5,80,-0.0528346,-0.00102546,-0.0528346,-38.1995
750,105.5,80,-0.0528152,-0.0010805,-0.0528152,-38.2358
750,105.5,80,-0.0527954,-0.00113368,-0.0527954,-38.1406
750,105.5,80,-0.0527738,-0.00118647,-0.0527738,-37.9852
750,105.5,80,-0.0527527,-0.00123943,-0.0527527,-38.0075
750,105.5,80,-0.0527316,-0.00129766,-0.0527316,-38.1595
750,105.5,80,-0.0527107,-0.00135179,-0.0527107,-38.0481
750,105.5,80,-0.052688,-0.00140936,-0.052688,-38.0049
750,105.5,80,-0.052665,-0.00146206,-0.052665,-37.8075
750,105.5,80,-0.0526408,-0.00153478,-0.0526408,-38.2421
750,105.5,80,-0.0525884,-0.00159403,-0.0525884,-35.889
750,105.5,80,-0.0525624,-0.00165861,-0.0525624,-37.9056
750,105.5,80,-0.0525356,-0.00171118,-0.0525356,-37.4383
750,105.5,80,-0.0525091,-0.00176401,-0.0525091,-37.4625
750,105.5,80,-0.052482,-0.00181654,-0.052482,-37.3865
750,105.5,80,-0.0524528,-0.00187035,-0.0524528,-37.2578
750,105.5,80,-0.0524237,-0.00192346,-0.0524237,-37.2269
