dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.75,0.63503,0.960998,-40.2446,73.8589,15.8683,-1.40981,0,-56.9568,12.4942,0,-34.4213,20.2673,-0.875806,47.2781,-56.5512,13.901,
0.75,0.634965,0.960989,-43.0109,73.484,16.959,-1.50859,0,-56.6681,12.4322,0,-36.7827,21.6657,-0.937338,47.0376,-56.2647,13.8305,
0.75,0.634934,0.960983,-41.4147,73.6819,16.3297,-1.45354,0,-56.8209,12.4666,0,-35.4156,20.8649,-0.903282,47.1639,-56.4165,13.8678,
0.75,0.634873,0.960979,-43.0021,73.7136,16.9557,-1.51123,0,-56.8455,12.4728,0,-36.7687,21.6694,-0.939112,47.1839,-56.4411,13.8738,
0.75,0.63484,0.960974,-41.8536,73.6275,16.5029,-1.4716,0,-56.7794,12.4591,0,-35.7843,21.0933,-0.914687,47.1287,-56.3753,13.8576,
0.75,0.634809,0.960969,-41.9138,73.6673,16.5266,-1.47453,0,-56.8103,12.4667,0,-35.8336,21.126,-0.916609,47.154,-56.406,13.8651,
0.75,0.634778,0.960959,-41.5313,73.5421,16.3759,-1.46198,0,-56.7142,12.4474,0,-35.5044,20.9355,-0.908829,47.0736,-56.3104,13.8416,
0.75,0.634746,0.960954,-41.9518,73.6711,16.5418,-1.47781,0,-56.8139,12.4701,0,-35.8617,21.1501,-0.918671,47.1561,-56.4092,13.8658,
0.75,0.634718,0.96095,-41.3895,73.784,16.3204,-1.45899,0,-56.9013,12.4901,0,-35.379,20.8688,-0.906903,47.2285,-56.4957,13.8871,
0.75,0.634669,0.960946,-42.5675,73.7743,16.786,-1.503,0,-56.8941,12.4893,0,-36.3825,21.4666,-0.933685,47.2222,-56.4882,13.8853,
0.75,0.634647,0.960943,-41.4125,73.8106,16.3312,-1.46339,0,-56.9224,12.4963,0,-35.3938,20.8859,-0.908786,47.2455,-56.5161,13.8921,
0.75,0.634624,0.960937,-41.3243,73.7578,16.2973,-1.4613,0,-56.8822,12.4894,0,-35.3169,20.8433,-0.907315,47.2117,-56.4757,13.8822,
0.75,0.634604,0.960934,-41.253,73.8725,16.27,-1.45989,0,-56.9711,12.5099,0,-35.2545,20.809,-0.906162,47.2852,-56.5635,13.9038,
0.75,0.634584,0.960932,-41.3549,73.88,16.3111,-1.46471,0,-56.9774,12.5122,0,-35.3403,20.8622,-0.908822,47.2901,-56.5692,13.9052,
0.75,0.634543,0.96093,-42.4361,73.8818,16.7392,-1.50551,0,-56.9793,12.5135,0,-36.2614,21.4114,-0.93348,47.2913,-56.5705,13.9055,
0.75,0.634524,0.960927,-41.4393,73.8865,16.3468,-1.47129,0,-56.9837,12.5153,0,-35.4083,20.9101,-0.911956,47.2945,-56.5741,13.9064,
0.75,0.634505,0.960923,-41.1685,73.8789,16.241,-1.46293,0,-56.9791,12.516,0,-35.1758,20.775,-0.906361,47.2898,-56.5681,13.905,
0.75,0.634486,0.960922,-41.2939,73.9799,16.2916,-1.46882,0,-57.0575,12.534,0,-35.2819,20.8397,-0.909464,47.3546,-56.6454,13.924,
0.75,0.634466,0.960921,-41.4183,74,16.3418,-1.47457,0,-57.0732,12.5383,0,-35.387,20.9041,-0.912581,47.3675,-56.6606,13.9278,
0.75,0.634429,0.96092,-42.2532,74.0022,16.6731,-1.50692,0,-57.0752,12.5395,0,-36.098,21.3283,-0.931677,47.3691,-56.6622,13.9282,
0.75,0.634412,0.960919,-41.3615,74.0219,16.3221,-1.47652,0,-57.0907,12.5438,0,-35.3352,20.8796,-0.912343,47.3818,-56.6772,13.9319,
0.75,0.634395,0.960918,-41.3139,74.0329,16.3044,-1.47638,0,-57.0995,12.5465,0,-35.2936,20.8568,-0.911598,47.3891,-56.6856,13.9339,
0.75,0.634377,0.960917,-41.2797,74.0191,16.2919,-1.47654,0,-57.0895,12.5461,0,-35.2633,20.8409,-0.911165,47.3805,-56.6748,13.9313,
0.75,0.634361,0.960916,-41.2896,74.0647,16.2969,-1.47838,0,-57.125,12.5546,0,-35.2707,20.8471,-0.911685,47.4098,-56.7096,13.9399,
0.75,0.634325,0.960915,-42.1212,74.0808,16.6271,-1.51124,0,-57.1377,12.5582,0,-35.9788,21.2698,-0.930732,47.4202,-56.7218,13.9429,
0.75,0.634308,0.960914,-41.2766,74.0634,16.2946,-1.48236,0,-57.1248,12.5571,0,-35.2563,20.8446,-0.912389,47.4095,-56.7083,13.9396,
0.75,0.634292,0.960913,-41.4261,74.1097,16.3545,-1.4892,0,-57.1607,12.5659,0,-35.383,20.9214,-0.916005,47.4392,-56.7436,13.9483,
0.75,0.634275,0.960913,-41.3516,74.1168,16.326,-1.48797,0,-57.1664,12.5681,0,-35.3183,20.885,-0.914669,47.4439,-56.749,13.9497,
0.75,0.63424,0.960912,-42.1095,74.1265,16.6272,-1.5184,0,-57.174,12.5708,0,-35.9633,21.2706,-0.932109,47.4501,-56.7563,13.9515,
0.75,0.634223,0.960911,-41.4672,74.123,16.3746,-1.49683,0,-57.1716,12.5711,0,-35.4137,20.9474,-0.918216,47.4481,-56.7535,13.9508,
0.75,0.634207,0.960909,-41.3084,74.1115,16.3128,-1.49285,0,-57.1634,12.571,0,-35.277,20.8685,-0.91501,47.4411,-56.7445,13.9486,
0.75,0.634191,0.960908,-41.4625,74.1331,16.3746,-1.50002,0,-57.1805,12.5757,0,-35.4075,20.9475,-0.91872,47.455,-56.7608,13.9527,
0.75,0.634175,0.960907,-41.3828,74.1488,16.3441,-1.49873,0,-57.1931,12.5792,0,-35.3384,20.9086,-0.917283,47.4653,-56.7727,13.9556,
0.75,0.63416,0.960906,-41.4489,74.153,16.3712,-1.50271,0,-57.1968,12.5809,0,-35.3938,20.9432,-0.919049,47.4682,-56.7757,13.9564,
0.75,0.634131,0.960905,-42.138,74.1552,16.6455,-1.53116,0,-57.1991,12.5822,0,-35.9802,21.2939,-0.93494,47.4699,-56.7771,13.9568,
0.75,0.634117,0.960904,-41.5019,74.1718,16.3953,-1.50973,0,-57.2124,12.5859,0,-35.4361,20.9737,-0.921135,47.4808,-56.7896,13.9599,
0.75,0.634104,0.960904,-41.3822,74.2399,16.3492,-1.50705,0,-57.2648,12.5985,0,-35.333,20.9143,-0.918739,47.5247,-56.8416,13.9727,
0.75,0.634091,0.960902,-41.3646,74.191,16.3433,-1.50812,0,-57.2276,12.5913,0,-35.3171,20.9065,-0.918608,47.4938,-56.8038,13.9635,
0.75,0.634078,0.9609,-41.3548,74.1695,16.3406,-1.50947,0,-57.2121,12.5898,0,-35.3079,20.9027,-0.918653,47.4807,-56.7868,13.9594,
0.75,0.634063,0.960899,-41.534,74.2096,16.4124,-1.51758,0,-57.2436,12.5977,0,-35.46,20.9945,-0.922937,47.5068,-56.8171,13.9669,
0.75,0.63405,0.960898,-41.3774,74.2387,16.3515,-1.51337,0,-57.2665,12.6039,0,-35.3253,20.9164,-0.919729,47.5259,-56.839,13.9723,
0.75,0.634037,0.960897,-41.4447,74.2481,16.3791,-1.51741,0,-57.2743,12.6068,0,-35.3819,20.9515,-0.921485,47.5324,-56.8458,13.9741,
0.75,0.634009,0.960896,-42.1035,74.264,16.6416,-1.54491,0,-57.287,12.6108,0,-35.9425,21.2869,-0.936694,47.5432,-56.8576,13.977,
0.75,0.634,0.960896,-41.3474,74.2763,16.3438,-1.51886,0,-57.297,12.614,0,-35.2964,20.9054,-0.920063,47.5515,-56.8666,13.9793,
0.75,0.633987,0.960895,-41.4672,74.2946,16.3922,-1.52497,0,-57.3115,12.6183,0,-35.3978,20.967,-0.922977,47.5638,-56.8802,13.9827,
0.75,0.633975,0.960895,-41.3621,74.3144,16.3518,-1.52274,0,-57.3271,12.6228,0,-35.3073,20.9149,-0.920898,47.577,-56.8949,13.9864,
0.75,0.633959,0.960894,-41.6261,74.2984,16.4574,-1.5342,0,-57.3156,12.6227,0,-35.5316,21.0499,-0.927124,47.5677,-56.8819,13.9834,
0.75,0.633947,0.960893,-41.4983,74.3204,16.4081,-1.53121,0,-57.3329,12.6279,0,-35.4217,20.9863,-0.924526,47.5823,-56.8983,13.9875,
0.75,0.633937,0.960893,-41.308,74.3579,16.3341,-1.52595,0,-57.3621,12.6356,0,-35.2585,20.891,-0.920521,47.6068,-56.9266,13.9945,
0.75,0.633926,0.960893,-41.4237,74.3511,16.3811,-1.53222,0,-57.3571,12.6359,0,-35.3564,20.9505,-0.92333,47.603,-56.921,13.9932,
0.75,0.633906,0.960892,-41.8382,74.3574,16.5477,-1.55121,0,-57.3624,12.6385,0,-35.7087,21.1622,-0.933071,47.6075,-56.9254,13.9943,
0.75,0.633897,0.960892,-41.3914,74.3791,16.3724,-1.53644,0,-57.3798,12.6423,0,-35.3266,20.9372,-0.923338,47.6219,-56.9416,13.9984,
0.75,0.633887,0.960891,-41.3977,74.3667,16.3763,-1.53851,0,-57.3706,12.6418,0,-35.3313,20.9414,-0.923712,47.6145,-56.9317,13.996,
0.75,0.633878,0.960889,-41.3406,74.3499,16.3552,-1.53811,0,-57.3582,12.6421,0,-35.2818,20.9135,-0.922685,47.6043,-56.9184,13.9928,
0.75,0.63387,0.960889,-41.3435,74.408,16.3577,-1.53999,0,-57.4036,12.6537,0,-35.2836,20.9158,-0.922952,47.6427,-56.962,14.0037,
0.75,0.633863,0.960888,-41.335,74.4064,16.3557,-1.54158,0,-57.4027,12.6551,0,-35.2757,20.9123,-0.922961,47.6423,-56.9602,14.0033,
0.75,0.633857,0.960887,-41.271,74.4144,16.3319,-1.5413,0,-57.4092,12.6579,0,-35.2205,20.8807,-0.921711,47.648,-56.9658,14.0048,
0.75,0.633849,0.960886,-41.3625,74.4208,16.3695,-1.54677,0,-57.4146,12.6604,0,-35.2979,20.9278,-0.923968,47.6528,-56.9702,14.006,
0.75,0.633836,0.960886,-41.6093,74.4354,16.47,-1.56014,0,-57.4263,12.6644,0,-35.5072,21.0543,-0.929873,47.6628,-56.9808,14.0087,
0.75,0.63383,0.960885,-41.3141,74.4415,16.3547,-1.5512,0,-57.4315,12.6669,0,-35.2547,20.9058,-0.923468,47.6675,-56.9849,14.0098,
0.75,0.633824,0.960884,-41.2264,74.4574,16.3215,-1.54992,0,-57.4445,12.6726,0,-35.1792,20.8622,-0.921698,47.6791,-56.9959,14.0127,
0.75,0.633819,0.960884,-41.2497,74.4889,16.3322,-1.55284,0,-57.4691,12.6795,0,-35.1985,20.8748,-0.922416,47.7,-57.0194,14.0185,
0.75,0.633816,0.960883,-41.1886,74.4936,16.3096,-1.5527,0,-57.4731,12.6818,0,-35.1458,20.8446,-0.92122,47.7038,-57.0225,14.0194,
0.75,0.633821,0.960883,-40.8363,74.504,16.1734,-1.54416,0,-57.4815,12.6851,0,-34.845,20.6666,-0.913404,47.7111,-57.0299,14.0213,
0.75,0.633818,0.960882,-41.2005,74.5227,16.3194,-1.56023,0,-57.4962,12.6898,0,-35.1552,20.8516,-0.921723,47.7236,-57.0437,14.0248,
0.75,0.633815,0.960882,-41.201,74.5225,16.3212,-1.56242,0,-57.4963,12.6913,0,-35.1551,20.8526,-0.921903,47.7241,-57.0431,14.0247,
0.75,0.633812,0.960882,-41.1921,74.5468,16.3194,-1.56408,0,-57.5154,12.697,0,-35.1471,20.8489,-0.921901,47.7402,-57.0613,14.0293,
0.75,0.633809,0.960881,-41.217,74.5448,16.3309,-1.56698,0,-57.5142,12.6999,0,-35.1678,20.8623,-0.922634,47.7397,-57.0591,14.0288,
0.75,0.633806,0.960881,-41.2135,74.5779,16.331,-1.56881,0,-57.5399,12.707,0,-35.1643,20.8612,-0.922722,47.7614,-57.084,14.035,
