dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.6,0.774167,0.78066,104.509,108.405,11.0259,-16.6457,102.584,14.5996,-14.8456,106.387,104.427,-3.93261,-7.64408,106.872,-17.9894,11.7631,
0.6,0.774164,0.780659,104.374,108.417,11.0173,-16.6145,102.452,14.6009,-14.8433,106.399,104.292,-3.92839,-7.63402,106.884,-17.9903,11.7642,
0.6,0.774157,0.780657,104.384,108.421,11.0235,-16.6073,102.463,14.6011,-14.84,106.403,104.302,-3.93024,-7.63446,106.887,-17.9899,11.7645,
0.6,0.774052,0.780512,100.979,103.521,10.6662,-16.0628,99.1206,13.9537,-14.1681,101.593,100.899,-3.80383,-7.3851,102.058,-17.1723,11.232,
0.6,0.77385,0.780274,98.1158,100.854,10.3622,-15.6077,96.3107,13.6086,-13.803,98.9734,98.0385,-3.69905,-7.17517,99.4284,-16.7231,10.9415,
0.6,0.773594,0.779977,95.8691,98.3023,10.124,-15.2512,94.1052,13.2837,-13.454,96.467,95.7934,-3.61517,-7.0107,96.9135,-16.2954,10.6639,
0.6,0.773315,0.779633,94.9833,96.6205,10.0353,-15.1128,93.2347,13.0749,-13.2246,94.8139,94.9084,-3.57505,-6.94714,95.2555,-16.013,10.4808,
0.6,0.772999,0.779268,93.4183,95.5442,9.87524,-14.869,91.6972,12.9402,-13.0791,93.756,93.345,-3.506,-6.83452,94.1941,-15.8338,10.3639,
0.6,0.772652,0.778844,92.477,93.6071,9.78133,-14.7261,90.7715,12.6868,-12.8168,91.8535,92.4047,-3.45638,-6.76824,92.2843,-15.5108,10.1534,
0.6,0.772271,0.77848,91.0812,95.4066,9.6321,-14.5123,89.4002,12.9149,-13.0666,93.621,91.0106,-3.38637,-6.66932,94.0574,-15.8135,10.3493,
0.6,0.771837,0.777977,89.3587,90.7776,9.44013,-14.2486,87.7088,12.297,-12.4381,89.0767,89.29,-3.30587,-6.54618,89.4943,-15.043,9.84661,
0.6,0.771357,0.777444,87.1174,89.0109,9.18874,-13.9027,85.5087,12.0657,-12.2027,87.341,87.051,-3.20725,-6.38485,87.753,-14.7463,9.65431,
0.6,0.770846,0.776886,85.9323,87.9873,9.028,-13.7284,84.3468,11.9359,-12.0688,86.3345,85.8671,-3.15299,-6.29992,86.745,-14.5695,9.54209,
0.6,0.7703,0.776304,84.4877,86.9,8.85311,-13.5118,82.929,11.8003,-11.927,85.2649,84.4239,-3.09091,-6.19566,85.6742,-14.381,9.42275,
0.6,0.769734,0.775736,83.2724,86.8784,8.70154,-13.3328,81.7362,11.7986,-11.9335,85.2422,83.2098,-3.03692,-6.10827,85.6533,-14.3739,9.41981,
0.6,0.769171,0.775174,83.2919,86.9252,8.68516,-13.3519,81.7547,11.8024,-11.9484,85.2874,83.2297,-3.02583,-6.11184,85.6997,-14.3799,9.42459,
0.6,0.768602,0.77462,83.0424,87.1803,8.63809,-13.3293,81.5092,11.8295,-11.9931,85.5373,82.9808,-3.00315,-6.096,85.9508,-14.4233,9.45243,
0.6,0.768044,0.774058,83.1143,86.6238,8.63381,-13.3591,81.5781,11.7394,-11.9267,84.9918,83.0533,-2.98772,-6.10456,85.4018,-14.3316,9.39212,
0.6,0.767452,0.773483,81.6256,85.85,8.46251,-13.1391,80.1155,11.622,-11.8312,84.2328,81.5663,-2.91674,-5.99839,84.6391,-14.2016,9.30789,
0.6,0.766865,0.772877,81.5286,84.5289,8.44145,-13.1423,80.0184,11.4295,-11.6604,82.937,81.4699,-2.89626,-5.99435,83.3372,-13.9791,9.16399,
0.6,0.766369,0.772264,84.2931,84.0027,8.73809,-13.6051,82.7277,11.3448,-11.601,82.4206,84.2331,-2.97147,-6.20178,82.8187,-13.8888,9.10639,
0.6,0.76574,0.771627,79.6019,82.8771,8.2361,-12.8647,78.1225,11.1797,-11.4587,81.3162,79.5456,-2.79285,-5.85904,81.7094,-13.6993,8.98379,
0.6,0.765072,0.771004,77.8793,82.971,8.03896,-12.6023,76.4313,11.1758,-11.4844,81.4089,77.8246,-2.72349,-5.73386,81.802,-13.7142,8.99387,
0.6,0.764383,0.770375,76.8194,82.4873,7.90837,-12.446,75.3908,11.09,-11.4305,80.9352,76.7656,-2.67858,-5.65725,81.3249,-13.6339,8.94135,
0.6,0.763647,0.769738,74.9322,81.9017,7.68994,-12.1558,73.5387,10.9934,-11.3645,80.361,74.8798,-2.6082,-5.5191,80.7473,-13.5375,8.87792,
0.6,0.762887,0.769118,73.6734,82.1425,7.53691,-11.9673,72.3032,11.0027,-11.4137,80.5981,73.622,-2.56219,-5.42678,80.9834,-13.5837,8.90506,
0.6,0.762089,0.768491,71.9239,81.5355,7.33336,-11.699,70.5862,10.9031,-11.3444,80.0029,71.8736,-2.50103,-5.29796,80.3828,-13.4941,8.84101,
0.6,0.761235,0.767872,69.6144,81.4746,7.06994,-11.3395,68.3198,10.8686,-11.3501,79.9447,69.5655,-2.42416,-5.12721,80.3196,-13.5008,8.83716,
0.6,0.760336,0.76724,67.6426,80.7417,6.84148,-11.0338,66.385,10.7558,-11.2592,79.2261,67.5947,-2.36478,-4.98029,79.5935,-13.3986,8.76083,
0.6,0.759401,0.766594,66.1085,80.0474,6.65269,-10.7975,64.8806,10.6474,-11.175,78.5452,66.0612,-2.32293,-4.86519,78.9048,-13.306,8.6892,
