pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
3.36827,3.29103,3.27643,3.15218,-19.1553,0,0,0.257242,0.405372,-0.0133981,0.122266,-0.0562546,0.0627131,-0.41691,-0.324666,-1.40399e-07,-3.15128e-09,3.42991e-07,-7.01996e-05,-1.57564e-06,0.000171496,
3.36827,3.29103,3.27643,3.15218,-22.4812,0,0,0.244809,0.436565,-0.0332159,0.14636,-0.0772437,0.0852828,-0.447657,-0.312149,-2.37226e-07,-5.3246e-09,5.79536e-07,-7.01996e-05,-1.57564e-06,0.000171496,
3.36826,3.29104,3.27645,3.15219,-21.0451,0,0,0.250239,0.423158,-0.0246426,0.135976,-0.0681715,0.0755229,-0.434439,-0.317648,-2.09747e-07,-1.76603e-08,7.72902e-07,1.92875e-05,-8.6585e-06,0.000135724,
3.36826,3.29104,3.27646,3.15218,-21.7548,0,0,0.247675,0.429874,-0.0288654,0.141095,-0.0726084,0.0803303,-0.441052,-0.315091,1.80895e-07,-1.54508e-08,7.64435e-07,0.000255225,1.4434e-06,-5.53201e-06,
3.36826,3.29106,3.27647,3.15219,-20.8857,0,0,0.250999,0.421783,-0.0236624,0.134807,-0.0671092,0.0744169,-0.433079,-0.318464,-3.62965e-07,-1.16556e-07,9.4733e-07,-0.000373443,-6.94236e-05,0.000125586,
3.36826,3.29106,3.27647,3.1522,-21.5762,0,0,0.248464,0.428297,-0.0277629,0.13981,-0.0714627,0.0790998,-0.439507,-0.315919,-2.1481e-06,-3.72211e-07,1.12838e-06,-0.0011566,-0.00016564,0.000117304,
3.36821,3.29104,3.27648,3.15226,-20.3031,0,0,0.253147,0.416371,-0.0202515,0.130603,-0.0634446,0.0705314,-0.427747,-0.320634,-5.35813e-06,-7.9453e-07,1.12525e-06,-0.00181365,-0.000238606,-1.76968e-06,
3.36812,3.29102,3.27649,3.15239,-21.3771,0,0,0.248771,0.426322,-0.0268421,0.138437,-0.0703164,0.0779994,-0.437552,-0.316175,-7.89522e-06,-1.16971e-06,1.27331e-06,-0.00192569,-0.000284765,0.000112383,
3.36801,3.29102,3.27651,3.15254,-20.1195,0,0,0.253082,0.414416,-0.0195103,0.129464,-0.0625231,0.0696024,-0.425805,-0.320492,-1.10626e-05,-1.61247e-06,1.53251e-06,-0.00231102,-0.000323048,0.000189116,
3.36791,3.29097,3.27652,3.15268,-20.4996,0,0,0.251287,0.417864,-0.0220161,0.132231,-0.0649957,0.0724104,-0.429197,-0.318615,-1.52938e-05,-2.24699e-06,1.63133e-06,-0.00279887,-0.000419725,6.537e-05,
