dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.65,0.926458,0.935875,27.6597,28.602,4.32915,0.747607,0,-2.354,0.684712,0,27.4806,3.03577,-2.74015,28.4619,-2.764,2.76995,
0.65,0.926417,0.935868,24.5696,28.0846,3.8472,0.663951,0,-2.3112,0.673435,0,24.4107,2.69374,-2.43353,27.9471,-2.71327,2.71973,
0.65,0.926398,0.93586,26.2345,28.0314,4.10876,0.708856,0,-2.30675,0.673245,0,26.0651,2.87483,-2.59819,27.8943,-2.70728,2.71443,
0.65,0.92636,0.935856,24.8703,28.339,3.8967,0.67184,0,-2.33195,0.681204,0,24.7099,2.72275,-2.46264,28.2003,-2.73654,2.74413,
0.65,0.926342,0.935852,26.3926,28.3709,4.13607,0.712882,0,-2.33448,0.682506,0,26.2224,2.88812,-2.61315,28.2322,-2.73916,2.74715,
0.65,0.926323,0.935843,26.6227,28.1497,4.173,0.719025,0,-2.31604,0.678174,0,26.4512,2.912,-2.63571,28.0122,-2.71682,2.72556,
0.65,0.926286,0.935838,24.9309,28.3831,3.90943,0.673168,0,-2.33513,0.684337,0,24.7705,2.72443,-2.46778,28.2445,-2.73879,2.74806,
0.65,0.926269,0.935834,26.4279,28.3503,4.14494,0.7135,0,-2.33211,0.684528,0,26.258,2.88678,-2.61575,28.2119,-2.73474,2.74474,
0.65,0.926239,0.935833,25.6352,28.74,4.02184,0.691996,0,-2.36397,0.694405,0,25.4706,2.79775,-2.53687,28.5997,-2.77198,2.7824,
0.65,0.926227,0.935834,26.8369,28.8099,4.21088,0.724417,0,-2.36952,0.696646,0,26.6648,2.92768,-2.65559,28.6693,-2.77836,2.78911,
0.65,0.926215,0.935838,26.9612,29.0714,4.23079,0.727784,0,-2.39045,0.703962,0,26.7883,2.94001,-2.66767,28.9296,-2.80294,2.81432,
