pivot_1,pivot_2,pivot_3,pivot_4,pf_x,pf_y,pf_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,f_drive_ref_1,f_drive_ref_2,f_drive_ref_3,f_drive_ref_4,f_drive_ref_5,f_drive_ref_6,f_drive_ref_7,f_drive_ref_8,f_krnl_1,f_krnl_2,f_krnl_3,f_krnl_4,f_krnl_5,f_krnl_6,f_krnl_7,f_krnl_8,f_null_1,f_null_2,f_null_3,f_null_4,f_null_5,f_null_6,f_null_7,f_null_8,f_null_scale_factor,f_null_scaled_1,f_null_scaled_2,f_null_scaled_3,f_null_scaled_4,f_null_scaled_5,f_null_scaled_6,f_null_scaled_7,f_null_scaled_8,f_drv_1,f_drv_2,f_drv_3,f_drv_4,f_drv_5,f_drv_6,f_drv_7,f_drv_8,f_wheel_1,f_wheel_2,f_wheel_3,f_wheel_4,f_wheel_5,f_wheel_6,f_wheel_7,f_wheel_8
5.16833,5.43328,5.11102,5.15058,0,200,0,-6.91199,-9.49331,5.07095,2.9112,-7.35978,-10,0.0297139,-2.57366,0,2954.22,0,2662.78,0,3017.26,0,2973.74,-44.8924,22.0153,-37.561,33.0026,-46.0797,19.4079,-45.276,21.2151,200.125,108.356,-642.092,-57.093,202.271,115.112,195.844,15.0225,10,6.95271e-310,1083.56,6.68183e-310,-570.93,1.4822e-323,1151.12,5.23261e-310,150.225,-44.8924,1105.57,-37.561,-537.928,-46.0797,1170.53,-45.276,171.44,-120.209,-165.101,88.1905,50.6295,-127.996,-174.076,0.516764,-44.7593,
5.16833,5.43328,5.11102,5.15058,0,200,0,-6.91199,-9.49331,5.07095,2.9112,-7.35978,-10,0.0297139,-2.57366,0,2954.22,0,2662.78,0,3017.26,0,2973.74,-44.8924,22.0153,-37.561,33.0026,-46.0797,19.4079,-45.276,21.2151,200.125,108.356,-642.092,-57.093,202.271,115.112,195.844,15.0225,10,6.95271e-310,1083.56,6.68183e-310,-570.93,1.4822e-323,1151.12,5.23261e-310,150.225,-44.8924,1105.57,-37.561,-537.928,-46.0797,1170.53,-45.276,171.44,-120.209,-165.101,88.1905,50.6295,-127.996,-174.076,0.516764,-44.7593,
5.16833,5.43328,5.11102,5.15058,0,200,0,-6.91199,-9.49331,5.07095,2.9112,-7.35978,-10,0.0297139,-2.57366,0,2954.22,0,2662.78,0,3017.26,0,2973.74,-44.8924,22.0153,-37.561,33.0026,-46.0797,19.4079,-45.276,21.2151,200.125,108.356,-642.092,-57.093,202.271,115.112,195.844,15.0225,10,6.95271e-310,1083.56,6.68183e-310,-570.93,1.4822e-323,1151.12,5.23261e-310,150.225,-44.8924,1105.57,-37.561,-537.928,-46.0797,1170.53,-45.276,171.44,-120.209,-165.101,88.1905,50.6295,-127.996,-174.076,0.516764,-44.7593,
5.16833,5.43328,5.11102,5.15058,0,200,0,-6.91199,-9.49331,5.07095,2.9112,-7.35978,-10,0.0297139,-2.57366,0,2954.22,0,2662.78,0,3017.26,0,2973.74,-44.8924,22.0153,-37.561,33.0026,-46.0797,19.4079,-45.276,21.2151,200.125,108.356,-642.092,-57.093,202.271,115.112,195.844,15.0225,10,6.95271e-310,1083.56,6.68183e-310,-570.93,1.4822e-323,1151.12,5.23261e-310,150.225,-44.8924,1105.57,-37.561,-537.928,-46.0797,1170.53,-45.276,171.44,-120.209,-165.101,88.1905,50.6295,-127.996,-174.076,0.516764,-44.7593,
5.16833,5.43328,5.11101,5.15059,0,200,0,-6.91226,-9.49357,5.07025,2.91049,-7.36067,-10,0.0314671,-2.57189,0,2954.22,0,2662.78,0,3017.27,0,2973.73,-44.8924,22.0153,-37.561,33.0026,-46.0799,19.4073,-45.2758,21.2157,200.133,108.36,-642.092,-57.0835,202.297,115.124,195.811,14.9987,10,6.95271e-310,1083.6,6.68183e-310,-570.835,1.4822e-323,1151.24,5.23261e-310,149.987,-44.8924,1105.61,-37.561,-537.832,-46.0799,1170.65,-45.2758,171.202,-120.213,-165.106,88.1782,50.6172,-128.012,-174.091,0.547253,-44.7285,
5.16833,5.43328,5.11102,5.15059,0,200,0,-6.91221,-9.49353,5.07094,2.91118,-7.36006,-10,0.0305761,-2.57278,0,2954.22,0,2662.78,0,3017.26,0,2973.73,-44.8924,22.0153,-37.561,33.0026,-46.0797,19.4079,-45.2758,21.2157,200.133,108.359,-642.082,-57.0928,202.28,115.116,195.817,15.0107,10,6.95271e-310,1083.59,6.68183e-310,-570.928,1.4822e-323,1151.16,5.23261e-310,150.107,-44.8924,1105.6,-37.561,-537.925,-46.0797,1170.57,-45.2758,171.322,-120.212,-165.105,88.1902,50.6292,-128.001,-174.081,0.531758,-44.744,
5.1683,5.43329,5.111,5.15058,0,200,0,-6.91385,-9.4952,5.07099,2.91126,-7.36135,-10,0.0305319,-2.57284,0,2954.24,0,2662.76,0,3017.28,0,2973.74,-44.8929,22.0142,-37.5606,33.003,-46.0801,19.4068,-45.276,21.2151,200.166,108.381,-642.154,-57.0937,202.309,115.134,195.816,15.0114,10,6.95271e-310,1083.81,6.68183e-310,-570.937,1.4822e-323,1151.34,5.23261e-310,150.114,-44.8929,1105.83,-37.5606,-537.934,-46.0801,1170.74,-45.276,171.329,-120.241,-165.134,88.1912,50.6305,-128.024,-174.104,0.53099,-44.745,
5.16803,5.43347,5.11077,5.15058,0,200,0,-6.93681,-9.5185,5.07422,2.91482,-7.37796,-10,0.0353332,-2.56804,0,2954.55,0,2662.57,0,3017.53,0,2973.74,-44.899,22.0019,-37.5547,33.0098,-46.0845,19.3963,-45.276,21.2151,200.685,108.694,-642.923,-57.1402,202.686,115.36,195.544,14.9467,10,6.95271e-310,1086.94,6.68183e-310,-571.402,1.4822e-323,1153.6,5.23261e-310,149.467,-44.899,1108.95,-37.5547,-538.392,-46.0845,1173,-45.276,170.682,-120.64,-165.539,88.2473,50.6926,-128.312,-174.397,0.614491,-44.6615,
5.16733,5.43397,5.11039,5.15052,0,200,0,-6.99486,-9.57743,5.09301,2.93457,-7.41015,-10,0.0280844,-2.57536,0,2955.31,0,2662.01,0,3017.96,0,2973.81,-44.9143,21.9706,-37.5381,33.0287,-46.092,19.3786,-45.2773,21.2124,201.995,109.486,-644.855,-57.4018,203.338,115.799,195.123,15.0452,10,6.95271e-310,1094.86,6.68183e-310,-574.018,1.4822e-323,1157.99,5.23261e-310,150.452,-44.9143,1116.83,-37.5381,-540.99,-46.092,1177.37,-45.2773,171.664,-121.65,-166.564,88.5741,51.0361,-128.872,-174.964,0.488424,-44.7889,
5.16711,5.43428,5.11042,5.15044,0,200,0,-7.01781,-9.60067,5.10753,2.94968,-7.41495,-10,0.00678258,-2.59676,0,2955.56,0,2661.67,0,3017.92,0,2973.9,-44.9193,21.9604,-37.5278,33.0404,-46.0913,19.3803,-45.2791,21.2086,202.5,109.798,-645.708,-57.6026,203.318,115.863,195.306,15.3334,10,6.95271e-310,1097.98,6.68183e-310,-576.026,1.4822e-323,1158.63,5.23261e-310,153.334,-44.9193,1119.94,-37.5278,-542.986,-46.0913,1178.01,-45.2791,174.542,-122.049,-166.968,88.8266,51.2988,-128.956,-175.047,0.117958,-45.1611,
